County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over,FID
Alabama,Bullock,54.17,45.83,7.92,15.62,9.46,12.63,12.48,15.55,12.89,7.65,5.81,23.72,74.31,0.22,0.43,0.59,0,0.82,1.65,22.16,42.07,28.75,12.75,6,10.42,37
Alabama,Chilton,49.51,50.49,8.24,18.14,8.32,11.85,13.54,14.2,12.13,7.89,5.67,86.47,9.28,0.55,0.19,0,0.95,1.36,6.43,81.28,32.37,27.31,18.34,10.95,11.04,56
Alabama,Choctaw,48.26,51.74,6.57,17.46,6.66,9.24,12.37,15.36,14.16,10.53,7.65,56.45,43.75,0,0.28,0,0.07,1.26,0.38,56.37,41.98,26.08,17.71,7.72,6.51,58
Alabama,Coosa,49.63,50.37,5.78,16.07,6.99,9.05,13.29,16.19,15.57,10.05,7.02,65.14,33.57,0,0,0,0.12,0.56,0.12,65.14,34.64,29.62,17.25,8.64,9.84,82
Alabama,Clay,49.05,50.95,6.61,17.23,7.56,9.6,13.14,15.22,13.06,9.93,7.64,82.99,15.5,0.42,0,0,0.47,1.39,2.58,80.96,36.15,30.75,14.42,10.49,8.19,65
Alabama,Cleburne,49.78,50.22,7.47,17.64,7.5,9.79,13.77,14.35,13.7,9.25,6.52,93.39,4.05,0.21,0.01,0,0.15,1.18,1.43,92.04,33.93,29.13,17.1,13.75,6.1,67
Alabama,Coffee,49.42,50.58,7.93,17.63,8.74,12.33,13.24,13.62,12.08,8.06,6.38,75,16.77,0.83,1.07,0.09,0.63,2.4,5.43,70.71,29.81,27.05,17.87,10.88,14.39,70
Alabama,Conecuh,48.47,51.53,6.83,17.71,7.22,9,11.33,15.2,14.85,10.15,7.7,52.71,46.79,0.92,0,0,0,0.75,0.32,52.39,46.08,24.6,13.15,9.13,7.04,80
Alabama,Colbert,48.06,51.94,6.85,16.54,7.94,10.1,12.72,15.17,13.28,9.65,7.73,81.44,16.07,0.62,0.48,0,0.28,1.15,1.99,80.05,32.45,28.03,18.29,11.02,10.22,73
Alabama,Escambia,51.58,48.42,7.42,16.66,8.24,11.91,13.67,14.58,12.34,8.83,6.34,62.8,31.15,3.61,0.38,0.04,0.28,0.9,1.88,61.37,40.24,27.67,15.93,8.37,7.79,122
