State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 and over",Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Arkansas,Montgomery,49.86,50.14,5.83,17.31,6.22,7.62,11.08,15.32,15.01,12.91,9.5,94.42,0.23,0.83,0.53,0.02,1.97,1.99,3.81,92.82,14.12,11.58,7.17,3.82,2.87,34.34,2.94,43.21,56.7,19.73,1519
Arkansas,Nevada,49.01,50.99,7.27,18.44,7.65,9.85,11.75,14.24,13.72,9.73,7.92,65.94,30.72,0.34,0.26,0.01,1.37,1.36,2.45,65.14,14.08,11.57,10.15,2.35,3.89,42.54,5.16,32.47,64.65,16.33,1520
Arkansas,Newton,50.49,49.51,5.71,16.67,6.85,9.08,10.73,14.89,16.16,12.23,8.19,96.05,0.11,1.08,0.3,0.01,0.26,2.18,1.69,94.77,19.6,12.71,6.16,2.75,1.45,43.67,2.21,35.62,58.37,20.55,1521
Arkansas,Pike,49.59,50.41,7.05,19.82,7.56,9.64,12.68,14.36,12.27,10.12,7.25,90.01,2.92,0.62,0.5,0.01,4.3,1.64,6.44,88.24,14.18,10.27,6.42,2.98,2.79,39.95,4.22,32.79,60.36,20.4,1525
Arkansas,Perry,49.62,50.38,6.24,19.05,7.45,9.33,13.23,15.43,13.37,9.56,7.16,95.16,1.88,0.67,0.16,0.02,0.49,1.63,2.36,93.62,11.64,10.67,6.22,6.18,3.11,40.37,2.56,37.86,66.14,16.42,1523
Arkansas,Phillips,46.56,53.44,8.37,22.52,8.26,10.04,10.25,14.18,12.39,8.43,6.53,35.01,63.06,0.23,0.31,0.0,0.44,0.95,1.32,34.63,17.22,11.42,4.11,2.78,2.73,35.69,7.11,33.82,68.98,14.15,1524
Georgia,Banks,50.55,49.45,6.97,20.33,8.1,10.41,14.5,15.31,12.49,8.1,4.4,91.75,2.32,0.31,0.9,0.02,3.29,1.41,5.66,89.84,11.61,9.2,6.35,3.8,4.17,42.77,3.79,28.58,65.1,22.46,2157
Georgia,Barrow,49.31,50.69,9.29,20.93,8.25,14.17,15.03,13.58,10.0,5.61,3.72,78.81,11.37,0.27,3.43,0.05,3.75,2.32,8.7,74.58,7.67,9.37,7.25,4.79,4.14,43.43,4.88,23.11,69.29,21.77,2158
Georgia,Ben Hill,47.86,52.14,8.59,19.88,8.58,11.12,12.16,13.79,12.55,7.91,6.09,59.24,34.61,0.32,0.71,0.01,3.77,1.33,5.82,57.64,16.65,10.66,5.26,2.23,2.52,35.54,5.95,34.77,65.01,19.93,1336
Georgia,Camden,50.62,49.38,8.49,20.66,13.29,12.57,12.99,13.7,9.87,6.0,3.02,74.35,19.4,0.51,1.43,0.15,1.12,3.03,5.13,71.22,8.57,9.41,7.92,4.49,4.92,39.44,4.16,23.51,72.37,15.22,1342
Georgia,Bleckley,47.59,52.41,6.37,20.13,14.49,8.96,11.26,13.7,10.78,8.11,6.97,70.05,27.28,0.1,0.84,0.02,0.72,0.98,2.3,68.9,12.32,7.75,6.54,2.67,3.4,38.38,1.97,37.82,60.25,14.54,2160
Georgia,Baldwin,49.61,50.39,6.64,16.36,17.67,10.6,11.29,13.92,11.8,7.1,4.95,54.95,41.48,0.21,1.27,0.04,0.83,1.22,2.01,54.03,12.79,9.17,5.57,3.41,3.84,39.25,3.27,41.78,63.35,16.0,2156
Georgia,Bacon,49.49,50.51,8.17,19.26,8.27,12.28,13.57,13.0,12.74,7.98,5.36,78.63,15.36,0.18,0.34,0.09,4.11,1.29,7.13,75.98,13.68,9.81,3.5,3.63,4.28,36.57,2.68,36.11,61.93,22.17,1334
Georgia,Baker,48.48,51.52,6.75,18.17,8.32,9.48,12.23,15.07,15.16,8.64,6.72,48.54,46.74,0.26,0.72,0.06,2.46,1.22,4.2,47.58,17.56,10.87,4.4,3.04,3.01,37.76,2.61,36.19,65.2,18.98,1335
Georgia,Bibb,47.12,52.88,8.02,19.93,10.44,11.58,12.25,13.91,11.86,6.73,5.93,43.2,52.15,0.21,1.63,0.08,1.29,1.44,2.82,42.11,12.93,8.92,6.27,3.47,5.2,40.17,4.32,32.08,68.02,15.96,2159
Georgia,Bartow,49.36,50.64,7.72,21.24,8.54,11.57,15.09,14.87,11.15,6.45,4.14,82.73,10.16,0.39,0.72,0.06,3.85,2.09,7.68,79.68,8.04,9.32,7.58,3.96,5.35,43.56,3.37,26.47,68.94,19.65,1995
Georgia,Berrien,49.26,50.74,7.83,20.02,8.34,10.77,13.45,14.41,12.04,8.29,5.53,84.66,10.7,0.29,0.43,0.02,2.64,1.27,4.59,83.22,15.97,9.89,6.01,3.13,2.81,37.83,3.55,32.97,65.07,20.68,1337
Georgia,Brooks,48.64,51.36,7.29,18.6,8.35,9.9,12.42,14.93,13.45,9.06,6.7,59.85,35.27,0.3,0.31,0.09,2.94,1.24,5.25,58.02,11.99,11.52,6.72,5.18,3.39,46.06,4.22,29.42,62.79,21.15,1339
Georgia,Bryan,49.13,50.87,8.21,23.43,7.41,10.99,14.9,15.87,11.16,5.45,3.53,80.22,14.18,0.32,1.61,0.08,1.08,2.51,4.42,77.55,6.48,7.47,6.39,5.05,9.23,44.76,2.75,21.23,74.91,16.13,1340
Georgia,Bulloch,49.89,50.11,6.56,17.45,26.52,10.73,10.31,10.86,8.86,5.34,3.77,67.24,27.64,0.26,1.45,0.09,1.66,1.65,3.47,65.87,13.03,8.88,5.35,3.39,3.88,42.55,3.93,31.84,65.14,19.42,2161
Georgia,Burke,47.98,52.02,8.35,22.2,8.93,10.17,12.08,14.66,12.45,7.13,4.73,47.48,49.46,0.21,0.33,0.09,1.12,1.32,2.65,46.51,12.58,9.28,5.87,2.77,2.47,35.97,3.5,34.06,69.7,17.91,2162
Georgia,Butts,52.94,47.06,6.8,17.73,9.47,12.38,14.2,15.25,12.18,7.5,5.12,69.95,27.35,0.25,0.46,0.01,0.65,1.33,2.52,68.48,7.63,8.31,8.12,4.02,4.85,41.19,3.97,34.23,62.75,15.65,1996
Georgia,Calhoun,59.05,40.95,6.14,15.27,9.2,14.54,15.63,15.81,12.04,5.83,6.08,34.75,61.32,0.15,0.45,0.27,2.11,0.96,3.91,33.61,11.76,7.1,4.05,1.31,1.87,34.11,3.94,39.32,47.92,15.61,1341
Georgia,Chattahoochee,62.47,37.53,10.33,19.28,26.97,18.14,11.25,6.29,4.01,2.37,1.36,68.81,18.84,0.72,2.18,0.64,4.38,4.42,12.41,62.92,4.42,6.33,6.78,2.01,2.98,18.13,2.04,19.53,56.31,9.99,1999
Georgia,Candler,49.44,50.56,8.14,19.52,9.28,10.67,12.17,13.34,13.17,8.6,5.8,65.95,24.4,0.08,0.52,0.05,7.97,1.04,11.16,63.18,11.75,11.18,5.73,2.89,2.41,40.32,4.35,29.95,61.57,22.66,2163
Georgia,Carroll,48.67,51.33,7.68,20.27,12.62,11.93,13.32,13.26,10.6,6.54,4.41,75.62,18.18,0.35,0.77,0.03,2.82,2.23,6.15,72.86,9.83,9.48,7.25,4.39,4.72,43.85,5.09,27.23,66.89,19.15,1997
Georgia,Catoosa,48.53,51.47,7.14,19.92,7.93,11.16,14.58,14.39,12.12,7.93,5.61,93.59,2.18,0.33,1.22,0.05,0.97,1.65,2.3,92.5,9.02,11.13,7.38,4.77,5.39,46.38,3.47,26.78,69.53,16.56,1998
Georgia,Charlton,56.26,43.74,6.52,17.2,9.67,12.56,15.22,16.01,10.76,7.85,4.82,68.62,28.46,0.37,0.62,0.02,0.32,1.58,2.55,66.68,9.0,10.34,5.38,3.54,2.3,37.01,4.31,39.97,58.24,15.45,1343
Georgia,Chatham,48.17,51.83,7.56,17.0,13.42,13.61,11.98,13.13,11.3,6.8,5.6,52.81,40.13,0.26,2.38,0.1,2.18,2.15,5.42,50.35,10.54,10.09,6.91,4.19,6.16,43.66,3.23,28.98,65.74,17.75,1344
Georgia,Coffee,50.65,49.35,7.97,20.57,10.17,12.32,13.97,13.64,11.05,6.68,4.4,64.66,26.64,0.28,0.72,0.04,6.32,1.36,10.27,61.16,12.63,10.26,5.83,2.72,2.88,38.72,3.43,32.46,62.04,20.82,1347
Georgia,Chattooga,51.94,48.06,6.66,17.84,8.48,11.82,13.91,14.87,12.57,8.06,6.55,83.91,11.14,0.26,0.42,0.1,2.58,1.59,4.01,82.99,12.82,9.95,7.24,2.58,1.5,38.0,4.2,37.39,61.22,17.56,2000
Georgia,Cherokee,49.39,50.61,8.26,21.28,7.47,11.75,16.52,15.36,10.93,5.89,3.3,86.56,5.65,0.38,1.65,0.06,3.61,2.09,9.59,81.29,4.93,7.6,6.93,5.3,9.92,48.01,3.66,20.57,73.95,16.08,2001
Georgia,Clarke,47.46,52.54,6.31,13.9,30.2,14.39,10.06,8.91,7.87,4.64,3.89,61.89,26.55,0.21,4.17,0.07,4.94,2.16,10.45,57.13,14.41,8.6,5.53,2.91,4.52,45.37,3.16,34.24,64.38,18.98,2164
Georgia,Clay,45.93,54.07,7.01,17.22,7.51,8.61,8.89,14.14,17.44,11.09,8.48,37.61,60.41,0.35,0.31,0.03,0.13,1.16,0.82,37.32,16.49,10.93,4.02,2.32,1.26,28.34,7.32,34.81,63.46,16.56,1345
Georgia,Clayton,47.89,52.11,9.24,21.84,10.75,13.78,15.38,13.77,9.22,4.19,2.45,18.87,66.1,0.37,4.99,0.05,7.08,2.53,13.66,14.11,8.15,11.14,6.94,3.61,3.51,45.61,6.85,21.32,66.79,25.09,2002
Georgia,Clinch,48.76,51.24,8.24,20.62,9.0,10.34,12.65,13.96,12.97,7.74,5.03,67.39,27.74,0.65,0.19,0.06,2.59,1.38,3.47,66.73,14.4,10.37,6.3,3.52,2.49,40.29,1.53,36.48,67.49,18.95,1346
Georgia,Cobb,48.59,51.41,7.77,19.96,9.19,13.23,15.81,15.22,10.82,5.22,3.49,62.21,24.96,0.34,4.46,0.05,5.28,2.71,12.26,56.31,5.94,8.17,6.95,5.12,11.13,51.06,3.97,20.59,72.01,17.78,2003
Georgia,Crisp,47.87,52.13,7.91,20.33,8.27,10.66,12.1,14.03,13.5,7.51,6.46,53.27,43.0,0.14,0.78,0.05,1.79,0.97,3.19,52.12,16.04,9.45,6.38,2.75,3.08,37.25,4.35,33.86,66.81,17.72,1350
Georgia,Coweta,48.89,51.11,8.07,21.42,7.44,11.56,15.66,15.0,11.24,6.45,3.95,75.87,17.3,0.3,1.52,0.05,2.89,2.07,6.67,72.73,5.74,8.15,7.19,5.35,8.23,45.43,3.21,23.11,73.54,15.75,2004
Georgia,Crawford,50.52,49.48,6.5,18.27,8.04,9.54,13.86,17.35,14.06,8.54,4.62,74.65,22.31,0.46,0.26,0.06,1.01,1.25,2.38,73.49,11.74,9.71,6.04,4.47,5.02,44.25,3.25,31.93,66.01,20.16,2005
Georgia,Colquitt,49.62,50.38,9.16,20.56,9.41,11.67,13.16,12.82,10.88,7.33,5.55,64.71,22.44,0.48,0.65,0.04,10.26,1.42,17.06,58.81,13.22,9.82,5.42,2.89,3.15,42.41,3.88,28.41,63.17,22.85,1348
Georgia,Columbia,48.63,51.37,7.5,22.23,7.72,11.14,14.5,15.56,12.05,6.18,4.06,76.47,14.86,0.32,3.84,0.16,1.53,2.81,4.98,73.77,4.86,7.34,6.97,5.62,8.84,43.38,2.9,24.07,75.36,14.15,2165
Georgia,Cook,48.64,51.36,8.23,21.09,8.8,11.1,13.02,13.41,11.65,8.0,5.48,66.96,27.33,0.23,0.66,0.03,3.42,1.37,5.95,64.9,14.98,10.57,5.98,3.47,2.28,41.77,5.43,26.59,64.33,22.01,1349
Georgia,Dooly,53.98,46.02,6.3,16.84,8.18,12.84,13.76,15.22,13.76,8.29,5.48,45.65,49.89,0.11,0.64,0.02,2.78,0.91,5.78,43.31,13.9,8.22,5.16,3.0,2.27,29.31,2.87,44.79,55.78,17.33,2167
Georgia,Dade,49.25,50.75,5.9,18.26,11.86,9.91,12.22,15.01,13.17,8.47,5.94,96.03,0.87,0.44,0.71,0.05,0.58,1.31,1.76,94.97,11.16,11.42,6.54,4.0,4.53,45.63,4.49,30.78,63.1,16.83,2006
Georgia,Dawson,50.0,50.0,6.37,18.03,8.39,10.35,13.55,15.3,14.54,9.57,4.45,95.62,0.47,0.37,0.56,0.04,1.59,1.36,4.12,93.36,7.38,10.34,7.27,5.13,6.44,46.59,3.99,26.15,65.99,18.34,2007
Georgia,Decatur,48.87,51.13,7.34,20.49,8.82,10.93,12.73,14.59,11.96,7.71,6.22,54.22,41.08,0.42,0.52,0.02,2.52,1.21,5.04,52.49,14.61,10.07,6.63,3.14,3.38,40.09,2.66,34.62,63.94,18.9,1351
Georgia,DeKalb,47.89,52.11,7.84,17.74,10.52,15.42,15.49,13.91,10.52,5.13,3.87,33.26,54.3,0.36,5.12,0.05,4.52,2.39,9.8,29.4,8.9,9.78,7.28,4.4,7.93,48.79,6.34,22.39,66.15,23.01,2008
Georgia,Dodge,52.53,47.47,6.8,19.04,9.55,10.87,13.98,14.55,12.03,8.11,5.73,66.75,29.84,0.25,0.46,0.06,1.64,0.99,3.36,65.48,15.17,8.75,6.84,2.53,2.59,34.65,2.78,41.91,61.03,16.95,2166
Georgia,Evans,48.97,51.03,8.53,19.18,9.53,12.04,12.88,13.56,10.97,7.67,6.01,58.83,29.14,0.17,0.67,0.15,9.97,1.06,13.1,56.62,10.26,13.2,5.98,3.8,3.32,41.09,2.77,32.82,61.25,21.25,2171
Georgia,Dougherty,46.45,53.55,8.2,19.91,12.62,11.82,11.41,12.83,11.6,6.53,5.58,29.59,67.12,0.22,0.78,0.13,0.97,1.19,2.19,28.88,15.08,10.59,5.84,3.13,3.51,39.03,5.89,31.58,67.41,17.19,1352
Georgia,Douglas,48.17,51.83,8.13,22.68,8.06,12.06,16.61,14.69,10.22,5.47,3.02,52.46,39.49,0.3,1.44,0.1,3.82,2.38,8.4,49.03,5.82,8.96,7.24,5.1,6.67,45.25,5.34,21.69,72.19,18.39,2009
Georgia,Early,47.16,52.84,7.62,21.02,7.94,9.51,11.98,14.08,12.48,9.08,7.19,48.36,49.62,0.35,0.34,0.02,0.55,0.76,1.55,47.69,17.52,8.52,4.76,2.65,3.58,34.6,3.19,40.92,66.27,16.33,1353
Georgia,Echols,50.57,49.43,9.59,21.49,10.63,13.49,13.63,12.2,9.25,5.65,4.21,74.94,4.24,1.78,0.32,0.05,15.84,2.83,29.33,63.34,11.6,11.16,6.15,1.56,1.69,40.9,3.35,25.9,57.44,32.72,1354
Georgia,Effingham,49.79,50.21,7.82,23.17,7.92,11.79,15.13,15.41,10.52,5.86,3.26,82.64,13.49,0.3,0.82,0.05,0.82,1.88,2.87,80.98,6.5,7.7,7.51,5.43,6.32,44.2,3.62,23.85,74.42,15.59,2168
Georgia,Elbert,47.88,52.12,7.08,18.25,8.34,9.83,12.28,14.55,13.37,9.16,7.65,65.94,29.51,0.24,0.6,0.02,2.68,1.01,4.8,64.25,14.45,13.26,4.73,3.45,2.45,41.55,4.71,33.58,62.75,19.9,2169
Georgia,Emanuel,48.85,51.15,8.07,19.45,9.17,11.79,11.95,13.96,12.3,8.06,5.93,61.63,33.46,0.26,0.68,0.01,3.01,0.94,4.08,60.77,15.27,11.09,4.95,2.47,2.8,37.59,4.16,34.47,61.04,22.01,2170
California,San Joaquin,49.79,50.21,8.75,23.1,10.05,11.9,13.24,13.4,10.02,5.62,4.76,50.97,7.55,1.05,14.37,0.55,19.12,6.39,38.86,35.88,6.64,7.73,5.82,4.04,6.84,39.64,5.57,27.3,71.46,17.21,56
Georgia,Fannin,48.76,51.24,5.44,15.24,6.26,7.87,10.94,15.54,17.33,12.95,8.99,97.15,0.35,0.3,0.33,0.03,0.66,1.19,1.82,96.11,16.14,12.9,7.13,3.65,4.62,40.55,4.17,36.88,57.13,20.51,2010
Georgia,Fayette,48.33,51.67,5.42,23.96,6.06,6.74,13.58,18.65,14.35,7.55,5.16,71.13,20.08,0.3,3.88,0.07,2.31,2.24,6.34,67.75,3.82,6.61,5.42,5.9,13.62,47.57,2.81,25.4,75.29,11.04,2011
Georgia,Floyd,48.42,51.58,7.45,19.26,9.84,10.92,13.04,13.94,11.98,7.72,6.5,76.89,14.16,0.36,1.3,0.12,5.31,1.87,9.33,73.67,11.33,10.18,6.41,3.9,4.49,42.8,4.0,31.2,64.41,18.01,2012
Georgia,Forsyth,49.68,50.32,8.9,23.44,5.29,10.22,18.69,15.63,9.75,5.66,3.25,85.43,2.57,0.33,6.22,0.04,3.77,1.64,9.43,80.3,3.22,4.95,5.2,5.06,13.13,44.66,2.88,20.17,77.45,13.16,2013
Georgia,Franklin,49.41,50.59,6.54,18.17,9.06,9.84,12.55,14.47,13.2,9.69,7.19,87.3,8.38,0.19,0.55,0.02,1.85,1.71,3.92,85.64,13.59,12.0,6.29,3.84,3.64,42.22,2.89,35.1,61.58,19.67,2172
California,San Diego,50.19,49.81,7.18,18.32,12.09,13.53,13.59,13.92,10.65,5.83,5.52,64.01,5.11,0.85,10.86,0.5,13.55,5.12,32.03,48.46,6.17,7.54,6.08,4.74,9.78,44.61,3.78,26.32,69.77,16.51,157
California,San Francisco,50.73,49.27,4.64,9.89,10.79,18.73,16.6,13.89,12.0,6.75,6.89,48.48,6.07,0.5,33.27,0.42,6.58,4.68,15.12,41.91,8.72,7.01,5.93,4.81,15.25,55.22,4.25,26.76,72.86,12.35,55
California,Siskiyou,49.88,50.12,6.1,16.5,7.02,8.44,10.1,15.39,17.49,11.0,8.55,84.7,1.27,4.04,1.2,0.18,3.32,5.29,10.28,79.47,15.72,12.92,7.74,4.29,4.08,38.69,5.31,37.64,64.5,15.64,64
California,San Luis Obispo,51.18,48.82,5.49,16.01,14.0,10.54,11.03,14.56,13.77,7.86,7.36,82.61,2.06,0.94,3.15,0.14,7.34,3.75,20.76,71.09,8.12,8.63,7.11,4.97,9.17,45.08,3.58,33.39,64.66,14.37,57
California,San Mateo,49.16,50.84,7.07,16.77,7.87,12.53,15.05,15.4,12.41,6.96,6.44,53.38,2.84,0.46,24.79,1.44,11.77,5.32,25.4,42.26,4.13,5.71,5.7,4.78,15.28,50.24,3.49,24.82,74.59,11.58,58
California,Santa Barbara,50.2,49.8,7.12,18.76,14.33,12.07,11.91,12.97,10.62,6.32,6.52,69.62,2.01,1.29,4.88,0.19,17.42,4.59,42.86,47.92,6.4,7.62,6.31,3.99,9.13,45.77,3.69,28.2,65.84,17.82,59
California,Santa Clara,50.17,49.83,7.7,18.24,9.06,13.67,15.62,14.8,10.41,5.98,5.08,46.96,2.61,0.73,32.02,0.4,12.39,4.9,26.9,35.19,4.52,5.12,4.88,4.3,14.68,47.36,4.01,25.11,76.0,12.12,60
California,Santa Cruz,49.89,50.11,6.31,17.38,13.35,11.41,12.61,14.78,13.7,6.05,5.06,72.49,1.05,0.86,4.24,0.13,16.53,4.69,32.05,59.61,6.86,7.1,6.0,4.79,11.0,48.17,4.39,26.94,70.12,15.7,61
California,Shasta,49.16,50.84,6.36,18.13,8.85,10.01,11.04,15.0,14.39,9.34,7.57,86.74,0.87,2.79,2.48,0.15,2.54,4.42,8.4,82.41,11.02,10.51,7.48,4.42,5.56,39.58,5.24,34.87,67.89,14.55,62
California,Sierra,50.8,49.2,4.54,14.01,4.97,6.7,10.34,17.62,21.39,12.22,8.64,93.27,0.19,1.36,0.37,0.06,2.31,2.44,8.3,88.12,9.38,12.56,8.73,7.78,5.9,49.88,5.19,33.18,64.94,14.44,63
California,Yuba,50.38,49.62,9.47,21.87,10.44,12.88,12.3,13.23,10.49,5.79,4.26,68.37,3.27,2.32,6.74,0.41,11.84,7.05,25.02,58.78,8.34,9.08,6.5,3.98,5.03,36.28,6.2,27.71,72.55,16.59,73
California,Solano,49.88,50.12,7.16,19.62,9.75,11.87,13.17,15.47,12.39,6.29,5.04,50.99,14.7,0.78,14.63,0.86,10.46,7.59,24.04,40.8,5.2,6.66,6.69,5.1,9.98,44.9,4.59,26.88,73.83,12.34,65
California,Sonoma,49.17,50.83,6.46,17.65,9.39,11.36,12.52,15.19,14.17,7.35,6.58,76.76,1.57,1.34,3.79,0.32,11.77,4.44,24.89,66.14,6.75,8.27,7.02,5.34,10.65,48.19,4.12,26.35,69.98,14.89,66
California,Stanislaus,49.47,50.53,8.53,22.55,10.27,12.2,12.97,13.52,10.14,5.76,4.9,65.57,2.86,1.15,5.07,0.66,19.28,5.4,41.92,46.73,7.63,7.95,6.17,4.06,6.05,40.32,5.77,27.45,71.52,17.42,67
California,Sutter,49.61,50.39,8.44,21.39,9.57,11.91,12.65,13.45,10.67,6.85,5.81,60.96,2.03,1.44,14.42,0.3,15.27,5.59,28.76,50.44,7.4,8.88,6.58,4.26,6.01,40.28,6.25,27.34,68.22,18.79,68
California,Tehama,49.81,50.19,7.58,20.05,8.14,10.04,11.53,14.58,13.01,9.01,6.86,81.5,0.64,2.59,1.03,0.12,9.86,4.26,21.91,71.86,11.58,11.6,6.41,3.27,4.19,36.36,4.64,35.32,65.77,18.0,69
California,Trinity,51.6,48.4,5.11,15.12,5.82,8.25,10.07,16.87,19.56,12.14,7.94,87.28,0.43,4.75,0.68,0.12,1.57,5.16,6.96,83.55,12.49,14.43,7.55,3.26,4.99,37.81,5.85,39.93,63.38,16.03,70
California,Ventura,49.67,50.33,7.45,20.68,9.67,11.47,13.49,15.03,11.35,6.24,5.46,68.72,1.84,0.98,6.73,0.2,17.04,4.49,40.27,48.69,4.59,5.89,5.5,4.53,11.6,46.79,3.63,24.78,71.4,15.88,159
California,Yolo,48.76,51.24,6.87,18.93,18.34,12.41,11.91,12.36,10.04,5.26,4.58,63.17,2.59,1.1,12.97,0.45,13.88,5.83,30.35,49.91,7.85,7.44,6.05,4.08,9.13,45.02,4.4,28.6,73.16,14.15,72
California,Tulare,50.08,49.92,10.2,24.92,10.42,12.54,12.37,11.84,9.06,5.19,4.26,60.07,1.63,1.58,3.43,0.12,29.01,4.17,60.62,32.55,7.94,8.01,5.15,3.2,4.34,37.64,5.16,26.04,69.15,21.0,158
California,Tuolumne,52.82,47.18,4.77,14.61,7.52,9.89,10.87,15.53,17.1,11.17,9.22,87.19,2.06,1.88,1.03,0.14,4.04,3.65,10.69,81.87,9.97,10.84,7.65,4.57,7.06,37.97,4.48,42.93,60.42,11.74,71
Colorado,Bent,65.7,34.3,4.83,13.26,9.88,14.68,15.91,15.85,12.42,7.2,6.46,79.23,7.63,2.4,0.95,0.06,7.79,1.94,30.54,58.96,9.22,10.57,5.68,2.83,1.48,27.91,4.92,46.3,44.25,10.69,443
Colorado,Adams,50.3,49.7,9.35,21.04,9.56,14.71,14.77,13.23,9.5,4.84,3.51,73.32,3.07,1.34,3.61,0.13,14.57,3.96,38.02,53.21,6.68,8.46,6.99,4.83,6.55,47.22,4.07,20.09,70.15,20.91,439
Colorado,Arapahoe,49.01,50.99,7.87,19.85,8.65,13.29,14.35,14.92,11.69,5.62,4.45,72.71,10.16,0.76,5.08,0.2,6.83,4.26,18.45,63.24,7.25,8.99,7.43,5.08,9.52,49.89,3.56,20.76,73.24,16.37,441
Colorado,Archuleta,50.5,49.5,5.49,15.98,5.49,8.33,10.11,17.17,20.47,10.95,6.56,86.36,0.31,1.88,0.74,0.05,7.85,2.82,17.78,78.17,5.07,7.06,6.52,4.37,4.92,41.08,5.11,30.77,64.14,17.69,160
Colorado,Baca,49.55,50.45,6.23,17.34,5.17,8.74,9.93,14.55,14.65,10.88,13.17,92.56,0.63,1.35,0.16,0.0,3.75,1.56,9.19,87.72,15.63,13.86,7.15,4.09,3.67,48.65,1.27,33.69,56.1,19.48,442
Colorado,Alamosa,50.15,49.85,8.54,18.8,14.29,10.98,10.49,13.86,12.13,6.5,4.84,74.78,1.11,2.8,0.96,0.12,15.86,4.37,46.03,49.64,13.6,11.3,5.79,2.19,4.67,43.15,4.77,29.13,67.37,17.25,440
Colorado,Conejos,49.58,50.42,8.81,22.15,7.47,9.16,10.8,14.09,13.21,8.09,7.1,76.22,0.33,2.2,0.28,0.05,16.84,4.08,55.96,41.8,14.39,10.88,5.91,3.65,2.98,39.91,3.89,30.37,66.01,18.68,449
Colorado,Boulder,50.21,49.79,6.27,17.39,13.93,11.86,13.92,15.14,12.05,5.68,4.34,87.21,0.86,0.62,4.12,0.06,4.46,2.68,13.33,79.35,7.69,8.38,6.53,4.84,12.5,52.06,3.49,24.34,74.54,12.86,444
Colorado,Broomfield,49.61,50.39,7.97,20.19,7.8,12.67,16.04,15.46,10.76,5.56,4.29,86.06,1.05,0.6,6.1,0.08,3.31,2.81,11.12,79.37,4.44,6.84,6.59,5.29,12.83,50.65,3.12,18.43,79.66,10.5,445
Colorado,Chaffee,53.08,46.92,4.7,13.4,6.37,10.56,12.04,16.03,17.58,11.33,8.45,93.2,1.54,1.08,0.6,0.05,1.94,1.59,9.42,86.57,11.97,12.01,6.92,5.09,5.55,43.66,3.81,36.78,58.08,14.78,446
Colorado,Cheyenne,49.56,50.44,7.79,18.79,5.77,10.13,10.35,15.63,14.27,7.95,9.91,93.19,0.38,0.71,0.6,0.05,4.08,0.98,9.69,88.07,10.08,13.45,9.42,5.83,6.37,59.59,3.7,33.39,59.91,20.81,447
Colorado,Clear Creek,52.1,47.9,5.51,13.39,4.95,9.21,14.8,20.57,19.77,8.73,3.73,95.33,0.62,0.79,0.56,0.03,0.95,1.72,4.72,92.11,8.35,10.4,10.23,6.76,10.08,59.02,4.43,20.96,76.2,10.37,448
Colorado,Eagle,53.3,46.7,8.23,17.79,9.28,16.84,17.35,14.64,10.64,4.26,1.36,83.15,0.69,0.66,1.01,0.03,12.34,2.12,30.06,67.25,4.98,6.29,6.89,5.58,11.1,59.82,2.77,13.66,71.48,22.06,455
Arkansas,St. Francis,54.47,45.53,7.3,18.27,8.37,13.61,13.63,14.99,12.26,7.01,5.19,44.24,51.9,0.52,0.48,0.03,1.37,1.45,4.07,42.37,14.83,8.86,4.56,1.94,1.97,31.62,5.25,41.55,59.27,13.62,1531
Arkansas,Woodruff,47.55,52.45,6.53,18.68,6.8,9.23,11.54,14.88,15.4,9.67,8.14,69.9,27.47,0.25,0.21,0.07,0.67,1.43,1.2,69.44,20.83,13.4,5.72,2.73,3.1,42.7,4.33,35.26,62.91,17.91,1539
Arkansas,Pope,49.57,50.43,7.23,18.46,13.9,10.87,12.1,13.55,11.35,7.4,5.74,89.51,2.89,0.76,0.98,0.04,3.61,2.21,6.75,86.9,11.33,11.35,6.06,3.53,4.22,45.15,3.2,29.33,65.39,16.42,1527
Arkansas,Pulaski,48.06,51.94,7.63,18.22,9.73,13.55,13.06,14.2,12.18,6.48,5.51,57.49,34.97,0.41,1.96,0.07,3.04,2.05,5.79,55.31,10.94,11.17,7.28,4.5,6.65,47.51,3.76,25.02,70.84,15.85,1529
Alabama,Baldwin,48.94,51.06,6.77,18.24,7.43,10.36,12.92,14.77,13.46,9.77,7.0,85.67,9.38,0.67,0.74,0.05,1.99,1.49,4.38,83.5,8.64,10.35,7.6,4.68,6.85,43.08,3.02,30.46,66.49,15.68,1250
Alabama,Barbour,53.09,46.91,6.77,16.91,9.32,12.26,13.21,14.63,13.17,8.15,6.09,48.0,46.89,0.42,0.39,0.11,3.26,0.94,5.05,46.75,14.67,9.78,6.25,2.48,2.49,36.09,3.83,40.89,60.63,13.77,1251
