State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 and over",Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Virginia,Falls Church,49.0,51.0,6.92,19.85,6.3,12.22,14.94,16.46,13.78,5.79,4.7,79.9,4.31,0.27,9.42,0.03,2.1,3.97,8.99,73.73,2.99,5.35,5.54,3.28,20.99,50.06,3.27,18.85,82.4,7.35,2954
Virginia,Colonial Heights,46.3,53.7,6.01,18.33,8.09,10.19,11.96,14.27,12.29,9.1,10.53,82.28,10.24,0.39,3.32,0.05,1.48,2.24,3.87,80.52,7.62,12.55,8.64,5.31,6.51,46.42,3.2,30.49,67.31,12.57,2754
Virginia,Covington,48.41,51.59,6.24,17.11,7.85,9.96,12.5,15.27,13.1,9.75,8.98,84.11,12.51,0.3,0.57,0.0,0.55,1.95,1.54,83.12,14.83,14.56,6.89,4.95,3.07,43.23,2.05,36.24,67.42,12.88,2755
Virginia,Danville,45.61,54.39,6.69,16.5,9.59,9.5,10.94,14.24,13.86,8.94,10.14,47.69,48.3,0.17,0.94,0.03,1.54,1.34,2.89,46.7,19.64,12.8,6.05,3.11,3.57,41.39,6.06,35.17,65.5,13.83,2756
Virginia,Emporia,46.06,53.94,8.12,20.01,8.44,10.95,11.56,13.36,11.57,7.76,9.14,32.68,62.53,0.32,0.73,0.07,2.14,1.54,4.42,31.18,15.47,12.45,5.7,3.46,3.51,38.75,5.23,32.68,68.04,15.13,2757
Virginia,Fairfax City,49.29,50.71,6.12,15.69,10.62,12.9,13.78,15.24,12.43,7.16,6.52,69.6,4.75,0.49,15.21,0.06,5.86,4.02,15.76,61.37,3.18,4.68,5.93,5.86,18.12,51.32,2.54,25.67,73.72,11.69,2953
Virginia,Martinsville,45.53,54.47,6.62,16.67,7.8,9.45,12.11,15.61,13.23,9.23,9.94,49.95,44.95,0.2,0.93,0.01,2.03,1.93,3.99,48.53,17.79,12.1,6.63,2.41,3.91,40.59,5.44,36.02,65.52,14.31,2764
Virginia,Franklin City,44.52,55.48,7.97,17.66,9.05,9.55,11.26,14.62,12.98,8.59,8.66,39.38,56.91,0.33,0.75,0.02,0.69,1.92,1.64,38.84,16.3,10.3,5.56,4.47,4.43,37.14,5.24,36.46,69.52,13.61,2758
Virginia,Fredericksburg,45.89,54.11,7.16,15.41,22.45,13.79,11.25,11.34,8.86,4.85,5.08,64.22,22.64,0.41,2.84,0.07,5.92,3.91,10.73,60.78,10.06,11.55,5.64,3.84,6.83,43.64,5.0,29.96,66.14,14.66,2759
Virginia,Galax,47.07,52.93,6.12,17.24,8.29,9.36,12.81,13.56,12.7,9.24,10.96,85.83,6.23,0.1,0.53,0.11,5.15,2.04,14.04,78.12,24.67,10.08,5.52,4.12,2.84,40.5,3.78,39.34,63.68,16.34,2332
Virginia,Hampton,47.84,52.16,7.02,18.01,12.82,12.21,11.68,15.16,11.43,6.82,5.44,42.67,49.55,0.43,2.18,0.11,1.33,3.73,4.54,40.95,8.52,10.96,8.38,5.34,5.57,45.98,3.96,27.06,71.95,13.1,2760
Montana,Toole,55.71,44.29,5.67,17.13,7.91,11.87,12.73,17.24,14.24,7.01,6.87,91.96,0.54,4.53,0.43,0.02,0.58,1.93,2.42,90.4,12.79,8.85,7.21,4.53,4.04,42.45,0.73,36.51,57.83,16.17,1147
Montana,Sheridan,50.18,49.82,5.32,15.99,4.67,7.42,9.54,17.32,17.49,10.43,12.68,95.42,0.21,1.68,0.41,0.0,0.33,1.95,1.51,94.59,15.93,13.59,8.36,4.49,7.09,49.73,1.0,35.79,59.87,16.76,1142
Montana,Silver Bow,50.5,49.5,6.39,16.83,10.39,10.08,11.27,15.55,13.68,8.7,7.72,94.42,0.32,1.92,0.48,0.07,0.68,2.11,3.66,92.15,14.26,12.57,8.49,3.89,4.21,46.99,2.77,30.17,67.11,14.07,1143
Montana,Stillwater,51.27,48.73,6.68,18.05,4.79,8.65,11.51,17.28,17.28,9.63,6.77,96.78,0.1,0.8,0.32,0.02,0.42,1.57,2.35,95.29,8.45,9.88,8.26,7.44,7.13,50.89,2.06,25.22,69.65,13.77,1144
Montana,Sweet Grass,50.56,49.44,6.08,19.17,4.33,7.67,11.5,15.56,16.0,10.49,10.16,96.63,0.11,0.41,0.66,0.03,0.63,1.53,1.4,95.62,10.79,11.97,10.13,4.0,4.46,51.14,2.33,25.61,60.48,17.91,1145
