County,State,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),Percent high school graduate or higher (Population 25 years and over),Percent bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Indiana,Dearborn,"3,902",607,"1,647","1,224",424,"34,540",889,"2,472","13,042","6,224","3,033","5,824","3,056","31,179","8,880","5,537","5,100","1,801","5,927","5,664","2,245","14,400","12,838","3,381","8,676","7,577","1,453",15.9%,9.4%,7.2%,2.2%,"42,433","26,052","37,380","38,686","52,123","65,409",242
Indiana,Decatur,"2,320",370,805,704,441,"17,888",563,926,"8,154","3,151","1,599","2,354","1,141","16,399","3,495","3,269","3,071",826,"3,141","2,955",901,"7,026","6,430","1,210","4,452","3,943",558,22.8%,10.9%,7.4%,2.7%,"41,700","30,862","36,763","43,072","48,190","68,594",246
Indiana,DeKalb,"3,489",912,"1,508",786,283,"29,231",563,"2,061","12,839","5,793","2,713","3,866","1,396","26,607","5,262","5,404","4,977","1,191","5,203","4,847","1,124","11,683","10,712","1,932","6,941","6,071","1,015",17.5%,7.8%,8.1%,4.6%,"38,805","38,005","36,776","38,356","39,797","62,321",249
Indiana,Delaware,"22,473","1,301","5,017","14,041","2,114","71,084","1,566","5,390","24,388","15,289","6,761","10,044","7,646","64,128","17,690","13,182","12,258","3,942","11,491","10,507","3,048","26,827","24,205","6,359","19,584","17,158","4,341",31.0%,15.0%,12.5%,4.9%,"35,924","18,617","29,051","35,541","41,262","58,950",252
Indiana,Dubois,"3,298",539,"1,164","1,353",242,"28,873","1,278","1,787","10,877","4,220","3,336","5,412","1,963","25,808","7,375","4,790","4,236","1,393","5,040","4,617","1,806","11,679","10,736","2,794","7,364","6,219","1,382",12.2%,10.8%,5.0%,4.1%,"39,624","38,315","32,018","39,578","51,364","51,713",254
Indiana,Elkhart,"18,219","4,526","6,860","5,323","1,510","130,354","10,598","14,007","45,052","25,863","9,355","16,952","8,527","105,749","25,479","26,377","21,781","4,739","24,684","18,719","4,836","49,304","40,718","9,836","29,989","24,531","6,068",17.7%,8.4%,7.8%,3.9%,"37,054","30,885","33,599","36,880","45,904","58,476",260
Indiana,Fayette,"1,844",336,734,619,155,"16,145",767,"1,903","7,181","2,718","1,190","1,692",694,"13,475","2,386","2,468","2,174",444,"2,755","2,450",520,"6,312","5,339",844,"4,610","3,512",578,26.8%,15.1%,13.0%,7.6%,"36,860","29,260","32,572","40,458","47,423","50,130",263
Indiana,Floyd,"6,507","1,125","2,145","2,507",730,"53,778","1,184","3,678","16,293","11,420","4,997","10,405","5,801","48,916","16,206","9,911","9,307","3,268","9,877","9,018","3,332","21,450","19,472","6,447","12,540","11,119","3,159",24.6%,9.8%,6.5%,1.8%,"42,562","21,692","34,696","41,677","54,718","69,494",267
Indiana,Fountain,"1,280",211,586,426,57,"11,570",388,917,"5,129","2,497","1,020","1,068",551,"10,265","1,619","1,876","1,722",401,"1,834","1,731",395,"4,601","4,206",551,"3,259","2,606",272,25.7%,14.4%,5.3%,3.8%,"36,312","26,495","31,611","39,750","42,500","60,694",270
Indiana,Franklin,"1,770",349,662,577,182,"15,588",651,"1,113","6,405","2,922","1,311","2,074","1,112","13,824","3,186","2,303","2,145",591,"2,619","2,460",477,"6,522","5,995","1,486","4,144","3,224",632,22.7%,3.8%,7.3%,3.7%,"41,614","28,393","37,318","39,458","56,250","70,102",272
Indiana,Fulton,"1,476",195,410,813,58,"13,828",522,"1,289","5,512","3,425","1,070","1,299",711,"12,017","2,010","2,284","1,995",321,"2,231","2,123",421,"5,355","4,580",695,"3,958","3,319",573,20.3%,13.4%,9.1%,4.5%,"35,564","23,614","33,371","36,133","47,411","53,631",276
Indiana,Gibson,"2,819",492,"1,041","1,191",95,"22,864",501,"1,232","9,442","4,752","2,679","2,986","1,272","21,131","4,258","3,898","3,614",918,"3,898","3,773",982,"9,207","8,509","1,436","5,861","5,235",922,19.1%,7.7%,4.4%,2.9%,"37,797","17,576","33,889","40,661","47,256","56,563",286
Indiana,Grant,"8,356",774,"2,655","4,474",453,"43,925","1,532","3,739","16,884","9,621","4,131","4,685","3,333","38,654","8,018","7,168","6,504","1,437","6,796","6,139","1,229","17,419","15,457","3,426","12,542","10,554","1,926",28.1%,15.2%,14.7%,5.4%,"34,438","22,946","31,059","33,880","45,589","56,563",297
Indiana,Greene,"2,328",407,"1,051",744,126,"22,864",645,"2,091","9,202","4,929","2,611","2,279","1,107","20,128","3,386","3,752","3,280",675,"3,649","3,391",882,"9,199","8,262","1,197","6,264","5,195",632,23.6%,11.3%,11.6%,4.1%,"35,851","19,787","31,816","36,049","58,684","56,140",309
Indiana,Hamilton,"25,457","3,803","7,436","8,449","5,769","215,988","1,827","4,381","32,104","33,882","15,570","79,029","49,195","209,780","128,224","39,200","37,879","24,543","49,373","48,430","32,978","86,678","84,482","52,348","40,737","38,989","18,355",17.2%,8.7%,3.8%,1.9%,"60,073","27,588","32,189","46,661","67,984","88,789",321
Indiana,Hancock,"5,735","1,173","2,199","1,975",388,"52,980",790,"2,904","16,475","11,119","4,847","11,198","5,647","49,286","16,845","9,157","8,972","3,355","9,938","9,464","4,150","21,160","19,626","6,635","12,725","11,224","2,705",16.4%,7.1%,4.1%,1.6%,"47,043","23,659","38,152","44,588","62,423","59,548",329
Indiana,Harrison,"2,812",337,"1,148","1,191",136,"28,361",556,"2,340","11,809","5,994","2,441","3,259","1,962","25,465","5,221","4,620","4,324",773,"5,113","4,626","1,115","11,536","10,645","2,210","7,092","5,870","1,123",13.5%,9.2%,9.4%,4.2%,"41,210","26,920","36,404","40,473","46,471","56,313",334
Indiana,Hendricks,"13,759","2,612","4,390","5,340","1,417","111,321","1,681","4,683","29,937","22,005","9,738","27,770","15,507","104,957","43,277","20,463","19,397","8,787","24,109","22,891","12,005","43,880","41,640","15,867","22,869","21,029","6,618",14.4%,6.7%,4.0%,2.5%,"49,093","28,804","39,088","44,673","59,784","71,478",341
Indiana,Henry,"3,855",610,"1,637","1,425",183,"34,340",727,"2,623","15,030","7,239","3,100","3,691","1,930","30,990","5,621","5,903","5,427",799,"5,884","5,432","1,390","13,448","12,360","2,108","9,105","7,771","1,324",26.8%,12.7%,10.1%,2.8%,"36,480","26,307","31,934","37,157","43,757","58,698",344
Indiana,Howard,"6,547","1,021","2,693","2,304",529,"57,190","1,689","3,550","21,429","13,275","5,174","7,791","4,282","51,951","12,073","9,905","9,076","2,448","9,233","8,448","2,154","22,236","20,297","4,582","15,816","14,130","2,889",23.8%,10.3%,8.8%,3.6%,"37,670","27,626","30,563","40,121","48,369","63,006",348
Indiana,Huntington,"3,515",601,"1,444","1,157",313,"25,021",592,"1,439","10,431","4,945","2,360","3,415","1,839","22,990","5,254","4,366","4,144","1,092","4,295","4,027","1,213","10,028","9,068","1,891","6,332","5,751","1,058",24.3%,8.4%,9.1%,4.5%,"36,684","25,580","32,517","36,998","42,211","56,273",352
Indiana,Jackson,"3,353",801,"1,512",895,145,"30,042",999,"2,365","12,175","6,639","2,495","3,615","1,754","26,678","5,369","5,574","4,982","1,040","5,764","5,147","1,421","11,621","10,566","1,837","7,083","5,983","1,071",41.8%,10.7%,8.6%,3.5%,"38,078","17,569","35,216","35,732","52,747","62,785",355
Indiana,Jasper,"2,966",492,"1,134","1,147",193,"22,720",453,"1,965","10,116","4,746","2,008","2,325","1,107","20,302","3,432","3,818","3,422",754,"4,122","3,685",655,"8,810","8,105","1,294","5,970","5,090",729,14.5%,9.0%,5.7%,2.7%,"41,176","29,583","41,897","40,282","43,514","50,641",356
Indiana,Jay,"1,702",426,795,336,145,"13,811",698,938,"6,524","2,658","1,263","1,146",584,"12,175","1,730","2,320","2,037",317,"2,280","2,051",344,"5,472","4,965",644,"3,739","3,122",425,19.4%,12.4%,10.8%,2.8%,"31,581","27,240","31,027","31,088","42,727","62,864",358
Indiana,Jefferson,"3,162",314,"1,032","1,597",219,"22,423",830,"1,567","9,318","4,405","2,414","2,540","1,349","20,026","3,889","3,883","3,544",661,"3,818","3,278",595,"8,925","8,108","1,731","5,797","5,096",902,26.3%,13.7%,10.4%,5.5%,"37,178","21,908","35,485","33,037","48,900","62,594",363
Indiana,Jennings,"2,262",161,"1,277",681,143,"18,925",561,"1,658","8,502","4,459","1,332","1,725",688,"16,706","2,413","3,292","3,034",596,"3,275","2,920",482,"7,893","7,165",921,"4,465","3,587",414,19.3%,8.9%,9.4%,2.0%,"37,508","27,364","34,930","37,000","50,344","60,288",367
Indiana,Johnson,"13,244","1,799","4,944","4,852","1,649","104,262","2,632","5,790","32,443","20,856","8,846","21,997","11,698","95,840","33,695","20,894","19,304","7,588","21,045","19,423","8,114","39,504","36,625","13,467","22,819","20,488","4,526",18.9%,9.0%,5.8%,1.8%,"45,605","26,510","37,320","42,991","60,887","65,771",370
Indiana,Knox,"4,377",300,"1,302","2,622",153,"24,574",751,"2,121","8,898","5,035","3,721","2,468","1,580","21,702","4,048","4,357","3,953","1,033","4,170","3,675",721,"9,490","8,332","1,390","6,557","5,742",904,30.8%,14.2%,7.6%,5.6%,"36,052","22,092","31,363","36,816","50,780","63,819",376
Indiana,Kosciusko,"7,266","1,468","2,763","2,524",511,"52,939","2,870","4,138","18,069","10,952","4,028","8,129","4,753","45,931","12,882","10,262","9,037","3,372","9,062","7,713","2,086","20,562","17,819","4,319","13,053","11,362","3,105",13.7%,7.0%,6.5%,7.6%,"39,074","30,077","34,864","40,875","42,739","61,699",384
Indiana,LaGrange,"3,514","2,223",723,511,57,"23,129","7,253","1,752","6,954","3,251","1,249","1,756",914,"14,124","2,670","4,733","2,517",541,"4,216","2,134",513,"8,701","5,593","1,208","5,479","3,880",408,6.3%,8.6%,3.2%,1.2%,"41,398","49,195","38,382","32,440","45,509","59,021",386
Indiana,Lake,"42,263","6,687","16,619","15,505","3,452","329,434","13,606","22,219","116,972","72,619","27,952","50,222","25,844","293,609","76,066","59,642","54,094","16,176","61,444","55,693","15,709","128,104","116,681","29,567","80,244","67,141","14,614",24.0%,13.2%,11.3%,4.7%,"40,917","27,308","34,375","37,677","53,139","64,852",389
Indiana,LaPorte,"9,077","1,854","3,956","2,351",916,"77,283","2,095","6,174","30,479","16,718","7,056","10,057","4,704","69,014","14,761","14,426","12,486","2,610","13,524","12,144","2,407","29,871","27,326","5,825","19,462","17,058","3,919",21.9%,12.0%,10.7%,2.8%,"36,499","22,216","31,584","36,453","49,131","59,196",392
Indiana,Lawrence,"3,433",526,"1,363","1,394",150,"32,211","1,111","2,411","13,297","6,003","3,339","3,639","2,411","28,689","6,050","5,089","4,563",986,"5,349","4,996","1,114","12,549","11,328","2,326","9,224","7,802","1,624",23.7%,9.3%,8.3%,4.8%,"36,155","25,585","30,257","37,097","64,118","73,068",396
Indiana,Madison,"11,174","2,064","4,955","3,382",773,"90,274","2,292","7,508","36,173","19,525","8,300","10,863","5,613","80,474","16,476","16,335","14,462","2,856","15,932","14,149","3,568","34,443","31,375","5,713","23,564","20,488","4,339",26.1%,13.5%,11.2%,3.3%,"35,697","20,850","31,314","36,122","45,558","59,263",401
Indiana,Marion,"90,096","14,472","30,828","31,730","13,066","630,976","28,464","55,204","173,864","121,761","48,854","131,401","71,428","547,308","202,829","161,503","142,285","61,199","123,285","104,845","41,529","226,294","198,120","67,563","119,894","102,058","32,538",29.6%,15.7%,10.8%,5.2%,"37,801","25,025","30,578","35,525","50,455","65,518",409
Indiana,Marshall,"3,708",926,"1,409","1,150",223,"30,941","1,695","2,894","11,882","5,987","2,378","3,860","2,245","26,352","6,105","5,202","4,360",913,"5,268","4,296","1,226","12,312","10,666","2,464","8,159","7,030","1,502",22.3%,12.4%,9.2%,6.6%,"37,730","31,883","37,150","36,148","42,000","57,845",412
Indiana,Martin,782,79,241,388,74,"7,130",223,677,"3,083","1,249",997,621,280,"6,230",901,"1,113",974,236,"1,170",995,68,"2,853","2,544",357,"1,994","1,717",240,13.0%,12.7%,7.0%,4.9%,"36,760","30,833","33,596","38,505","47,955","62,969",418
Indiana,Miami,"3,258",580,"1,625",841,212,"24,863",912,"2,535","10,316","5,538","2,145","2,278","1,139","21,416","3,417","4,576","3,845",678,"4,450","3,785",575,"9,635","8,609","1,323","6,202","5,177",841,18.7%,11.8%,9.4%,6.7%,"34,502","21,530","32,042","36,466","43,965","51,643",420
Indiana,Monroe,"38,684","1,091","6,295","25,742","5,556","85,442","1,260","4,699","18,818","15,120","6,847","19,959","18,739","79,483","38,698","21,056","20,160","10,933","15,657","14,427","8,182","29,672","27,666","11,980","19,057","17,230","7,603",34.4%,16.6%,12.1%,7.8%,"37,302","15,508","29,633","34,191","41,023","54,716",422
Indiana,Montgomery,"3,490",504,"1,434","1,434",118,"26,222",574,"1,938","10,630","5,712","1,919","3,508","1,941","23,710","5,449","4,607","4,219","1,279","4,300","3,681",814,"10,336","9,503","2,216","6,979","6,307","1,140",23.5%,10.1%,7.4%,2.4%,"39,639","27,500","33,231","39,801","55,019","93,167",425
Indiana,Morgan,"5,689","1,484","2,008","1,708",489,"48,605","1,198","4,567","19,565","10,163","4,060","5,964","3,088","42,840","9,052","7,908","7,146","1,465","8,237","7,536","2,065","20,834","18,238","3,657","11,626","9,920","1,865",15.1%,8.2%,6.1%,1.9%,"41,411","25,269","38,512","41,215","58,500","71,792",430
Indiana,Newton,"1,014",316,394,251,53,"9,967",410,986,"4,506","2,119",756,953,237,"8,571","1,190","1,568","1,450",404,"1,649","1,409",134,"4,088","3,434",427,"2,662","2,278",225,24.0%,7.2%,8.7%,1.3%,"39,058","35,442","42,864","40,738","35,928","76,250",433
Indiana,Noble,"3,957",858,"1,749","1,081",269,"31,910","2,777","2,376","12,740","6,382","2,716","3,485","1,434","26,757","4,919","5,763","4,842","1,024","5,723","4,409",641,"12,906","11,101","2,078","7,518","6,405","1,176",13.8%,6.2%,6.4%,2.1%,"37,479","31,797","34,493","38,669","46,564","46,893",436
Indiana,Ohio,362,36,173,135,18,"4,399",149,387,"1,829","1,059",341,412,222,"3,863",634,631,592,136,653,624,171,"1,837","1,579",190,"1,278","1,068",137,17.6%,5.7%,10.1%,1.9%,"37,898","34,500","40,718","30,327","64,271","50,114",440
Indiana,Orange,"1,457",257,593,489,118,"13,649",704,"1,544","6,003","2,522","1,111","1,154",611,"11,401","1,765","2,204","1,968",233,"2,215","1,819",343,"5,436","4,487",648,"3,794","3,127",541,25.1%,11.3%,5.9%,7.8%,"32,293","22,917","30,157","34,210","40,373","58,317",444
Indiana,Owen,"1,464",290,645,374,155,"15,035",657,"1,546","6,404","3,209","1,014","1,472",733,"12,832","2,205","2,256","1,917",494,"2,289","1,983",394,"6,414","5,454",741,"4,076","3,478",576,21.0%,11.7%,10.4%,4.8%,"34,677","27,830","31,688","37,131","40,916","70,045",448
Indiana,Parke,"1,252",434,372,371,75,"11,904",803,"1,127","4,620","2,597","1,273",884,600,"9,974","1,484","2,082","1,636",154,"1,814","1,370",252,"4,733","4,156",671,"3,275","2,812",407,23.0%,12.1%,6.4%,3.4%,"38,037","30,208","38,396","34,263","54,267","62,652",452
Indiana,Perry,"1,439",226,569,571,73,"13,628",327,971,"6,276","2,603","1,272","1,418",761,"12,330","2,179","2,494","2,290",425,"2,394","2,279",625,"5,162","4,735",623,"3,578","3,026",506,21.5%,7.1%,8.0%,13.5%,"36,021","25,375","32,347","40,710","38,220","64,485",459
Indiana,Pike,942,175,450,155,162,"8,733",295,777,"3,914","1,574",822,905,446,"7,661","1,351","1,338","1,230",241,"1,362","1,239",201,"3,541","3,059",535,"2,492","2,133",374,26.9%,7.8%,6.5%,1.9%,"41,397","32,917","38,365","40,893","58,309","60,179",465
Indiana,Porter,"15,158","1,829","6,451","5,403","1,475","116,954","2,527","5,075","40,127","25,246","10,478","20,970","12,531","109,352","33,501","20,780","19,851","6,380","22,341","21,038","8,394","46,057","43,414","12,159","27,776","25,049","6,568",22.5%,9.3%,8.2%,3.5%,"45,591","31,537","38,304","40,588","54,015","68,248",468
Indiana,Posey,"1,849",297,574,778,200,"18,003",329,"1,011","6,584","3,961","1,975","2,694","1,449","16,663","4,143","2,960","2,775",853,"3,012","2,906","1,083","7,270","6,748","1,582","4,761","4,234",625,22.0%,10.3%,4.8%,5.7%,"43,029",-,"37,632","40,909","49,958","63,698",471
Indiana,Pulaski,"1,038",120,524,343,51,"8,687",248,792,"3,815","1,991",722,758,361,"7,647","1,119","1,427","1,204",359,"1,425","1,248",208,"3,404","3,041",325,"2,431","2,154",227,21.1%,6.7%,12.4%,3.1%,"35,022","30,060","36,403","32,050","39,486","39,577",477
Indiana,Putnam,"5,197",329,"1,341","3,352",175,"25,010",965,"1,806","10,448","5,443","2,127","2,705","1,516","22,239","4,221","4,564","4,201",522,"4,419","3,909","1,035","9,798","8,687","1,583","6,229","5,442","1,081",18.4%,9.7%,5.0%,3.0%,"39,450","34,583","34,348","35,615","60,455","56,439",480
Indiana,Randolph,"1,870",388,852,564,66,"17,195",423,"1,519","7,226","3,990","1,220","1,694","1,123","15,253","2,817","2,685","2,334",444,"2,816","2,543",572,"6,727","6,056","1,022","4,967","4,320",779,23.1%,11.2%,9.0%,2.9%,"36,238","27,231","32,612","36,951","52,104","60,820",485
Indiana,Ripley,"2,354",442,"1,262",502,148,"19,326",515,"1,376","8,110","3,597","1,943","2,209","1,576","17,435","3,785","3,104","2,840",741,"3,348","3,062",793,"7,831","7,202","1,525","5,043","4,331",726,21.1%,9.1%,8.6%,2.1%,"40,503","28,036","34,913","38,383","51,803","65,923",488
Indiana,Rush,"1,328",293,636,381,18,"11,609",415,959,"5,369","2,227",872,"1,229",538,"10,235","1,767","1,816","1,702",243,"1,884","1,630",337,"4,889","4,350",713,"3,020","2,553",474,24.2%,10.7%,9.0%,4.7%,"37,568","22,097","36,582","35,816","44,413","61,654",493
Indiana,St. Joseph,"29,943","2,571","9,455","14,271","3,646","177,072","4,841","13,205","53,055","35,517","15,591","32,679","22,184","159,026","54,863","36,210","33,001","12,618","31,871","28,523","11,169","66,256","59,966","19,252","42,735","37,536","11,824",30.2%,14.2%,10.4%,5.1%,"37,874","25,149","31,464","35,475","46,214","61,774",496
Indiana,Scott,"2,035",352,"1,004",581,98,"16,501","1,000","2,176","6,955","3,082","1,112","1,300",876,"13,325","2,176","2,831","2,319",446,"2,776","2,434",431,"6,827","5,545",895,"4,067","3,027",404,26.7%,18.8%,7.9%,2.7%,"35,168","25,025","32,583","35,629","43,777","67,102",504
Indiana,Shelby,"3,379",639,"1,498","1,063",179,"31,002",992,"2,632","13,475","5,595","2,424","4,064","1,820","27,378","5,884","5,614","5,169","1,460","5,243","4,885","1,191","12,569","11,121","2,204","7,576","6,203","1,029",20.2%,8.9%,7.0%,2.8%,"40,821","26,985","35,679","42,124","49,720","59,787",506
Indiana,Spencer,"1,482",320,477,574,111,"14,454",244,"1,037","6,181","2,686","1,799","1,617",890,"13,173","2,507","2,237","2,028",406,"2,345","2,228",533,"5,845","5,465","1,036","4,027","3,452",532,14.3%,7.3%,5.4%,3.2%,"39,554","25,813","37,157","37,590","53,090","52,545",509
Indiana,Starke,"1,720",399,681,578,62,"15,841",786,"1,600","6,910","3,449","1,264","1,274",558,"13,455","1,832","2,623","2,264",372,"2,668","2,265",475,"6,347","5,508",602,"4,203","3,418",383,25.5%,16.3%,11.9%,7.6%,"32,427","23,309","30,732","32,989","42,280","65,313",512
Indiana,Steuben,"3,574",703,"1,244","1,341",286,"23,960",495,"1,573","9,415","4,669","2,427","3,304","2,077","21,892","5,381","3,786","3,505",959,"3,480","3,143","1,043","9,738","8,966","1,693","6,956","6,278","1,686",19.4%,8.2%,7.9%,2.3%,"38,468","27,389","32,146","39,705","50,689","59,444",515
Indiana,Sullivan,"1,674",298,626,604,146,"14,956",606,"1,149","6,471","3,073","1,762","1,197",698,"13,201","1,895","2,767","2,402",203,"2,792","2,562",368,"5,762","5,172",914,"3,635","3,065",410,21.7%,14.0%,8.3%,1.1%,"32,946","21,500","31,746","31,656","38,681","63,706",518
Indiana,Switzerland,751,117,516,105,13,"7,320",315,859,"3,789","1,241",429,446,241,"6,146",687,"1,133",924,86,"1,289","1,061",100,"2,891","2,527",376,"2,007","1,634",125,32.0%,18.9%,12.2%,1.9%,"35,913","23,875","32,635","35,977","47,328","46,375",526
Indiana,Tippecanoe,"46,304","1,629","12,422","25,908","6,345","107,389","2,924","5,544","29,223","19,226","7,805","23,755","18,912","98,921","42,667","27,532","25,916","13,161","20,530","18,538","9,093","37,341","34,541","13,451","21,986","19,926","6,962",18.7%,12.9%,9.8%,6.2%,"39,323","25,110","33,221","33,498","48,412","60,433",530
Indiana,Tipton,"1,125",180,350,448,147,"10,853",229,767,"4,331","1,760",953,"1,919",894,"9,857","2,813","1,627","1,486",531,"1,671","1,394",509,"4,419","4,231","1,210","3,136","2,746",563,30.5%,8.5%,5.4%,3.7%,"43,745","22,083","37,612","39,594","50,972","62,212",534
Indiana,Union,545,69,287,127,62,"5,101",123,502,"2,077","1,003",418,653,325,"4,476",978,832,791,180,787,638,135,"2,084","1,908",362,"1,398","1,139",301,7.3%,8.1%,2.4%,7.1%,"36,806","30,896","37,607","33,454","41,429","58,009",538
Indiana,Vanderburgh,"17,752","2,248","5,100","8,486","1,918","124,548","2,882","9,229","39,263","26,141","13,520","21,681","11,832","112,437","33,513","25,852","23,473","7,764","21,329","19,630","7,278","46,734","42,303","11,630","30,633","27,031","6,841",27.1%,16.9%,10.2%,4.9%,"36,655","21,076","29,446","35,756","48,611","57,098",543
Indiana,Vermillion,"1,188",256,411,481,40,"10,915",216,691,"4,643","2,357","1,295","1,183",530,"10,008","1,713","1,694","1,590",349,"1,877","1,670",278,"4,269","3,974",537,"3,075","2,774",549,22.7%,14.6%,9.6%,3.0%,"36,857","29,135","32,283","38,371","41,749","55,443",548
Indiana,Vigo,"16,040","1,326","4,180","9,093","1,441","69,375","1,685","5,511","22,573","16,210","6,128","10,134","7,134","62,179","17,268","13,910","12,235","3,591","12,333","11,052","3,326","25,597","23,240","5,607","17,535","15,652","4,744",29.5%,16.7%,10.8%,4.8%,"35,041","22,172","29,433","34,791","43,013","66,900",553
Indiana,Wabash,"3,301",551,"1,217","1,327",206,"21,456",569,"1,638","9,213","4,159","1,820","2,522","1,535","19,249","4,057","3,353","3,057",521,"3,333","2,977",755,"8,278","7,417","1,561","6,492","5,798","1,220",23.9%,10.2%,5.6%,3.0%,"36,138","28,772","34,040","35,405","44,182","51,963",555
Indiana,Warren,542,65,175,236,66,"5,909",98,306,"2,426","1,238",748,787,306,"5,505","1,093",849,806,263,964,940,171,"2,383","2,245",364,"1,713","1,514",295,19.6%,7.3%,9.7%,0.9%,"40,944","34,688","35,750","41,346","44,815","56,071",567
Indiana,Warrick,"4,463",630,"1,615","1,787",431,"43,205",628,"1,907","12,330","8,885","5,207","9,089","5,159","40,670","14,248","6,669","6,337","2,691","8,518","8,164","3,699","17,136","16,271","5,315","10,882","9,898","2,543",19.5%,9.0%,3.7%,1.0%,"46,347","29,214","36,393","43,813","54,351","73,283",575
Indiana,Washington,"2,092",389,829,740,134,"19,451",912,"1,968","8,282","3,972","1,911","1,771",635,"16,571","2,406","3,240","2,962",477,"3,362","3,109",591,"8,089","6,877",886,"4,760","3,623",452,16.6%,13.3%,13.9%,4.6%,"35,418","29,552","32,826","33,131","46,972","58,403",584
Indiana,Wayne,"6,126",744,"2,600","2,529",253,"45,434","1,972","3,574","16,554","9,971","4,360","5,462","3,541","39,888","9,003","7,685","6,584","1,473","7,579","6,956","1,490","17,608","15,859","3,753","12,562","10,489","2,287",24.2%,14.3%,11.2%,5.7%,"33,274","21,898","29,142","33,030","45,464","57,406",586
Indiana,Wells,"2,033",304,984,595,150,"19,022",331,"1,144","7,671","3,919","2,397","2,570",990,"17,547","3,560","3,204","2,941",849,"3,289","3,105",622,"7,450","7,041","1,365","5,079","4,460",724,7.5%,8.8%,6.5%,3.8%,"37,436","35,557","32,419","36,892","51,031","70,510",590
Indiana,White,"1,809",411,817,527,54,"16,718",592,"1,208","6,736","3,758","1,638","1,909",877,"14,918","2,786","2,636","2,276",506,"2,515","2,290",625,"6,774","5,962",995,"4,793","4,390",660,18.9%,8.7%,5.6%,2.2%,"38,713","32,083","34,970","37,826","49,000","53,409",594
Indiana,Whitley,"2,497",483,"1,021",775,218,"23,594",619,"1,399","8,604","4,874","2,808","3,817","1,473","21,576","5,290","3,981","3,866","1,074","4,038","3,682",994,"9,518","8,913","2,101","6,057","5,115","1,121",11.3%,7.4%,6.8%,2.7%,"40,717","27,110","35,576","39,671","50,280","60,300",597
Iowa,Adair,440,43,203,171,23,"5,101",92,161,"2,075","1,021",757,748,247,"4,848",995,826,775,255,738,736,140,"1,960","1,880",334,"1,577","1,457",266,15.8%,11.7%,10.3%,1.6%,"38,901","26,250","36,071","40,237","39,826","50,592",598
Iowa,Adams,236,27,112,95,2,"2,650",80,97,"1,027",572,415,357,102,"2,473",459,405,388,93,358,342,96,"1,051",984,163,836,759,107,42.9%,14.1%,10.8%,4.5%,"35,000",-,"33,075","33,690","42,250","70,438",602
Iowa,Allamakee,937,120,320,478,19,"9,642",604,512,"3,705","1,718","1,348","1,280",475,"8,526","1,755","1,424","1,284",255,"1,387","1,175",296,"3,720","3,344",706,"3,111","2,723",498,22.6%,8.9%,6.6%,3.7%,"37,962","36,705","32,388","37,265","44,861","57,188",608
Iowa,Appanoose,827,159,365,261,42,"8,852",320,523,"3,094","2,221","1,065","1,256",373,"8,009","1,629","1,249","1,127",218,"1,277","1,200",218,"3,441","3,109",659,"2,885","2,573",534,29.3%,19.5%,13.7%,2.4%,"35,411","29,375","27,318","35,297","54,648","55,417",611
Iowa,Audubon,368,18,130,170,50,"4,012",116,286,"1,412",958,486,555,199,"3,610",754,502,488,156,561,508,107,"1,585","1,460",260,"1,364","1,154",231,22.0%,10.7%,4.3%,3.3%,"31,667","16,250","30,943","29,850","47,024","39,500",615
Iowa,Benton,"1,819",279,618,828,94,"17,768",274,666,"6,797","3,787","2,613","2,522","1,109","16,828","3,631","2,621","2,491",711,"3,074","2,889",824,"7,376","7,193","1,417","4,697","4,255",679,15.6%,11.8%,6.8%,4.0%,"43,832","26,190","38,497","40,050","56,593","70,982",619
Iowa,Black Hawk,"19,481","1,377","3,773","12,414","1,917","83,770","2,413","4,454","25,040","17,735","9,666","16,215","8,247","76,903","24,462","17,142","16,038","5,866","14,947","13,880","5,455","29,951","27,307","7,629","21,730","19,678","5,512",23.0%,12.9%,10.8%,3.4%,"38,896","30,294","31,892","36,308","48,213","70,997",623
