County,State,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),Percent high school graduate or higher (Population 25 years and over),Percent bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Texas,Rusk,"4,819",891,"1,922","1,918",88,"37,152","2,460","3,997","11,963","9,322","3,485","3,858","2,067","30,695","5,925","7,184","6,011",771,"7,366","5,963","1,216","13,575","11,221","2,103","9,027","7,500","1,835",18.9%,12.0%,6.6%,2.6%,"36,837","29,586","35,827","33,520","55,670","47,969",2367
Texas,Sabine,588,150,291,133,14,"7,948",217,920,"2,794","1,992",646,817,562,"6,811","1,379",984,845,89,893,782,122,"2,868","2,421",446,"3,203","2,763",722,21.3%,19.5%,9.4%,10.2%,"30,055","19,644","23,677","36,406","47,250",-,2370
Texas,San Augustine,475,217,102,156,0,"6,160",324,785,"2,575","1,359",257,558,302,"5,051",860,724,696,157,886,585,99,"2,334","1,993",221,"2,216","1,777",383,40.4%,22.9%,13.8%,8.7%,"28,110","25,230","22,399","37,008","46,250",-,2380
Texas,San Jacinto,"1,767",347,"1,026",389,5,"20,611","1,010","1,980","8,767","4,665","1,063","2,061","1,065","17,621","3,126","3,453","3,251",407,"2,837","2,107",444,"8,101","6,773",989,"6,220","5,490","1,286",20.7%,16.1%,7.7%,3.1%,"37,460","26,529","34,788","37,330","45,472","62,831",2387
Texas,San Patricio,"5,952","1,072","2,943","1,694",243,"43,016","3,631","4,373","14,089","10,811","3,281","4,637","2,194","35,012","6,831","8,894","7,478","1,056","8,675","7,518","1,483","15,499","12,954","2,640","9,948","7,062","1,652",22.5%,10.8%,9.8%,5.1%,"36,803","22,811","33,816","36,860","54,600","59,796",2415
Texas,San Saba,617,208,308,96,5,"4,198",405,401,"1,552",935,176,600,129,"3,392",729,736,520,79,704,585,110,"1,351","1,148",239,"1,407","1,139",301,26.8%,6.8%,6.6%,0.8%,"30,874","23,942","24,655","27,143","46,563",-,2435
Texas,Schleicher,231,81,60,50,40,"1,922",256,143,542,555,117,251,58,"1,523",309,367,305,22,333,299,37,543,443,79,679,476,171,29.6%,18.1%,9.5%,0.0%,"35,283","13,676","62,292","41,250",-,-,2437
Texas,Scurry,"1,521",431,666,410,14,"11,212","1,013","1,205","3,700","2,740",747,"1,290",517,"8,994","1,807","2,410","2,143",481,"2,475","1,941",350,"3,776","3,039",478,"2,551","1,871",498,24.0%,12.0%,7.8%,3.1%,"35,694","32,120","27,286","38,173","39,970","47,841",2443
Texas,Shackelford,263,99,51,113,0,"2,259",67,203,463,677,112,524,213,"1,989",737,377,363,106,260,252,123,974,797,234,648,577,274,9.8%,17.1%,6.2%,3.3%,"33,549",-,"16,806","33,917","41,250","30,800",2445
Texas,Shelby,"2,209",520,995,619,75,"16,446","1,501","2,119","5,679","3,922",920,"1,699",606,"12,826","2,305","2,812","2,063",242,"2,893","2,056",251,"6,289","5,130","1,092","4,452","3,577",720,34.0%,18.9%,14.7%,4.3%,"33,690","21,906","31,823","31,887","51,058","53,571",2448
Texas,Sherman,304,96,71,123,14,"2,039",309,212,502,462,177,300,77,"1,518",377,303,225,23,406,278,105,855,626,156,475,389,93,7.6%,10.2%,11.4%,0.0%,"42,808","32,587","37,273","44,727","51,364",-,2453
Texas,Smith,"22,521","3,483","6,487","11,189","1,362","151,253","8,133","11,400","35,547","40,403","14,877","27,612","13,281","131,720","40,893","31,438","28,117","8,092","27,340","24,359","7,259","54,344","46,270","14,766","38,131","32,974","10,776",25.2%,14.3%,9.4%,4.7%,"37,116","25,387","29,415","35,304","49,310","66,532",2465
Texas,Somervell,680,65,409,193,13,"6,279",122,390,"2,178","1,366",410,"1,326",487,"5,767","1,813",906,906,156,"1,169","1,130",304,"2,490","2,176",837,"1,714","1,555",516,37.6%,24.4%,12.0%,5.3%,"44,052","35,551","40,910","36,250","68,241",-,2470
Texas,Starr,"7,290","1,334","2,176","3,263",517,"35,668","9,661","5,458","9,456","5,893","1,298","2,729","1,173","20,549","3,902","8,576","7,000","1,448","7,488","4,908",927,"12,349","6,380","1,119","7,255","2,261",408,36.5%,27.6%,14.6%,7.4%,"21,735","17,567","19,947","23,635","38,600","56,182",2474
Texas,Stephens,895,219,464,159,53,"6,352",538,746,"2,094","1,548",426,771,229,"5,068","1,000",992,900,136,"1,338",896,151,"2,181","1,755",438,"1,841","1,517",275,14.1%,17.9%,20.8%,3.2%,"36,093","16,585","43,244","34,787","50,247","46,389",2480
Texas,Sterling,122,0,60,62,0,762,50,33,371,149,19,83,57,679,140,134,116,30,108,108,6,385,332,88,135,123,16,8.0%,3.4%,0.0%,0.0%,"37,348","28,403","34,650","72,813","49,750","38,906",2481
Texas,Stonewall,149,15,60,65,9,881,57,105,353,240,16,81,29,719,110,102,100,23,116,91,6,374,303,34,289,225,47,8.7%,11.8%,6.1%,0.0%,"31,563","30,517","37,500","27,159","38,125","48,750",2486
Texas,Sutton,273,53,107,113,0,"2,468",330,279,804,473,129,289,164,"1,859",453,464,411,112,564,457,173,802,635,75,638,356,93,14.7%,16.3%,0.2%,0.0%,"41,651","35,278","28,036","51,731","53,646","48,750",2490
Texas,Swisher,664,119,327,108,110,"4,899",569,644,"1,723",985,198,587,193,"3,686",780,"1,026",794,154,935,635,90,"1,526","1,235",254,"1,412","1,022",282,35.2%,23.8%,11.1%,3.2%,"30,580","22,727","21,010","37,596","35,698","51,250",2495
Texas,Tarrant,"194,518","27,432","65,782","80,654","20,650","1,336,510","84,585","95,869","319,800","295,235","105,192","289,302","146,527","1,156,056","435,829","310,792","278,783","103,628","284,260","243,645","98,645","506,382","434,650","162,170","235,076","198,978","71,386",19.4%,10.9%,7.3%,3.9%,"43,093","27,386","33,093","41,191","58,816","73,890",2500
Texas,Taylor,"19,251","1,808","6,509","9,422","1,512","84,236","3,456","5,392","25,733","19,869","7,189","14,479","8,118","75,388","22,597","20,280","19,045","5,435","15,715","13,957","4,159","28,343","25,198","7,878","19,898","17,188","5,125",30.2%,13.9%,7.7%,3.2%,"35,904","20,638","27,450","35,603","49,380","64,126",2508
