state,declarationDate,incidentType,designatedArea,FID
MT,2020-03-13T16:00:00.000Z,Biological,Flathead,222
ND,2020-03-13T16:00:00.000Z,Biological,Fort Berthold,224
ND,2020-03-13T16:00:00.000Z,Biological,Spirit Lake,322
ND,2020-03-13T16:00:00.000Z,Biological,Standing Rock,324
ND,2020-03-13T16:00:00.000Z,Biological,Turtle Mountain,159
UT,2020-03-13T16:00:00.000Z,Biological,Goshute,235
UT,2020-03-13T16:00:00.000Z,Biological,Navajo Nation,95
UT,2020-03-13T16:00:00.000Z,Biological,Northwestern Shoshone,277
UT,2020-03-13T16:00:00.000Z,Biological,Paiute (UT),286
UT,2020-03-13T16:00:00.000Z,Biological,Skull Valley,319
UT,2020-03-13T16:00:00.000Z,Biological,Uintah and Ouray,162
UT,2020-03-13T16:00:00.000Z,Biological,Ute Mountain,169
WY,2020-03-13T16:00:00.000Z,Biological,Wind River,173
IA,2020-03-13T16:00:00.000Z,Biological,Omaha,280
IA,2020-03-13T16:00:00.000Z,Biological,Sac and Fox/Meskwaki,122
KS,2020-03-13T16:00:00.000Z,Biological,Kickapoo (KS),251
KS,2020-03-13T16:00:00.000Z,Biological,Prairie Band of Potawatomi Nation,297
KS,2020-03-13T16:00:00.000Z,Biological,Iowa (KS-NE),61
KS,2020-03-13T16:00:00.000Z,Biological,Sac and Fox Nation,120
NE,2020-03-13T16:00:00.000Z,Biological,Iowa (KS-NE),62
NE,2020-03-13T16:00:00.000Z,Biological,Omaha,281
NE,2020-03-13T16:00:00.000Z,Biological,Ponca (NE),354
NE,2020-03-13T16:00:00.000Z,Biological,Sac and Fox Nation,121
NE,2020-03-13T16:00:00.000Z,Biological,Winnebago,175
NE,2020-03-13T16:00:00.000Z,Biological,Santee,316
NM,2020-03-13T16:00:00.000Z,Biological,Santa Clara,126
OK,2020-03-13T16:00:00.000Z,Biological,Quapaw,390
NE,2020-03-13T16:00:00.000Z,Biological,Ponca (NE),354
NE,2020-03-13T16:00:00.000Z,Biological,Ponca (NE),354
NE,2020-03-13T16:00:00.000Z,Biological,Winnebago,175
MA,2020-03-13T16:00:00.000Z,Biological,Mashpee Wampanoag,349
