State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,"FID"
Montana,Flathead,"89,912",23.25,62.65,14.09,95.76,0.22,1.47,0.56,0.03,0.24,1.72,2.36,93.99,4.8,21.37,22.85,20.01,47.34,4.49,5.23,18.32,23.96,33.0,36.44,1173
Montana,Gallatin,"86,003",21.64,68.6,9.75,95.23,0.34,1.06,0.99,0.06,0.48,1.83,2.75,93.4,2.48,13.24,19.92,29.88,56.41,3.51,5.76,17.95,22.05,28.21,30.6,1177
Montana,Garfield,"1,092",22.16,52.38,25.46,97.89,0.0,1.01,0.0,0.0,0.0,1.1,0.37,97.53,5.95,34.34,22.34,10.16,53.57,0.09,2.47,18.32,22.62,32.6,36.26,1182
Montana,Glacier,"13,180",31.43,58.11,10.46,31.85,0.0,64.72,0.38,0.1,0.63,2.32,1.49,31.58,10.78,16.13,20.55,11.09,40.36,7.66,13.07,37.22,41.67,50.99,51.93,1186
Montana,Golden Valley,759,24.64,52.04,23.32,99.6,0.0,0.0,0.0,0.0,0.13,0.26,1.19,98.42,8.96,24.37,18.97,17.26,41.9,2.77,13.57,27.01,33.86,38.47,41.9,1189
Montana,Granite,"3,030",16.34,58.61,25.05,97.66,0.13,0.53,0.33,0.0,0.0,1.35,1.58,96.11,7.95,26.8,22.77,21.75,45.74,2.57,3.66,19.34,23.33,29.41,33.56,1192
Montana,Hill,"15,733",27.29,60.14,12.57,73.48,0.15,22.07,0.27,0.17,0.35,3.51,2.28,72.26,5.85,17.5,26.64,13.18,47.43,2.61,7.91,24.62,29.05,35.8,38.0,1195
Montana,Jefferson,"11,135",22.1,63.42,14.48,96.1,0.45,0.71,0.39,0.0,0.33,2.02,1.97,94.5,4.27,21.01,22.2,24.97,48.35,2.96,3.15,10.39,15.89,20.84,23.78,1199
Montana,Judith Basin,"2,052",18.27,57.8,23.93,98.73,0.0,0.24,0.0,0.0,0.1,0.93,0.78,98.0,4.82,24.61,25.19,23.64,42.25,2.34,6.73,16.33,20.86,29.87,34.84,1202
Montana,Lake,"28,351",24.98,57.94,17.08,70.15,0.21,23.09,0.2,0.0,0.11,6.24,3.62,68.08,6.78,20.37,22.32,17.48,40.39,6.0,10.28,28.72,35.52,45.23,48.49,1207
Montana,Lewis and Clark,"61,767",22.64,63.39,13.97,93.87,0.42,2.31,0.44,0.03,0.37,2.55,2.47,92.5,3.55,16.76,23.19,26.47,52.4,3.38,4.37,13.28,17.11,23.16,25.25,1211
Montana,Liberty,"2,276",19.9,57.95,22.14,96.49,0.35,1.45,0.0,0.62,0.66,0.44,0.0,96.49,19.02,13.36,24.47,14.81,38.18,1.54,21.53,30.4,33.04,38.31,45.12,1214
Montana,Lincoln,"19,324",19.01,60.53,20.46,96.26,0.28,1.85,0.49,0.0,0.04,1.07,2.32,94.31,9.7,26.47,25.34,13.74,39.14,5.61,6.61,27.56,33.99,41.83,46.13,1219
Montana,McCone,"1,797",23.71,59.6,16.69,97.55,0.0,0.11,0.0,0.0,0.0,2.34,0.0,97.55,4.67,30.44,22.2,14.3,59.49,0.89,3.9,14.97,21.04,31.83,33.83,1223
Montana,Madison,"7,611",17.55,61.81,20.64,97.07,0.2,0.2,0.54,0.16,0.39,1.45,2.48,95.35,3.23,24.49,24.73,24.52,52.57,3.38,5.2,14.98,20.9,27.91,32.53,1226
Montana,Meagher,"1,856",21.07,60.18,18.75,98.76,0.0,0.22,0.27,0.0,0.32,0.43,0.81,98.38,8.67,31.3,21.93,12.28,45.96,1.78,5.33,23.44,38.09,45.42,48.81,1231
Montana,Mineral,"4,114",20.59,56.9,22.51,95.21,2.31,1.9,0.27,0.0,0.1,0.22,2.07,93.46,8.46,31.75,22.95,10.01,36.32,4.06,5.69,28.76,36.85,43.75,45.99,1234
Montana,Missoula,"107,492",20.06,68.53,11.41,93.15,0.41,2.53,1.09,0.12,0.3,2.4,2.63,91.04,3.6,15.71,20.4,25.56,52.93,4.73,7.83,22.33,27.31,34.18,36.97,1239
Montana,Musselshell,"4,529",20.62,60.85,18.53,95.89,0.26,0.53,0.0,0.0,0.49,2.83,2.56,94.1,9.94,30.85,23.07,9.74,46.65,2.38,4.59,22.74,25.26,33.58,35.06,1241
Montana,Park,"15,473",19.04,63.98,16.98,96.81,0.16,0.43,0.04,0.01,0.1,2.46,2.15,95.26,5.85,23.55,22.28,23.89,48.5,3.13,4.2,16.43,23.92,35.62,39.0,1244
Montana,Petroleum,562,24.56,57.12,18.33,94.66,3.74,0.0,0.0,0.0,0.0,1.6,5.34,90.93,4.98,30.96,25.09,11.21,47.15,1.07,3.74,25.62,27.4,46.26,48.22,1247
Montana,Phillips,"4,154",22.75,57.2,20.05,86.78,0.0,6.76,0.0,0.0,0.84,5.61,0.53,86.47,4.96,32.5,23.52,11.87,44.29,1.37,4.91,20.97,27.95,35.44,37.96,1250
Montana,Pondera,"6,079",24.54,56.85,18.61,82.97,0.49,14.39,0.23,0.0,0.43,1.48,1.35,81.79,8.27,20.2,25.91,13.83,44.55,3.42,10.94,22.91,29.13,38.1,40.5,1254
Montana,Powder River,"1,601",21.61,57.15,21.24,96.13,0.0,0.87,0.0,0.0,0.0,3.0,1.81,94.32,4.81,24.11,32.67,11.68,54.72,2.44,5.81,18.55,23.49,28.67,32.98,1259
Montana,Powell,"5,588",19.51,61.31,19.18,96.96,0.34,0.41,0.55,0.11,0.29,1.34,0.88,96.55,4.78,23.71,27.43,18.36,48.6,1.81,6.96,20.62,23.51,34.91,37.99,1262
Montana,Prairie,"1,166",15.27,56.35,28.39,96.4,0.0,2.14,0.0,0.09,0.0,1.37,0.51,95.88,12.78,26.59,25.3,13.89,40.39,3.6,10.46,27.62,32.5,39.19,41.25,1264
Montana,Ravalli,"39,993",21.83,58.95,19.22,96.35,0.28,0.94,0.52,0.0,0.2,1.72,3.0,93.86,5.56,24.41,24.2,17.85,43.47,4.02,5.83,19.82,25.03,34.93,38.73,1268
Montana,Richland,"9,894",23.62,62.35,14.03,95.66,0.43,1.74,0.0,0.0,0.62,1.55,3.26,93.02,7.54,24.47,25.21,11.6,54.24,2.75,4.61,18.94,22.18,29.64,30.74,1271
Montana,Roosevelt,"10,299",31.53,57.78,10.69,36.24,0.05,53.97,0.16,0.0,0.39,9.2,1.36,35.53,8.48,22.92,17.62,9.15,37.29,1.26,13.29,27.92,32.53,41.44,43.26,1275
Montana,Rosebud,"9,115",29.51,59.06,11.43,62.01,0.52,33.0,0.61,0.0,1.02,2.84,3.49,60.08,6.8,20.64,22.55,12.69,44.27,4.52,7.8,23.84,31.26,39.76,42.38,1277
Montana,Sanders,"11,215",19.73,58.46,21.81,92.0,0.11,5.47,0.27,0.0,0.38,1.77,2.06,90.8,9.69,29.78,22.56,12.72,38.24,4.81,6.87,30.28,36.38,46.95,53.74,1278
Montana,Sheridan,"3,367",22.04,56.93,21.03,95.28,0.18,1.25,0.0,0.0,0.0,3.3,0.5,94.92,5.79,17.37,32.97,16.45,52.18,1.57,2.11,13.84,22.75,28.07,30.5,1281
Montana,Silver Bow,"33,146",21.24,62.76,16.0,95.31,0.2,1.39,0.61,0.0,0.49,2.0,3.7,92.34,6.4,25.74,21.46,15.42,48.57,3.28,5.18,23.11,29.17,37.52,40.26,1284
Montana,Stillwater,"9,013",22.43,61.21,16.35,96.68,0.17,0.63,0.16,0.21,0.62,1.53,2.43,95.16,5.4,28.07,22.58,16.04,49.93,2.25,5.28,12.96,18.41,25.4,27.73,1286
Montana,Sweet Grass,"3,627",27.76,55.94,16.29,97.35,0.0,0.0,0.55,0.0,0.0,2.1,2.34,96.47,5.96,27.38,17.81,17.09,48.28,2.29,7.11,19.93,25.81,30.74,34.27,1288
Montana,Teton,"6,021",23.7,56.09,20.21,95.95,0.0,1.88,0.18,0.0,0.68,1.31,1.35,95.03,7.57,20.4,23.97,18.27,44.38,2.64,6.73,19.03,26.71,34.79,40.01,1290
Montana,Toole,"4,429",21.79,62.79,15.42,93.99,0.0,2.98,0.0,0.32,0.41,2.3,1.35,92.71,7.09,20.93,28.34,14.34,53.6,1.56,4.76,21.52,23.78,31.25,33.78,1292
Montana,Treasure,698,14.61,60.46,24.93,88.4,0.0,0.43,1.43,0.0,5.59,4.15,8.45,85.96,10.46,26.36,23.5,17.19,49.43,1.15,6.02,15.33,20.92,33.09,35.53,1293
