State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),60 years and over (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,Income below 300% poverty level,Income below 400% poverty level,Income below 500% poverty level,"FID"
North Carolina,Iredell,"177,084",22.71,61.49,22.13,15.81,80.08,12.04,0.3,2.46,0.08,2.1,2.93,7.71,75.7,6.64,19.07,22.9,20.67,49.42,2.48,4.4,13.93,18.31,23.94,26.69,44.72,59.46,70.94,1525
North Carolina,Jackson,"39,470",17.59,60.88,29.28,21.54,82.79,1.33,8.13,0.68,0.0,2.98,4.1,6.27,80.45,8.43,19.78,22.25,20.07,46.17,2.48,8.56,24.66,29.01,36.16,39.34,58.98,73.64,83.73,1528
North Carolina,Johnston,"200,982",25.25,61.53,19.2,13.22,75.2,15.91,0.47,0.65,0.0,3.94,3.82,13.86,67.13,7.77,18.46,24.52,16.1,48.68,2.17,4.76,17.09,22.21,29.76,32.43,49.1,64.83,76.15,1530
North Carolina,Jones,"9,384",18.54,58.24,31.63,23.22,64.3,29.51,0.95,0.37,0.0,1.52,3.35,5.12,62.32,13.38,27.02,24.65,10.82,39.45,3.62,6.68,29.91,35.09,42.16,46.63,63.59,76.41,85.39,1536
North Carolina,Lee,"59,749",23.8,59.99,22.91,16.21,72.63,19.43,0.69,1.48,0.0,2.06,3.7,19.3,58.17,10.0,18.59,25.32,14.03,45.78,2.73,7.15,22.82,27.51,35.56,39.38,57.61,70.72,81.83,1540
North Carolina,Lenoir,"55,145",22.31,57.95,26.95,19.75,53.01,38.85,0.19,0.21,0.09,2.95,4.69,7.97,48.91,12.96,22.55,23.72,11.01,42.63,4.18,8.09,27.97,34.43,41.21,45.35,62.99,75.78,85.21,1542
North Carolina,Lincoln,"83,691",20.99,61.42,25.04,17.6,88.84,4.81,0.17,0.84,0.05,1.93,3.35,7.26,84.41,7.94,22.08,25.27,16.76,48.44,2.67,4.49,16.42,19.59,27.19,30.46,46.23,61.75,72.61,1545
North Carolina,McDowell,"44,256",20.02,59.35,27.78,20.62,91.48,2.93,0.14,1.05,0.0,2.1,2.3,6.21,88.2,10.84,23.14,25.45,13.7,43.44,2.61,5.3,21.26,27.5,34.73,37.12,60.87,75.04,82.4,1554
North Carolina,Macon,"34,886",17.75,53.67,36.3,28.58,93.28,1.46,0.64,0.93,0.0,2.39,1.3,7.11,88.97,8.27,24.52,24.82,18.14,40.86,2.07,6.71,20.93,27.01,34.3,37.18,56.25,71.78,81.61,1556
North Carolina,Madison,"20,593",18.26,59.17,30.48,22.57,96.02,0.49,0.28,0.41,0.0,0.39,2.42,2.38,95.03,8.23,23.95,19.87,22.66,45.87,1.6,5.86,20.0,24.94,32.33,34.46,51.99,68.37,81.48,1560
North Carolina,Martin,"22,288",19.67,57.47,29.9,22.87,53.79,41.78,0.3,0.65,0.0,0.32,3.16,4.23,52.0,12.1,25.52,24.44,11.09,42.67,4.67,9.92,27.07,33.42,40.06,41.9,63.23,78.28,87.85,1563
North Carolina,Mecklenburg,"1,078,174",23.53,65.29,16.41,11.19,51.93,31.56,0.34,6.11,0.04,6.06,3.96,13.43,46.28,6.38,11.25,19.16,31.34,53.85,2.63,4.78,14.88,19.27,24.76,27.32,43.06,56.16,66.9,1565
North Carolina,Mitchell,"14,570",18.2,56.68,32.48,25.11,95.96,0.03,0.53,0.12,0.0,0.7,2.65,5.82,92.01,10.29,23.07,25.8,16.82,44.33,2.13,4.76,16.9,23.1,29.6,32.38,56.92,72.19,81.9,1568
North Carolina,Montgomery,"26,129",22.19,56.99,28.65,20.81,76.23,16.63,0.33,1.6,0.0,3.04,2.16,15.61,63.85,12.56,23.84,21.21,11.68,40.69,1.48,7.04,21.32,26.89,39.1,42.27,62.92,78.22,86.36,1573
North Carolina,Moore,"97,546",21.0,55.39,30.52,23.61,81.31,10.95,0.77,1.39,0.24,2.05,3.28,6.94,77.27,5.39,15.63,23.31,28.42,42.34,2.05,4.06,14.22,18.25,23.28,26.2,43.84,59.35,71.43,1584
North Carolina,Nash,"92,179",21.98,59.81,25.2,18.21,51.78,40.23,0.54,0.93,0.03,4.22,2.28,7.08,49.59,9.35,23.61,21.78,14.94,45.49,3.56,5.85,21.72,27.05,32.55,37.21,59.29,72.08,81.41,1588
North Carolina,New Hanover,"224,287",18.69,63.35,24.41,17.96,80.8,13.21,0.19,1.34,0.09,1.71,2.67,5.67,77.23,4.6,13.84,21.81,29.86,50.43,2.57,7.69,19.03,24.0,29.84,32.5,46.83,59.78,70.36,1602
North Carolina,Northampton,"18,778",18.09,56.23,34.67,25.68,39.62,55.59,0.43,0.15,0.0,1.29,2.93,2.23,38.92,13.87,29.42,20.45,12.01,38.97,3.32,8.17,26.32,33.18,39.24,42.82,63.37,79.38,88.23,1606
North Carolina,Onslow,"177,251",26.75,63.07,14.29,10.18,73.93,14.41,0.44,1.79,0.11,1.54,7.77,11.51,67.09,4.53,17.12,23.01,13.77,36.63,3.19,5.47,19.32,25.34,34.86,38.33,59.02,75.12,83.89,1625
North Carolina,Orange,"134,474",20.96,63.87,21.58,15.17,75.47,10.95,0.51,7.78,0.0,1.7,3.6,8.65,69.54,4.61,8.41,13.1,41.06,50.89,2.17,7.83,15.61,18.6,23.43,25.2,38.27,50.79,59.88,1630
North Carolina,Pamlico,"11,964",15.83,53.2,41.46,30.97,78.39,16.77,0.2,0.51,0.02,1.04,3.08,4.05,76.52,8.25,23.67,28.34,17.91,37.9,1.84,6.19,21.71,27.67,36.17,38.66,56.58,68.9,77.49,1703
North Carolina,Pasquotank,"36,927",22.58,59.86,25.02,17.56,58.89,34.64,0.16,1.19,0.0,0.73,4.38,5.84,55.78,7.75,22.35,24.31,16.93,45.67,2.87,4.11,16.65,22.76,30.49,33.44,49.25,65.28,78.88,1714
North Carolina,Pender,"60,483",22.27,59.97,24.98,17.76,77.86,13.76,0.24,0.53,0.12,4.96,2.51,7.44,75.62,7.75,19.27,22.48,20.75,45.16,3.68,6.49,18.1,21.96,27.2,29.21,46.03,61.29,73.61,1718
North Carolina,Perquimans,"13,407",18.63,53.51,37.72,27.86,73.92,23.48,0.2,0.47,0.0,0.9,1.02,2.75,72.47,9.82,23.41,27.51,14.86,39.64,2.22,6.7,15.38,23.08,28.72,31.17,52.58,71.23,79.8,1724
North Carolina,Person,"39,063",20.87,59.9,27.41,19.24,67.09,25.44,0.62,0.38,0.0,2.34,4.12,4.48,66.21,8.29,25.69,26.23,11.35,49.1,3.16,5.4,20.09,23.99,30.11,32.2,49.6,65.83,77.58,1729
North Carolina,Pitt,"172,623",21.83,64.66,19.42,13.51,55.85,35.2,0.33,1.79,0.05,3.91,2.87,6.54,53.7,6.86,15.21,20.8,20.45,48.71,4.27,11.48,25.49,29.88,36.86,40.44,58.09,70.21,80.75,1733
North Carolina,Polk,"20,390",16.28,53.22,38.78,30.5,90.96,4.54,0.37,0.75,0.02,1.48,1.89,6.02,86.92,6.32,20.05,25.9,25.47,44.58,1.69,4.32,16.04,18.47,25.81,29.61,51.97,69.65,79.18,1738
North Carolina,Randolph,"141,686",22.5,60.1,23.72,17.4,84.27,5.99,0.31,1.24,0.07,5.05,3.07,11.77,78.74,11.71,23.9,22.7,11.22,46.52,2.21,6.84,20.69,26.7,35.48,38.66,58.55,73.33,82.49,1741
North Carolina,Richmond,"43,317",23.17,58.95,25.17,17.88,61.07,31.42,2.65,0.91,0.12,1.35,2.47,6.72,57.09,11.4,20.6,23.93,12.53,43.13,3.88,9.93,29.0,35.02,43.34,45.67,63.66,77.04,85.93,1744
North Carolina,Robeson,"128,021",25.41,59.35,22.05,15.24,26.8,23.23,41.19,0.58,0.03,6.0,2.18,8.98,24.34,14.46,21.76,20.02,9.25,37.64,2.99,12.11,34.91,41.0,49.45,52.76,70.04,81.93,89.28,1747
North Carolina,Rockingham,"89,366",20.02,59.89,27.78,20.09,75.33,17.65,0.53,0.72,0.02,2.53,3.23,6.27,72.46,11.96,24.43,25.02,11.1,44.46,3.01,7.52,22.6,27.42,35.39,38.83,60.06,73.54,83.1,1751
North Carolina,Rowan,"136,894",22.67,60.03,23.97,17.3,77.12,15.39,0.56,1.02,0.0,2.91,2.99,9.2,72.54,9.61,22.65,23.39,14.0,45.77,3.2,6.12,21.32,26.45,34.28,37.98,57.8,71.35,80.97,1754
North Carolina,Rutherford,"65,387",20.29,58.46,28.96,21.25,85.91,9.01,0.32,0.53,0.03,1.37,2.83,4.6,83.12,10.6,23.02,24.61,14.04,41.14,2.98,7.03,24.69,31.0,39.46,43.08,63.44,77.52,84.98,1764
North Carolina,Sampson,"62,404",24.53,57.73,24.03,17.74,60.9,25.27,2.09,0.59,0.0,7.85,3.31,20.12,50.79,12.55,23.42,21.22,9.77,42.85,3.11,7.31,26.16,32.39,41.3,44.81,66.59,78.08,84.64,1769
North Carolina,Scotland,"32,717",24.0,58.06,25.23,17.94,43.3,38.45,12.36,0.64,0.0,2.12,3.13,3.16,42.87,12.33,22.72,21.93,10.92,37.5,4.88,13.89,35.22,40.34,48.46,52.0,67.78,80.5,88.71,1772
North Carolina,Stanly,"60,164",22.26,59.03,25.48,18.71,83.85,11.02,0.52,1.76,0.0,0.72,2.14,4.24,81.15,9.05,22.25,26.3,12.59,47.54,2.39,6.44,16.95,21.56,27.93,30.64,51.16,67.83,79.14,1775
North Carolina,Stokes,"44,976",18.53,61.35,28.72,20.12,92.88,3.85,0.52,0.39,0.0,0.99,1.37,3.3,90.84,10.97,30.01,23.09,9.87,46.85,2.36,5.67,17.88,23.58,28.7,32.38,54.8,72.01,83.06,1777
North Carolina,Surry,"70,941",21.19,58.88,27.28,19.94,89.33,3.63,0.34,0.65,0.18,3.55,2.33,11.02,83.38,14.14,20.52,23.41,12.77,44.49,2.15,6.77,22.92,29.75,38.4,40.19,59.5,72.21,82.21,1780
North Carolina,Swain,"14,039",22.94,58.68,25.74,18.38,64.55,0.46,30.59,0.46,0.05,0.5,3.4,6.11,60.89,11.27,20.41,22.74,14.1,42.01,2.71,8.08,26.11,31.06,37.36,44.51,62.67,73.85,84.25,1784
North Carolina,Transylvania,"32,984",16.0,53.61,38.86,30.38,91.93,3.9,0.36,0.16,0.0,1.61,2.04,3.27,90.76,6.72,19.03,25.28,26.58,42.54,2.36,6.47,20.74,24.77,32.08,35.38,51.47,65.69,75.87,1786
North Carolina,Tyrrell,"3,178",15.8,56.8,35.65,27.41,62.93,31.34,0.41,0.6,0.0,2.55,2.17,5.16,61.39,13.94,25.93,23.0,9.91,47.11,1.95,7.55,22.12,30.18,33.92,38.77,65.58,78.13,85.75,1794
North Carolina,Union,"232,835",26.85,60.61,17.42,12.54,79.44,11.47,0.24,3.33,0.03,2.37,3.12,11.29,71.61,6.65,15.16,19.38,23.3,49.88,2.44,3.27,10.15,14.15,18.96,22.08,37.26,51.1,61.86,1798
North Carolina,Vance,"44,051",23.68,58.38,24.89,17.94,41.75,49.26,1.13,0.85,0.0,3.39,3.62,8.03,38.99,11.36,23.53,20.86,11.89,43.36,3.76,9.94,28.29,33.97,42.5,45.79,64.05,75.89,84.75,1801
North Carolina,Wake,"1,068,810",24.14,64.17,16.97,11.68,63.79,20.09,0.3,7.41,0.04,4.0,4.37,10.27,59.21,4.35,9.86,16.73,36.88,54.12,2.37,3.85,11.72,14.57,19.31,21.15,34.29,46.82,58.65,1805
North Carolina,Warren,"18,866",18.71,55.32,34.65,25.97,39.17,49.86,5.84,0.5,0.16,1.73,2.74,3.81,38.13,11.43,27.91,21.61,11.55,40.06,3.98,9.26,27.7,34.35,40.95,44.19,64.71,74.7,82.23,1809
North Carolina,Washington,"11,615",19.88,56.0,33.1,24.12,45.69,48.81,0.43,0.3,0.0,2.76,2.01,5.47,44.02,10.92,24.93,25.1,9.08,35.77,2.82,12.08,30.7,36.33,46.9,49.86,67.2,80.17,92.74,1811
North Carolina,Watauga,"49,752",14.07,68.34,24.51,17.58,94.05,1.22,0.54,1.1,0.1,1.3,1.67,3.46,92.51,6.02,13.62,17.51,28.03,52.29,3.57,15.44,29.16,34.08,39.56,41.7,58.93,69.77,78.03,1813
North Carolina,Wayne,"120,744",23.91,59.53,23.61,16.56,62.16,30.41,0.25,1.11,0.01,1.42,4.64,12.12,53.0,9.54,20.26,23.91,13.42,43.84,2.51,7.94,25.13,29.81,36.54,39.44,59.27,72.83,81.95,1814
North Carolina,Wilkes,"67,194",20.13,58.51,28.63,21.36,90.55,3.7,0.19,0.6,0.33,1.72,2.92,6.5,87.4,13.16,22.68,24.78,11.67,44.1,2.46,6.39,22.82,27.65,35.18,39.24,59.77,75.32,84.49,1817
North Carolina,Wilson,"80,062",23.15,59.01,25.02,17.85,49.85,39.74,0.46,0.64,0.0,6.14,3.17,10.63,46.54,12.46,22.31,20.0,13.81,43.69,4.1,8.08,27.62,34.92,40.52,42.72,60.6,74.04,81.71,1819
North Carolina,Yadkin,"37,199",20.81,59.74,26.71,19.45,91.48,3.16,0.32,0.1,0.06,1.69,3.19,11.12,84.18,10.82,25.19,26.45,9.23,44.86,2.41,6.84,20.05,26.37,32.36,34.71,54.9,70.31,80.47,1821
North Carolina,Yancey,"17,716",18.4,56.03,33.5,25.57,95.38,0.41,0.52,0.3,0.02,0.95,2.41,5.24,92.62,9.84,25.98,23.4,15.27,41.45,3.29,6.87,20.16,25.59,38.54,41.04,61.7,75.25,84.71,1823
North Dakota,Adams,"2,206",23.71,52.67,33.73,23.62,95.33,1.63,0.14,2.36,0.0,0.0,0.54,1.72,93.61,4.76,25.07,23.66,16.91,51.13,0.18,5.49,15.19,20.67,24.71,30.24,50.14,65.55,72.89,1826
North Dakota,Barnes,"10,075",20.44,57.48,29.9,22.08,91.2,2.2,1.94,0.79,0.05,0.09,3.73,2.06,89.84,3.65,21.45,25.01,22.48,54.84,0.54,4.99,11.86,15.26,19.64,21.26,48.85,62.08,73.11,1828
North Dakota,Benson,"6,804",33.63,52.09,19.42,14.29,40.95,0.19,53.73,0.06,0.07,0.47,4.53,3.67,40.78,7.98,17.34,22.93,10.04,34.05,1.41,21.25,39.34,42.39,48.69,50.43,66.45,78.73,85.85,1831
North Dakota,Billings,886,22.57,56.32,28.33,21.11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.64,27.43,19.98,18.85,50.45,2.14,6.66,10.95,11.63,15.58,17.38,45.15,54.18,64.11,1833
North Dakota,Bottineau,"6,070",21.58,55.12,31.61,23.29,93.31,0.08,4.12,0.28,0.0,0.53,1.68,1.76,92.22,4.09,20.07,29.39,18.12,51.02,1.68,3.11,12.17,15.02,19.26,21.55,35.83,50.64,66.39,1836
North Dakota,Bowman,"3,013",24.93,55.29,29.17,19.78,97.05,0.0,0.86,0.0,0.13,1.0,0.96,5.51,93.43,6.14,24.16,23.5,13.61,51.78,2.19,4.85,10.89,12.88,15.13,17.32,34.25,54.9,65.15,1838
North Dakota,Burke,"2,130",24.32,55.77,31.03,19.91,93.38,0.75,1.08,1.55,0.0,0.38,2.86,0.7,93.1,4.51,20.05,31.69,15.54,50.23,1.13,1.41,8.5,11.5,15.07,18.36,36.85,50.7,60.66,1841
North Dakota,Burleigh,"92,147",23.47,60.4,22.85,16.13,89.26,2.3,3.9,0.79,0.09,0.39,3.27,2.52,88.04,3.53,15.0,24.3,25.41,54.21,1.3,4.24,9.93,12.38,15.56,17.42,31.64,48.76,63.08,1844
North Dakota,Cass,"175,380",22.75,65.29,17.29,11.95,85.99,6.1,0.87,3.3,0.03,0.54,3.16,2.8,84.48,3.09,12.14,22.83,26.41,59.25,1.78,4.31,13.7,16.84,21.57,24.14,40.02,54.71,68.07,1848
North Dakota,Cavalier,"3,661",21.06,53.13,32.61,25.81,93.85,0.0,1.37,0.0,0.0,3.47,1.31,2.43,93.85,4.02,18.38,31.77,16.74,51.22,0.9,2.59,13.58,18.19,21.01,22.4,42.04,58.62,72.44,1849
North Dakota,Dickey,"4,640",24.76,55.91,26.1,19.33,95.6,0.71,1.75,0.0,0.0,0.5,1.44,3.51,92.82,4.31,18.0,26.12,19.25,52.16,1.68,2.33,9.27,11.38,16.85,21.23,40.26,61.55,72.31,2004
North Dakota,Divide,"2,200",22.59,54.55,32.59,22.86,93.82,2.59,1.14,0.0,0.0,0.0,2.45,5.05,90.32,4.55,20.55,34.05,12.23,48.23,2.09,4.41,17.68,21.68,23.82,24.64,31.32,57.05,66.55,2007
North Dakota,Dunn,"4,289",24.32,59.38,23.06,16.3,84.15,1.68,8.79,1.19,0.33,1.28,2.59,3.87,82.3,7.74,22.87,26.21,13.45,48.22,0.86,3.26,9.05,13.13,20.38,21.94,35.39,47.19,56.87,2013
North Dakota,Eddy,"2,182",22.64,55.27,27.64,22.09,88.31,0.0,5.5,0.0,0.09,1.05,5.04,2.11,87.58,5.82,21.26,27.5,16.64,52.15,0.73,5.27,15.35,21.17,26.44,27.59,48.12,62.01,75.8,2017
North Dakota,Emmons,"3,208",19.98,51.03,36.16,28.99,97.48,0.0,0.34,1.12,0.0,0.19,0.87,0.81,97.07,8.57,25.31,25.72,14.31,47.23,0.9,3.18,14.65,18.27,23.85,27.21,49.94,68.36,77.81,2021
North Dakota,Foster,"3,138",22.4,57.04,27.47,20.55,95.35,0.57,1.4,0.06,0.45,0.0,2.17,0.54,94.93,5.54,17.37,29.13,18.2,56.18,0.13,2.29,14.69,18.58,21.67,24.67,40.66,63.54,73.01,2026
North Dakota,Golden Valley,"1,735",19.02,57.29,30.84,23.69,91.87,0.0,1.67,0.0,0.0,0.0,6.46,3.75,88.7,4.9,21.27,31.87,18.44,56.43,1.79,2.71,6.69,15.85,20.46,27.61,43.0,54.64,67.84,2036
North Dakota,Grand Forks,"65,916",21.89,65.27,18.58,12.84,85.17,3.89,2.7,2.84,0.62,1.58,3.19,4.23,83.28,2.67,13.47,23.24,22.79,55.78,2.14,7.45,19.89,23.83,29.46,32.22,45.86,60.92,73.94,2043
North Dakota,Grant,"2,268",22.49,50.22,35.05,27.29,95.33,0.0,1.19,1.63,0.04,0.0,1.81,0.62,94.97,5.07,25.84,27.16,14.15,47.0,0.57,3.66,15.3,20.55,26.54,30.03,50.66,64.07,73.02,2051
North Dakota,Griggs,"2,219",20.59,50.2,38.35,29.2,96.8,0.0,0.5,0.0,0.0,0.0,2.7,1.62,96.8,4.33,20.05,27.9,20.59,52.01,0.77,1.8,8.2,12.39,21.63,25.6,43.49,58.0,70.35,2056
North Dakota,Hettinger,"2,331",20.38,54.35,34.75,25.27,93.82,0.0,0.47,0.0,0.04,1.89,3.78,2.96,93.05,8.92,24.02,29.04,12.61,49.46,2.49,2.49,13.0,16.82,24.54,30.12,47.36,63.32,77.56,2063
North Dakota,Kidder,"2,431",21.35,56.23,32.99,22.42,96.87,0.58,0.12,0.25,0.0,1.48,0.7,4.9,93.46,7.28,26.12,25.63,12.3,46.32,0.45,2.43,20.73,24.43,34.27,38.34,54.5,70.88,78.94,2068
North Dakota,LaMoure,"4,130",22.86,52.28,33.44,24.87,95.98,0.7,0.29,0.1,0.0,0.41,2.52,2.15,95.57,9.3,19.32,24.14,17.94,52.01,0.41,5.93,16.17,18.74,24.24,25.25,43.83,59.1,72.69,2074
North Dakota,Logan,"1,670",20.0,53.35,36.47,26.65,97.13,0.0,0.12,0.06,0.0,0.72,1.98,1.08,96.71,7.31,22.87,26.47,16.77,53.11,0.3,2.63,11.74,15.81,26.05,27.07,51.86,66.53,76.17,2078
North Dakota,McHenry,"5,736",23.97,55.94,28.12,20.08,97.19,0.47,0.96,0.35,0.0,0.12,0.91,2.13,95.31,6.76,21.86,27.6,14.49,49.42,2.34,3.21,11.87,16.42,21.76,23.62,41.7,59.34,73.62,2082
North Dakota,McIntosh,"2,419",17.45,53.74,36.96,28.81,95.49,0.41,0.66,0.66,0.0,2.19,0.58,3.02,94.67,10.54,26.33,28.77,11.78,56.18,0.45,3.89,16.66,20.84,26.58,30.26,48.62,64.32,76.15,2090
North Dakota,McKenzie,"13,644",32.06,59.85,13.3,8.09,82.34,1.55,9.97,0.66,0.0,1.95,3.53,9.21,76.88,4.99,18.89,19.96,16.19,50.86,1.74,4.67,15.47,21.15,24.3,26.41,38.82,52.64,61.28,2097
North Dakota,McLean,"9,425",21.82,55.37,31.92,22.8,89.59,0.44,6.46,0.13,0.22,0.67,2.49,2.58,88.65,5.64,24.3,27.19,15.3,48.63,0.76,3.1,11.07,12.37,17.07,18.82,34.14,50.45,69.47,2103
North Dakota,Mercer,"8,152",22.26,59.45,26.89,18.29,92.46,0.69,3.25,0.32,0.0,3.03,0.26,2.8,91.49,6.16,18.82,31.24,15.17,50.59,0.97,6.28,13.25,16.46,20.58,22.07,35.76,48.66,59.08,2107
North Dakota,Morton,"30,507",22.82,61.81,21.19,15.37,91.21,1.18,3.42,0.7,0.14,1.57,1.79,3.8,89.51,5.08,19.13,26.09,19.38,57.8,1.19,3.59,11.12,14.09,18.38,22.09,38.07,50.4,66.75,2114
North Dakota,Mountrail,"10,294",27.74,61.11,15.86,11.14,63.57,1.47,29.05,0.52,0.2,2.54,2.65,8.31,59.76,6.27,21.06,22.39,13.65,47.56,2.16,4.83,17.03,21.75,28.12,29.08,41.74,54.87,71.42,2119
North Dakota,Nelson,"2,786",18.13,55.78,35.61,26.09,92.68,0.11,0.0,0.57,0.0,3.05,3.59,3.88,92.0,5.13,21.97,28.64,20.57,51.22,0.18,5.99,13.82,17.01,28.64,30.62,49.89,62.99,79.83,2122
North Dakota,Oliver,"1,962",25.28,49.9,30.68,24.82,91.23,0.0,1.43,0.25,0.61,0.0,6.47,3.72,91.23,5.3,19.93,30.89,13.71,43.37,1.22,4.89,15.95,17.23,20.74,23.45,39.7,59.48,68.76,2127
North Dakota,Pembina,"6,620",20.53,57.05,31.59,22.42,94.55,0.29,2.13,0.66,0.0,0.03,2.34,3.53,91.48,7.61,22.64,28.02,16.07,50.14,2.36,2.66,12.58,16.93,22.02,25.95,41.31,57.96,70.59,2131
North Dakota,Pierce,"3,898",23.04,53.57,29.94,23.4,94.72,0.18,2.67,1.15,0.0,0.0,1.28,0.74,93.97,3.54,22.63,24.73,20.81,50.36,0.69,5.85,17.55,20.68,26.5,30.3,45.31,57.72,69.81,2136
North Dakota,Ramsey,"11,019",24.24,56.65,26.32,19.11,83.71,0.35,9.58,1.52,0.0,0.32,4.51,2.58,83.44,5.46,17.91,26.61,18.65,54.78,0.3,7.4,20.25,22.59,26.08,28.53,49.75,60.56,72.81,2141
North Dakota,Ransom,"5,097",21.37,59.53,26.8,19.11,93.98,0.24,0.45,3.08,0.0,1.31,0.94,1.55,93.68,5.77,24.88,25.09,14.69,52.68,1.77,5.63,14.79,17.62,22.37,24.01,43.28,59.56,75.08,2147
North Dakota,Renville,"2,316",24.22,58.55,25.82,17.23,96.16,0.3,0.04,0.26,0.0,0.65,2.59,5.74,92.01,3.67,23.01,25.65,15.37,49.96,0.91,2.25,7.38,12.05,15.8,17.27,34.5,53.37,64.12,2150
North Dakota,Richland,"15,126",23.11,58.34,26.64,18.56,92.46,0.3,1.72,0.44,0.0,1.55,3.53,3.27,90.8,5.31,17.47,30.25,15.29,52.84,1.41,6.08,17.05,20.13,26.39,30.22,46.55,62.35,73.02,2156
North Dakota,Rolette,"14,139",33.34,55.15,16.73,11.51,18.17,0.59,76.84,0.08,0.0,0.56,3.75,2.32,17.9,6.55,14.11,26.35,11.14,36.91,2.7,16.18,33.25,39.04,47.81,50.48,65.83,76.8,84.5,2161
North Dakota,Sargent,"3,846",19.29,58.45,29.95,22.26,93.42,3.15,0.49,0.1,0.0,0.47,2.37,3.22,91.24,4.52,26.57,28.78,13.78,56.42,0.78,2.05,6.94,8.53,12.87,14.74,33.13,52.96,72.18,2164
North Dakota,Sheridan,"1,266",14.38,53.32,40.13,32.31,97.95,0.0,2.05,0.0,0.0,0.0,0.0,0.0,97.95,12.8,31.12,24.88,12.01,45.18,0.79,0.95,7.58,12.88,17.54,29.07,47.95,64.45,77.49,2169
North Dakota,Sioux,"4,267",34.78,56.62,12.73,8.6,12.26,0.07,83.67,0.0,0.0,1.83,2.18,4.62,11.51,7.85,18.14,20.48,7.92,31.87,6.47,20.9,41.11,50.81,57.44,58.28,73.0,84.42,87.16,2175
North Dakota,Slope,788,22.21,51.02,35.41,26.78,95.56,2.41,0.89,0.0,0.0,0.0,1.14,0.13,95.56,6.47,21.32,26.65,19.04,47.46,1.02,0.63,12.18,15.74,17.89,23.48,37.44,52.41,66.62,2180
North Dakota,Stark,"30,503",26.85,60.47,17.6,12.69,89.98,2.6,1.69,1.25,0.27,2.08,2.12,5.51,87.08,4.79,21.38,22.99,16.2,52.09,1.43,6.2,13.23,17.27,22.71,24.93,36.62,51.74,64.53,2182
North Dakota,Steele,"1,817",22.4,55.75,29.5,21.85,96.09,0.5,0.0,0.0,0.0,0.55,2.86,2.64,95.87,2.26,17.61,31.15,20.09,49.81,0.28,8.15,11.01,14.47,18.22,21.74,35.0,53.16,65.55,2186
North Dakota,Stutsman,"19,351",21.18,59.79,28.06,19.03,93.87,1.22,1.23,0.41,0.0,0.43,2.83,2.51,92.64,5.06,24.45,23.35,17.84,53.33,2.54,6.3,14.81,19.79,27.48,29.9,47.27,62.74,74.66,2199
North Dakota,Towner,"2,139",20.52,55.31,34.46,24.17,90.93,0.47,7.57,0.19,0.0,0.0,0.84,3.69,87.24,7.62,21.65,32.63,10.71,49.09,1.03,2.62,13.42,20.2,27.26,28.89,52.22,68.82,74.01,2205
North Dakota,Traill,"7,606",23.39,57.94,26.77,18.67,93.27,0.68,1.12,0.33,0.0,1.89,2.71,3.52,91.93,4.19,17.79,26.19,21.48,51.89,1.3,2.52,9.79,12.35,18.85,21.05,38.42,58.3,70.27,2217
North Dakota,Walsh,"10,435",23.08,56.73,26.38,20.19,92.82,0.3,2.4,0.8,0.0,0.73,2.96,11.81,83.87,8.92,23.45,25.57,12.49,51.85,1.21,4.38,14.36,22.2,27.89,30.23,48.23,68.12,77.77,2225
North Dakota,Ward,"66,708",24.11,63.39,17.66,12.5,85.8,4.65,1.87,1.46,0.28,1.52,4.42,6.16,82.52,3.38,19.85,22.24,18.79,51.69,2.07,4.29,12.14,14.05,19.55,23.0,39.64,57.19,69.62,2233
North Dakota,Wells,"3,810",20.73,53.54,35.33,25.72,98.92,0.0,0.05,0.16,0.0,0.58,0.29,2.41,97.27,7.06,24.49,25.93,16.59,49.63,1.73,2.83,12.86,15.12,22.62,28.35,49.5,61.21,73.83,2237
North Dakota,Williams,"35,437",28.61,62.33,14.44,9.06,81.38,4.5,2.64,1.23,0.13,4.56,5.55,8.62,78.2,5.89,18.63,22.67,16.44,53.23,1.89,2.72,8.69,13.1,19.07,21.31,33.76,50.41,61.88,2244
Ohio,Adams,"27,280",23.83,58.71,23.89,17.46,97.05,0.47,0.03,0.36,0.0,0.08,2.02,1.04,96.21,11.96,29.82,16.04,10.72,38.11,2.69,6.85,26.13,33.31,41.72,45.58,64.35,77.24,83.28,2248
Ohio,Allen,"98,592",23.51,58.82,24.41,17.67,82.38,10.77,0.16,0.87,0.0,1.07,4.74,3.33,80.5,6.12,26.41,22.24,12.96,47.8,2.79,5.93,17.68,22.5,29.84,32.85,53.57,70.75,81.76,2250
