State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),60 years and over (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,Income below 300% poverty level,Income below 400% poverty level,Income below 500% poverty level,"FID"
Alabama,Jefferson,"643,916",22.97,61.25,22.52,15.78,51.37,42.94,0.17,1.59,0.03,1.66,2.23,3.93,49.54,6.37,18.03,20.9,23.73,46.61,3.08,7.08,20.59,24.94,31.23,33.81,49.2,62.6,72.67,171
Alabama,Lamar,"13,634",21.92,56.71,28.65,21.37,87.84,10.65,0.09,0.15,0.0,0.29,0.98,1.76,86.36,12.04,29.08,21.77,7.99,38.65,2.08,7.31,21.57,26.81,34.05,35.47,55.98,76.75,87.57,174
Alabama,Lauderdale,"90,823",20.01,60.04,26.24,19.95,86.25,10.03,0.36,0.52,0.07,0.32,2.46,2.72,84.44,7.73,24.34,20.01,17.58,44.92,2.14,5.24,18.49,24.71,31.72,34.73,52.87,68.46,78.71,176
Alabama,Lawrence,"32,671",21.7,60.44,25.24,17.87,78.35,10.49,6.0,0.12,0.07,0.5,4.47,2.28,76.59,13.53,28.1,17.98,11.32,39.8,1.55,6.4,23.31,27.99,34.5,36.63,54.54,69.25,81.83,181
Alabama,Lee,"157,351",21.69,65.92,17.79,12.39,69.63,22.74,0.21,4.39,0.0,0.77,2.25,3.77,67.08,5.97,13.93,19.9,22.97,47.21,2.2,11.28,23.87,28.2,34.99,37.43,50.99,64.85,75.83,187
Alabama,Limestone,"93,472",22.75,61.73,22.02,15.52,80.0,12.69,0.95,1.51,0.05,2.18,2.61,6.1,76.86,9.53,20.23,21.98,18.07,45.24,2.43,5.47,16.29,20.63,26.29,28.56,47.21,61.76,72.69,197
Alabama,Lowndes,"9,794",22.3,59.05,25.82,18.65,24.63,75.08,0.12,0.0,0.0,0.0,0.17,0.38,24.48,12.28,28.41,18.37,10.26,36.53,4.28,10.35,35.15,41.53,52.09,53.66,68.13,79.95,90.4,205
Alabama,Macon,"16,161",18.84,58.9,29.3,22.26,17.31,81.08,0.09,0.14,0.0,0.07,1.3,0.28,17.21,11.99,22.18,23.78,15.09,40.23,4.27,12.0,29.84,36.53,42.27,47.25,65.27,78.16,84.12,210
Alabama,Madison,"358,380",22.19,62.67,21.54,15.13,67.92,23.89,0.57,2.66,0.09,1.6,3.27,5.06,65.01,5.51,13.34,19.78,30.83,50.35,2.32,5.12,15.16,18.77,23.6,25.45,40.67,53.87,64.72,217
Alabama,Marengo,"18,882",23.36,57.48,26.78,19.16,46.7,51.69,0.07,0.05,0.0,0.23,1.27,2.56,44.92,9.38,26.09,20.71,11.69,37.43,2.79,8.28,27.51,32.59,41.54,46.61,60.43,75.35,82.57,220
