BaseYear,state,incidentType,designatedArea,Freq,FID
2000,MN,Flood,Marshall,1,1937
2000,MN,Flood,Nobles,1,1950
2000,MN,Flood,Isanti,1,1916
2000,MN,Flood,Lake,1,1926
2000,MN,Flood,Roseau,1,1976
2000,MN,Flood,Anoka,1,1877
2000,MN,Flood,Koochiching,1,1922
2000,MN,Flood,Olmsted,1,1953
2000,MN,Flood,Hennepin,1,1913
2000,MN,Flood,Rice,1,1973
2000,MN,Flood,Aitkin,1,1875
2000,MN,Flood,Beltrami,1,1880
2000,MN,Flood,Brown,1,1892
2000,MN,Flood,Carlton,1,1893
2000,MN,Flood,Clearwater,1,1899
2000,MN,Flood,Crow Wing,1,1903
2000,MN,Flood,Douglas,1,1907
2000,MN,Flood,Kanabec,1,1919
2000,MN,Flood,Kandiyohi,1,1920
2000,MN,Flood,Kittson,1,1921
2000,MN,Flood,Lake of the Woods,1,1927
2000,MN,Flood,Mille Lacs,1,1943
2000,MN,Flood,Mower,1,1945
2000,MN,Flood,Nicollet,1,1948
2000,MN,Flood,Otter Tail,1,1954
2000,MN,Flood,Pine,1,1957
2000,MN,Flood,Pope,1,1961
2000,MN,Flood,Sibley,1,1982
2000,MN,Flood,Stearns,1,1984
2000,MN,Flood,Wright,1,1999
2000,MN,Flood,Scott,1,1979
2000,MN,Flood,Benton,1,1881
2000,MN,Flood,Big Stone,1,1882
2000,MN,Flood,Carver,1,1894
2000,MN,Flood,Chippewa,1,1896
2000,MN,Flood,Chisago,1,1897
2000,MN,Flood,Clay,1,1898
2000,MN,Flood,Dakota,1,1904
2000,MN,Flood,Goodhue,1,1911
2000,MN,Flood,Grant,1,1912
2000,MN,Flood,Houston,1,1914
2000,MN,Flood,Lac qui Parle,1,1923
2000,MN,Flood,McLeod,1,1934
2000,MN,Flood,Meeker,1,1941
2000,MN,Flood,Freeborn,1,1910
2000,MN,Flood,Norman,1,1951
2000,MN,Flood,Polk,1,1959
2000,MN,Flood,Ramsey,1,1964
2000,MN,Flood,Morrison,1,1944
2000,MN,Flood,Redwood,1,1969
2000,MN,Flood,Renville,1,1971
2000,MN,Flood,St. Louis,1,1978
2000,MN,Flood,Stevens,1,1987
2000,MN,Flood,Todd,1,1989
2000,MN,Flood,Swift,1,1988
2000,MN,Flood,Red Lake,1,1966
2000,MN,Flood,Wabasha,1,1991
2000,MN,Flood,Washington,1,1994
2000,MN,Flood,Wilkin,1,1997
2000,MN,Flood,Winona,1,1998
2000,MN,Flood,Yellow Medicine,1,1531
2000,MN,Flood,Traverse,1,1990
2000,SD,Flood,Brown,1,2885
2000,SD,Flood,Buffalo,1,2891
2000,SD,Flood,Deuel,1,2912
2000,SD,Flood,Edmunds,1,2917
2000,SD,Flood,Gregory,1,2923
2000,SD,Flood,Day,1,2911
2000,SD,Flood,Hanson,1,2929
2000,SD,Flood,Jerauld,1,2941
2000,SD,Flood,Marshall,1,2430
2000,SD,Flood,Moody,1,2485
2000,SD,Flood,Todd,1,2540
2000,SD,Flood,Turner,1,2550
2000,SD,Flood,Tripp,1,2546
2000,SD,Flood,Beadle,1,2874
2000,SD,Flood,Clark,1,2901
2000,SD,Flood,Codington,1,2906
2000,SD,Flood,Hamlin,1,2926
2000,SD,Flood,Grant,1,2922
2000,SD,Flood,Brookings,1,2882
2000,SD,Flood,Kingsbury,1,2945
2000,SD,Flood,Roberts,1,2511
2000,SD,Flood,Sanborn,1,2514
2000,SD,Flood,Mellette,1,2450
2000,ND,Flood,LaMoure,1,2074
2000,ND,Flood,Logan,1,2078
2000,ND,Flood,Morton,1,2114
2000,ND,Flood,Mountrail,1,2119
2000,ND,Flood,Burleigh,1,1844
2000,SD,Flood,Spink,1,2523
2000,ND,Flood,Adams,1,1826
2000,ND,Flood,Barnes,1,1828
2000,ND,Flood,Benson,1,1831
2000,ND,Flood,Bottineau,1,1836
2000,ND,Flood,Sargent,1,2164
2000,ND,Flood,Cavalier,1,1849
2000,ND,Flood,Dickey,1,2004
2000,ND,Flood,Eddy,1,2017
2000,ND,Flood,Foster,1,2026
2000,ND,Flood,Golden Valley,1,2036
2000,ND,Flood,Cass,1,1848
