State,County,Total Households,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,Total Vehicles,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,"FID"
Alabama,Walker,25440,2.77,3.15,14.25,34.63,26.18,13.5,5.52,25440,5.07,27.48,35.79,31.66,317
Alabama,Washington,5830,1.77,2.32,16.88,38.85,25.28,12.92,1.99,5830,4.1,28.89,30.75,36.26,319
Alabama,Wilcox,3961,1.51,1.09,14.52,44.23,25.68,8.43,4.54,3961,13.86,31.18,32.04,22.92,326
Alabama,Winston,9612,3.83,2.5,13.67,38.45,28.5,10.73,2.33,9612,5.57,27.65,35.24,31.54,332
Alaska,Aleutians East,988,0.81,1.21,9.01,43.93,30.36,6.48,8.2,988,22.27,37.55,30.16,10.02,346
Alaska,Aleutians West,1306,0.84,3.22,4.9,54.9,20.98,12.1,3.06,1306,12.56,42.27,35.15,10.03,381
Alaska,Anchorage,106970,1.87,2.18,12.15,39.34,37.14,6.78,0.54,106970,5.45,32.76,39.98,21.81,400
Alaska,Bethel,4499,0.33,2.31,19.67,48.7,27.09,1.62,0.27,4499,57.12,26.29,11.91,4.67,411
Alaska,Bristol Bay,284,0.0,1.41,13.73,52.82,23.59,5.28,3.17,284,9.15,40.14,25.0,25.7,423
Alaska,Valdez-Cordova,2310,0.04,1.47,5.58,46.8,30.91,13.03,2.16,2310,4.16,37.84,42.38,15.63,710
Alaska,Valdez-Cordova,1063,0.28,0.66,28.69,47.88,18.81,3.67,0.0,1063,7.53,23.52,30.01,38.95,710
Alaska,Denali,726,0.0,4.41,19.28,49.86,19.83,5.65,0.96,726,5.79,28.79,33.75,31.68,426
Alaska,Dillingham,1430,0.42,1.26,15.87,46.08,31.61,3.57,1.19,1430,39.79,35.94,18.53,5.73,445
Alaska,Fairbanks North Star,36199,3.15,4.1,16.34,40.48,29.29,5.6,1.04,36199,4.66,30.38,39.56,25.4,454
Alaska,Haines,917,11.12,0.22,10.47,53.11,12.32,7.52,5.23,917,6.65,22.57,44.38,26.39,462
Alaska,Hoonah-Angoon,755,3.58,1.19,10.46,39.21,32.32,7.55,5.7,755,31.39,30.33,22.52,15.76,476
Alaska,Juneau,12878,3.72,1.23,9.94,37.21,35.01,7.11,5.79,12878,8.57,34.51,37.16,19.75,482
Alaska,Kenai Peninsula,21781,3.11,3.59,19.74,42.91,26.13,3.48,1.03,21781,5.66,31.22,37.54,25.59,494
Alaska,Ketchikan Gateway,5299,1.83,2.23,7.62,30.16,30.85,16.63,10.68,5299,12.23,32.18,36.21,19.38,514
Alaska,Kodiak Island,4231,1.58,2.41,13.54,42.73,27.96,11.11,0.66,4231,12.2,26.59,43.35,17.87,533
Alaska,Wade Hampton,1750,1.43,4.17,15.94,45.6,30.97,1.89,0.0,1750,89.26,9.2,1.54,0.0,725
Alaska,Lake and Peninsula,366,0.82,1.37,9.29,64.21,19.67,4.1,0.55,366,48.36,30.05,14.75,6.83,544
Alaska,Matanuska-Susitna,31964,4.37,4.93,31.94,39.64,16.21,2.42,0.49,31964,3.89,23.38,36.24,36.49,556
Alaska,Nome,2777,0.11,1.73,8.97,46.96,32.16,5.83,4.25,2777,56.36,23.91,15.02,4.72,571
Alaska,North Slope,1991,0.85,0.3,8.74,50.33,28.28,5.98,5.52,1991,37.22,43.55,15.37,3.87,614
Alaska,Northwest Arctic,1795,2.4,1.39,8.58,52.87,29.36,5.24,0.17,1795,65.4,25.29,7.8,1.5,638
Alaska,Petersburg,1204,1.83,0.17,7.81,35.55,20.43,15.95,18.27,1204,16.94,31.81,33.55,17.69,645
Alaska,Prince of Wales-Hyder,2353,1.87,3.78,10.45,45.9,30.6,2.97,4.42,2353,9.39,39.78,31.28,19.55,669
Alaska,Sitka,3572,1.54,1.37,11.93,32.7,39.39,7.73,5.35,3572,11.95,36.65,38.41,12.99,679
Alaska,Skagway,411,2.92,2.92,11.92,41.12,16.55,12.17,12.41,411,4.87,35.52,38.69,20.92,683
Alaska,Southeast Fairbanks,2287,0.87,6.34,21.86,46.79,19.68,4.42,0.04,2287,5.95,35.07,29.21,29.78,690
Alaska,Wrangell,989,0.51,1.11,8.9,29.32,34.88,12.54,12.74,989,10.11,29.93,38.73,21.23,733
Alaska,Yakutat,221,2.71,0.9,11.76,27.15,48.87,5.88,2.71,221,9.05,50.68,23.98,16.29,744
Alaska,Yukon-Koyukuk,1857,1.29,2.91,12.71,50.73,26.49,4.85,1.02,1857,51.53,26.39,16.42,5.65,753
Arizona,Apache,21505,1.19,2.21,15.81,48.16,27.19,4.32,1.12,21505,13.25,36.04,28.71,22.0,761
Arizona,Cochise,50917,1.46,3.43,20.41,34.03,26.3,8.09,6.27,50917,6.05,32.41,35.52,26.03,763
Arizona,Coconino,49016,4.36,2.3,18.2,43.69,22.6,6.93,1.91,49016,5.24,31.4,36.77,26.59,771
Arizona,Gila,22523,1.61,3.2,17.02,35.67,27.85,9.13,5.51,22523,6.62,34.53,34.35,24.5,787
