State,County,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
Arkansas,Union,309,732,"1,505","4,261","5,160","3,085",803,641,"6,010","5,432","3,772",403
Arkansas,Van Buren,218,254,"1,412","2,639","1,994",522,181,449,"2,376","2,597","1,798",407
Arkansas,Washington,"4,735","4,552","20,127","34,318","17,136","5,217","3,009","4,849","28,383","36,305","19,557",417
Arkansas,White,815,"1,561","6,252","10,527","7,403","1,737",608,"1,880","8,790","10,486","7,747",428
Arkansas,Woodruff,29,44,326,811,"1,296",348,148,291,956,"1,227",528,435
Arkansas,Yell,33,226,"1,415","2,770","2,316",548,489,354,"2,177","2,673","2,593",438
California,Alameda,"12,486","9,255","40,738","122,736","167,585","111,883","108,491","53,539","184,419","205,470","129,746",457
California,Alpine,0,12,37,141,169,33,5,13,111,128,145,461
California,Amador,199,421,"3,017","4,549","4,216","1,093","1,349","1,009","3,547","5,683","4,605",472
California,Butte,"2,694","1,584","9,716","25,911","26,274","12,752","4,948","5,564","24,974","31,051","22,290",486
California,Calaveras,333,124,"3,856","7,231","3,578","1,144",692,269,"3,585","6,858","6,246",489
California,Colusa,246,115,995,"1,926","1,909","1,337",801,324,"2,229","2,250","2,526",497
California,Contra Costa,"7,649","6,622","47,088","116,233","127,426","76,365","16,916","21,003","107,686","153,192","116,418",503
California,Del Norte,63,145,"1,153","3,593","2,795","1,719",337,847,"3,273","3,524","2,161",511
California,El Dorado,"1,775",999,"12,334","28,455","21,760","5,928","1,827","3,117","16,754","28,902","24,305",522
California,Fresno,"9,719","8,844","44,690","90,121","87,959","51,568","17,196","24,446","97,891","113,706","74,054",527
California,Glenn,179,192,951,"2,901","2,976","2,126",891,423,"2,956","3,665","3,172",537
California,Humboldt,920,982,"4,536","13,843","13,605","12,534","7,700","3,903","18,438","20,111","11,668",551
California,Imperial,927,"1,011","10,605","15,176","11,213","5,632","1,204","3,237","14,402","15,862","12,267",557
California,Inyo,73,134,457,"2,070","2,945","1,631",644,446,"2,744","2,758","2,006",562
California,Kern,"8,679","6,244","50,348","86,083","70,722","40,160","11,320","17,920","83,360","103,593","68,683",84
California,Kings,"1,414","1,057","7,557","14,635","11,045","5,278","2,618","2,287","12,085","18,278","10,954",94
California,Lake,580,288,"3,799","8,106","8,407","3,154","1,174","1,306","7,759","9,894","6,549",100
California,Lassen,74,75,"1,178","2,814","2,654","1,509",868,449,"2,524","3,404","2,795",104
California,Los Angeles,"48,525","41,568","173,936","609,574","953,834","1,024,285","480,782","293,326","1,107,200","1,169,978","762,000",139
California,Madera,"1,423","1,212","9,996","14,652","11,119","4,734","1,343","1,955","10,588","16,948","14,988",153
California,Marin,529,791,"5,297","17,749","41,441","26,278","12,815","4,495","34,236","41,929","24,240",168
California,Mariposa,30,165,"1,278","3,207","2,080",664,422,381,"2,444","2,541","2,480",178
California,Mendocino,150,377,"3,032","10,209","10,761","5,859","3,776","2,385","11,067","12,010","8,702",190
California,Merced,"1,332",858,"17,346","22,693","22,642","12,061","4,374","5,792","22,613","27,932","24,969",204
California,Modoc,23,3,320,"1,060",996,585,607,123,"1,139","1,317","1,015",207
California,Mono,20,36,528,"2,255","1,927",314,116,165,"1,864","1,952","1,215",214
California,Monterey,"1,715","1,894","11,710","34,687","42,830","26,987","8,180","5,449","35,790","47,734","39,030",228
California,Napa,"1,119",525,"5,567","12,723","14,808","9,600","4,142","2,418","13,178","17,764","15,124",236
California,Nevada,674,465,"5,042","16,572","12,403","3,095","2,666","1,483","10,974","16,113","12,347",243
California,Orange,"32,169","20,903","83,267","274,084","445,253","159,236","25,089","46,302","275,875","426,150","291,674",257
California,Placer,"6,712","4,532","40,952","53,367","27,751","8,238","4,162","5,403","37,739","60,897","41,675",266
California,Plumas,7,147,"1,354","2,336","2,669","1,321",498,442,"2,386","3,139","2,365",275
California,Riverside,"24,196","22,404","190,505","267,561","156,739","58,318","16,690","29,230","199,179","273,445","234,559",281
California,Sacramento,"11,066","8,362","81,238","168,485","165,533","87,263","25,572","34,601","175,843","209,702","127,373",289
California,San Benito,871,288,"2,051","7,963","3,968","1,726","1,522",505,"3,175","6,880","7,829",295
California,San Bernardino,"14,632","11,999","93,473","231,675","172,020","94,915","21,376","30,615","168,316","232,476","208,683",302
California,San Diego,"26,820","21,552","130,748","354,236","390,928","159,471","46,948","61,132","335,811","452,331","281,429",315
California,San Francisco,"8,731","6,523","22,803","35,240","57,460","66,462","164,922","111,714","150,964","71,332","28,131",331
California,San Joaquin,"7,111","4,705","43,891","67,935","57,103","34,955","15,392","12,841","60,692","83,565","73,994",339
California,San Luis Obispo,"3,471","2,498","15,551","36,048","32,128","11,280","5,268","3,968","29,169","40,532","32,575",351
California,San Mateo,"5,137","4,241","13,662","41,837","90,452","86,482","21,540","13,775","77,247","101,834","70,495",368
California,Santa Barbara,"2,757","2,913","11,706","37,614","57,711","24,122","11,486","8,647","45,270","54,891","39,501",391
California,Santa Clara,"22,997","15,529","55,583","141,468","255,655","113,308","30,774","33,974","174,987","254,418","171,935",406
California,Santa Cruz,902,"1,285","7,825","23,602","34,387","17,359","10,915","4,982","26,500","35,598","29,195",415
California,Shasta,"1,276",979,"9,019","25,850","23,337","8,698","1,686","4,496","20,924","26,853","18,572",431
California,Sierra,73,0,101,312,424,151,189,56,346,325,523,439
California,Siskiyou,216,406,"2,119","5,561","5,411","2,894","2,588","1,184","5,819","6,951","5,241",446
California,Solano,"3,933","2,988","17,715","55,512","45,568","17,771","7,704","7,147","39,294","54,702","50,048",453
California,Sonoma,"3,303","2,318","20,518","62,247","60,933","24,982","14,657","9,120","53,719","72,893","53,226",463
California,Stanislaus,"2,158","1,822","29,333","55,814","51,732","23,573","10,394","9,973","48,172","65,564","51,117",473
California,Sutter,396,354,"6,229","9,732","9,534","4,683","1,658","1,828","8,821","12,200","9,737",483
California,Tehama,193,524,"4,187","7,599","7,176","3,652","1,330","1,794","7,244","8,602","7,021",492
California,Trinity,31,69,682,"1,836","2,106",888,284,403,"1,910","2,193","1,390",500
California,Tulare,"5,070","4,655","22,770","40,755","38,549","19,742","7,503","7,394","41,134","51,798","38,718",501
California,Tuolumne,121,181,"2,532","8,531","8,151","2,317","1,104","1,400","6,084","8,538","6,915",513
California,Ventura,"4,319","4,080","26,328","77,940","116,744","32,901","9,327","11,671","69,504","104,680","85,784",521
California,Yolo,"1,810","1,786","13,095","22,380","21,794","10,092","3,657","5,934","22,212","27,349","19,119",525
California,Yuba,639,605,"6,611","6,248","7,708","3,274","1,349","1,757","7,527","9,001","8,149",541
Colorado,Adams,"8,762","5,536","36,566","49,009","42,961","21,428","3,028","7,175","43,784","64,772","51,559",545
Colorado,Alamosa,76,331,937,"1,871","1,742",602,681,497,"2,024","2,130","1,589",549
Colorado,Arapahoe,"9,428","6,130","37,346","89,647","76,213","19,008","4,117","11,433","75,874","97,157","57,425",558
Colorado,Archuleta,139,131,"2,028","2,243",829,197,169,85,"1,347","2,613","1,691",560
Colorado,Baca,34,14,113,289,519,487,272,92,507,529,600,563
Colorado,Bent,16,20,68,359,471,358,587,210,616,529,524,564
Colorado,Boulder,"6,463","3,555","14,946","46,798","40,126","7,920","7,557","7,050","39,495","51,126","29,694",570
Colorado,Broomfield,"3,173","2,204","7,561","7,856","4,927","1,327",151,910,"7,975","11,893","6,421",577
Colorado,Chaffee,527,189,"1,901","2,327","1,762",622,"1,322",619,"1,809","3,607","2,615",582
Colorado,Cheyenne,22,4,33,221,226,160,138,26,153,325,300,587
Colorado,Clear Creek,37,36,260,"1,260","1,668",107,"1,010",148,937,"1,866","1,427",591
Colorado,Conejos,93,23,326,"1,006",690,275,809,236,827,"1,092","1,067",596
Colorado,Costilla,0,25,166,613,341,143,332,71,463,577,509,599
Colorado,Crowley,7,18,56,291,384,236,429,29,467,555,370,605
Colorado,Custer,52,35,453,"1,095",213,96,366,26,590,"1,044",650,610
Colorado,Delta,256,174,"2,292","3,681","3,108","1,008","1,758",627,"3,332","3,992","4,326",617
Colorado,Denver,"19,489","10,180","32,511","41,719","69,530","61,430","52,897","27,713","116,805","102,383","40,855",628
Colorado,Dolores,0,7,77,385,185,202,74,25,278,393,234,636
Colorado,Douglas,"11,109","6,495","38,292","55,500","8,317",970,809,"2,578","25,657","56,577","36,680",644
Colorado,Eagle,237,214,"3,975","9,724","3,453",407,657,562,"4,953","7,972","5,180",648
Colorado,Elbert,398,187,"1,998","4,523","1,125",194,391,104,"1,103","2,823","4,786",655
Colorado,El Paso,"12,848","11,705","48,272","90,053","65,496","21,668","12,738","10,568","74,923","109,203","68,086",661
Colorado,Fremont,324,333,"2,562","5,457","4,101","1,690","2,982",871,"4,496","6,563","5,519",664
Colorado,Garfield,523,527,"5,650","8,085","3,988","1,228","1,585",810,"4,875","8,430","7,471",667
Colorado,Gilpin,13,34,530,"1,309",471,281,222,140,655,"1,094",971,672
Colorado,Grand,162,117,"1,270","1,925","2,019",407,415,234,"1,701","2,250","2,130",677
Colorado,Gunnison,100,42,"1,343","2,032","2,088",513,706,249,"1,894","2,864","1,817",682
Colorado,Hinsdale,0,7,55,183,62,6,63,6,125,148,97,688
Colorado,Huerfano,18,93,282,843,628,431,762,264,910,"1,024",859,693
Colorado,Jackson,18,66,117,169,128,43,94,21,163,234,217,701
Colorado,Jefferson,"8,549","3,827","21,607","72,567","91,190","24,608","6,659","8,689","62,145","95,216","62,957",706
