State,County,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
Nebraska,Jefferson,8,39,142,454,692,583,"1,328",196,892,"1,169",989,1312
Nebraska,Johnson,12,9,158,235,425,242,766,126,389,686,646,1313
Nebraska,Kearney,49,43,96,433,888,343,839,153,571,958,"1,009",1314
Nebraska,Keith,77,58,211,801,"1,163",785,769,228,971,"1,445","1,220",1316
Nebraska,Keya Paha,16,0,25,81,60,33,134,0,66,83,200,1318
Nebraska,Kimball,8,0,83,174,425,470,452,89,485,556,482,1320
Nebraska,Knox,55,86,179,552,"1,038",417,"1,278",163,856,"1,345","1,241",1322
Nebraska,Lancaster,"7,229","4,771","17,531","32,166","32,266","16,154","16,549","6,603","41,058","50,304","28,701",1324
Nebraska,Lincoln,186,363,"1,549","2,586","4,815","2,838","2,428",769,"4,140","5,370","4,486",1327
Nebraska,Logan,23,2,24,60,83,47,80,0,43,107,169,1328
Nebraska,Loup,16,34,37,48,52,44,85,7,35,124,150,1331
Nebraska,McPherson,0,0,32,8,55,61,43,2,36,39,122,1332
Nebraska,Madison,221,220,"1,004","3,543","4,404","1,740","3,055",927,"4,207","5,368","3,685",1335
Nebraska,Merrick,132,52,297,605,810,361,"1,073",192,698,997,"1,443",1337
Nebraska,Morrill,9,24,62,245,591,331,707,76,491,638,764,1339
Nebraska,Nance,45,18,77,93,272,339,686,39,364,496,631,1341
Nebraska,Nemaha,16,49,205,401,705,374,"1,162",98,777,967,"1,070",1343
Nebraska,Nuckolls,17,10,48,255,411,321,790,95,449,624,684,1345
Nebraska,Otoe,99,120,811,"1,204","1,486",762,"2,027",379,"1,453","2,365","2,312",1348
Nebraska,Pawnee,32,8,64,95,243,201,578,139,196,448,438,1350
Nebraska,Perkins,1,17,67,109,331,293,384,56,231,439,476,1352
Nebraska,Phelps,27,78,170,780,"1,255",594,996,118,"1,045","1,413","1,324",1355
Nebraska,Pierce,9,61,205,537,581,630,967,134,612,"1,028","1,216",1356
Nebraska,Platte,257,586,825,"2,637","4,487","2,381","2,000",777,"3,239","5,310","3,847",1359
Nebraska,Polk,10,8,152,251,600,239,788,71,396,647,934,1362
Nebraska,Red Willow,84,3,220,641,"1,094","1,045","1,416",273,"1,283","1,719","1,228",1364
Nebraska,Richardson,15,97,156,217,756,833,"1,632",234,"1,110","1,270","1,092",1365
Nebraska,Rock,11,1,15,107,225,174,84,25,156,232,204,1366
Nebraska,Saline,35,79,594,854,"1,320",726,"1,684",78,"1,091","2,038","2,085",1367
Nebraska,Sarpy,"4,041","3,872","16,948","19,919","16,439","4,121","1,959","2,149","17,252","30,499","17,399",1368
Nebraska,Saunders,234,174,"1,002","1,368","2,297","1,012","2,455",292,"1,828","2,987","3,435",1370
Nebraska,Scotts Bluff,209,209,"1,028","1,965","5,307","3,400","2,539",798,"4,731","5,163","3,965",1373
Nebraska,Seward,118,155,698,"1,409","1,868",717,"1,801",281,"1,274","2,512","2,699",1375
Nebraska,Sheridan,0,3,119,229,544,532,885,145,565,893,709,1376
Nebraska,Sherman,7,13,84,116,288,234,672,41,251,487,635,1377
Nebraska,Sioux,11,18,23,79,108,63,228,30,92,141,267,1380
Nebraska,Stanton,69,17,200,564,742,245,593,62,485,939,944,1382
Nebraska,Thayer,6,59,80,313,531,373,885,124,578,828,717,1383
Nebraska,Thomas,2,0,27,83,53,30,81,3,32,95,146,1384
Nebraska,Thurston,20,44,207,471,663,300,460,159,629,785,592,1385
Nebraska,Valley,19,26,145,181,377,331,765,66,451,614,713,1386
Nebraska,Washington,164,198,"1,024","2,284","2,217",682,"1,734",328,"2,246","2,968","2,761",1387
Nebraska,Wayne,125,221,407,595,827,430,"1,188",68,876,"1,307","1,542",1388
Nebraska,Webster,28,54,82,160,349,215,636,64,352,563,545,1389
Nebraska,Wheeler,7,0,50,71,64,43,118,4,63,116,170,1390
Nebraska,York,83,67,271,805,"1,539","1,089","1,831",183,"1,560","2,160","1,782",1392
Nevada,Churchill,165,24,"1,810","4,088","2,732",716,437,292,"2,906","3,521","3,253",1396
Nevada,Clark,"40,277","30,522","231,479","352,967","126,810","23,864","3,107","64,601","296,225","296,928","151,272",1399
Nevada,Douglas,494,361,"4,838","9,067","5,557",407,347,430,"4,487","8,981","7,173",1400
Nevada,Elko,772,"1,166","2,234","9,290","3,001",926,"1,127",911,"5,015","6,709","5,881",1401
Nevada,Esmeralda,3,0,120,171,134,54,33,107,136,138,134,1404
Nevada,Eureka,7,35,60,261,174,42,82,38,62,238,323,1406
Nevada,Humboldt,170,430,814,"2,941","1,340",405,479,276,"1,802","2,291","2,210",1407
Nevada,Lander,14,296,236,"1,084",446,115,124,159,403,821,932,1408
Nevada,Lincoln,0,57,175,622,420,314,415,140,668,468,727,1410
Nevada,Lyon,718,478,"6,965","8,248","4,138",904,275,608,"5,465","8,342","7,311",1412
Nevada,Mineral,0,0,123,529,833,339,114,96,718,660,464,1415
Nevada,Nye,366,293,"6,996","8,603","2,302",469,224,769,"6,192","7,068","5,224",1417
Nevada,Pershing,3,38,220,971,474,159,144,81,666,502,760,1419
Nevada,Storey,51,9,353,764,402,0,125,18,585,604,497,1420
Nevada,Washoe,"9,382","4,487","39,994","64,374","50,031","13,515","4,333","12,159","56,819","69,022","48,116",1423
Nevada,White Pine,58,2,473,"1,128",779,611,698,74,979,"1,253","1,443",1425
Nevada,Carson City,296,346,"2,332","8,673","9,754","1,207",250,"1,243","7,564","7,711","6,340",1428
New Hampshire,Belknap,613,526,"3,747","7,328","6,249","2,326","4,787",982,"8,221","10,378","5,995",1432
New Hampshire,Carroll,358,451,"3,727","7,021","4,335","2,182","4,161",854,"7,658","9,141","4,582",1435
New Hampshire,Cheshire,407,536,"3,325","7,950","7,013","3,719","7,563","1,662","9,620","12,189","7,042",1437
New Hampshire,Coos,136,146,"1,265","2,651","2,841","2,104","4,824","1,095","4,808","5,500","2,564",1440
New Hampshire,Grafton,493,742,"4,394","10,858","7,353","3,093","8,208","2,484","12,018","13,456","7,183",1442
New Hampshire,Hillsborough,"3,342","2,781","15,915","51,674","41,185","18,070","29,876","9,089","50,434","66,059","37,261",1443
New Hampshire,Merrimack,"1,478","1,004","7,142","17,424","13,302","4,884","13,975","3,245","16,432","24,967","14,565",1444
New Hampshire,Rockingham,"3,794","3,851","15,442","42,733","29,981","10,438","16,281","3,630","32,401","52,357","34,132",1448
New Hampshire,Strafford,"1,205","1,350","7,068","13,355","11,328","5,657","9,868","2,976","14,388","20,532","11,935",1453
New Hampshire,Sullivan,138,196,"1,563","4,698","4,078","2,056","4,552",774,"5,080","7,417","4,010",1454
New Jersey,Atlantic,"1,602","1,944","14,663","26,448","26,894","14,600","14,952","12,795","33,728","35,733","18,847",1461
New Jersey,Bergen,"6,840","5,348","18,955","47,750","82,192","112,412","68,562","27,329","116,982","134,137","63,611",1465
New Jersey,Burlington,"2,774","3,093","18,365","49,404","52,297","24,709","17,553","7,448","51,137","68,354","41,256",1470
New Jersey,Camden,"2,225","2,064","11,350","36,108","60,905","44,980","33,028","20,664","66,175","69,857","33,964",1472
New Jersey,Cape May,613,910,"4,922","11,289","10,870","6,777","5,289","3,120","14,563","15,619","7,368",1477
New Jersey,Cumberland,664,"1,145","5,122","9,773","15,553","10,701","7,989","5,151","16,835","17,570","11,391",1482
New Jersey,Essex,"4,553","4,087","18,356","38,382","61,358","74,662","89,282","64,040","111,646","84,054","30,940",1483
New Jersey,Gloucester,"2,902","2,665","15,959","30,318","27,518","16,354","10,660","5,348","30,258","44,399","26,371",1484
New Jersey,Hudson,"10,705","7,006","27,767","37,021","49,387","44,196","85,207","83,307","117,466","45,799","14,717",1487
New Jersey,Hunterdon,492,723,"4,674","16,844","11,646","5,354","7,914","1,494","10,811","20,642","14,700",1488
New Jersey,Mercer,"2,363","1,907","10,733","27,488","32,431","29,633","26,885","14,436","44,029","48,155","24,820",1493
New Jersey,Middlesex,"6,706","5,693","24,133","78,683","77,917","64,968","29,871","23,492","96,599","111,159","56,721",1497
New Jersey,Monmouth,"5,069","4,726","21,905","66,920","68,183","41,310","30,122","16,267","69,411","96,831","55,726",1504
New Jersey,Morris,"3,481","2,915","13,941","46,142","54,502","39,650","23,531","8,996","51,320","78,258","45,588",1511
New Jersey,Ocean,"8,005","5,548","31,443","74,815","76,185","24,740","8,718","14,500","80,833","86,706","47,415",1546
New Jersey,Passaic,"1,335","1,454","8,801","21,215","39,596","53,381","42,899","26,747","58,527","55,257","28,150",1551
New Jersey,Salem,185,310,"1,856","4,477","7,044","5,887","4,655","2,341","7,232","8,786","6,055",1553
New Jersey,Somerset,"2,684","2,743","10,876","44,666","28,583","18,616","11,553","5,231","35,155","50,365","28,970",1558
New Jersey,Sussex,368,487,"4,964","13,547","17,759","9,972","7,069","1,743","13,571","22,635","16,217",1561
New Jersey,Union,"3,145","2,322","9,375","19,369","41,769","69,699","46,183","20,488","65,335","70,145","35,894",1566
New Jersey,Warren,423,622,"4,458","11,201","10,152","6,296","9,170","2,648","12,566","16,135","10,973",1570
New Mexico,Bernalillo,"6,614","5,700","42,165","86,639","79,475","43,476","8,459","18,759","97,333","101,003","55,433",1574
New Mexico,Catron,0,11,345,564,370,170,86,68,315,600,563,1576
New Mexico,Chaves,399,513,"1,706","5,800","8,114","5,931","1,178","1,174","7,834","8,400","6,233",1578
New Mexico,Cibola,178,135,770,"2,418","3,537","1,024",346,552,"2,758","2,507","2,591",1580
New Mexico,Colfax,15,46,575,"1,808","1,281","1,168","1,053",490,"1,918","2,050","1,488",1582
New Mexico,Curry,611,"1,002","1,616","4,822","6,422","3,041","1,106",674,"6,568","6,729","4,649",1586
New Mexico,De Baca,29,0,43,107,108,213,54,61,205,183,105,1589
New Mexico,Doña Ana,"3,997","4,013","14,314","31,025","16,916","7,007","2,149","4,925","24,292","29,200","21,004",1590
New Mexico,Eddy,"1,186","1,125","2,016","4,827","6,113","5,384",897,"1,014","6,436","7,978","6,120",1592
New Mexico,Grant,77,219,981,"3,721","3,493","1,984","1,021",650,"3,920","4,012","2,914",1594
New Mexico,Guadalupe,0,20,57,478,381,280,129,76,586,396,287,1595
New Mexico,Harding,2,0,16,36,36,45,41,18,48,42,68,1597
New Mexico,Hidalgo,26,50,238,511,480,226,211,100,597,544,501,1600
New Mexico,Lea,"1,014","1,057","1,618","4,774","8,226","5,289",890,890,"6,676","8,497","6,805",1604
New Mexico,Lincoln,40,151,"1,749","3,039","2,132",944,423,344,"2,667","2,818","2,649",1613
New Mexico,Los Alamos,32,125,967,"1,696","2,974","2,095",6,187,"2,100","3,245","2,363",1618
New Mexico,Luna,192,85,"1,104","2,995","2,566","1,192",777,702,"3,143","2,847","2,219",1622
New Mexico,McKinley,622,522,"2,674","7,849","6,463","2,300",817,"2,235","8,363","6,020","4,629",1626
New Mexico,Mora,1,0,198,"1,069",281,382,347,111,907,686,574,1629
New Mexico,Otero,357,726,"3,112","8,348","7,113","2,831",625,"1,202","7,796","9,322","4,792",1633
New Mexico,Quay,13,55,82,715,952,"1,059",306,146,"1,207","1,051",778,1637
New Mexico,Rio Arriba,211,162,"1,900","4,799","3,645","1,475",843,689,"3,021","4,491","4,834",1639
New Mexico,Roosevelt,150,391,678,"1,960","1,900","1,418",288,392,"2,288","2,223","1,882",1642
New Mexico,Sandoval,"2,055","2,574","14,426","23,006","8,168","1,421",854,"1,506","14,858","20,215","15,925",1646
New Mexico,San Juan,863,"1,439","6,791","17,213","12,082","4,485",709,"2,343","13,583","16,239","11,417",1650
New Mexico,San Miguel,81,147,"1,213","4,688","3,176","1,142","1,495",778,"3,386","4,177","3,601",1652
New Mexico,Santa Fe,"1,566","1,437","11,820","26,425","12,468","6,167","3,269","2,451","21,891","23,390","15,420",1654
New Mexico,Sierra,78,34,485,"2,103","1,545",707,450,406,"1,858","2,181",957,1657
New Mexico,Socorro,107,54,332,"2,236","1,296",453,524,353,"1,797","1,293","1,559",1659
New Mexico,Taos,56,124,"2,643","4,893","2,760",955,"1,161",622,"4,455","4,429","3,086",1662
New Mexico,Torrance,75,74,733,"3,309",937,377,452,178,"1,430","2,051","2,298",1664
New Mexico,Union,11,42,98,275,481,384,113,89,459,533,323,1667
New Mexico,Valencia,426,172,"4,853","11,983","6,659","1,402",961,874,"7,256","9,661","8,665",1670
New York,Albany,"2,823","2,428","7,131","23,767","32,466","25,500","34,007","16,870","47,595","45,522","18,135",1673
New York,Allegany,126,289,"1,089","3,255","3,807","2,694","6,768","1,370","6,057","7,041","3,560",1674
New York,Bronx,"6,804","9,703","27,320","41,354","111,827","123,425","189,702","303,100","152,468","42,528","12,039",1681
New York,Broome,644,"1,043","3,118","13,015","20,216","20,148","21,344","9,790","29,597","27,934","12,207",1683
New York,Cattaraugus,388,369,"1,843","6,234","6,527","4,791","11,847","3,322","11,265","12,270","5,142",1687
New York,Cayuga,484,373,"1,958","5,732","5,646","4,435","12,242","2,899","10,634","11,792","5,545",1689
New York,Chautauqua,565,418,"2,359","7,274","9,900","11,379","21,730","6,467","19,425","19,511","8,222",1694
New York,Chemung,250,365,"1,586","4,036","8,768","8,266","11,057","3,429","12,878","12,227","5,794",1696
New York,Chenango,229,340,"1,417","4,957","4,335","2,376","7,180","1,982","6,805","7,895","4,152",1699
New York,Clinton,698,653,"2,658","9,001","6,550","5,369","6,628","2,951","10,435","12,178","5,993",1702
New York,Columbia,269,301,"2,301","5,278","6,138","3,426","7,610","1,746","8,198","9,819","5,560",1704
New York,Cortland,184,168,680,"3,538","4,127","2,228","7,055","1,306","5,715","7,448","3,511",1706
New York,Delaware,139,180,"1,631","4,153","3,893","2,227","6,707","1,620","6,693","7,027","3,590",1707
New York,Dutchess,"1,227","1,639","10,187","25,158","32,125","19,941","19,818","8,214","36,189","41,654","24,038",1711
New York,Erie,"6,868","5,682","18,018","53,989","87,298","109,170","111,885","49,110","151,685","138,958","53,157",1723
New York,Essex,216,190,"1,842","3,527","3,009","2,084","5,314","1,366","5,637","6,503","2,676",1728
New York,Franklin,269,299,"1,330","4,503","3,612","2,308","6,559","1,944","6,106","7,764","3,066",1731
New York,Fulton,170,383,"1,238","3,855","4,376","4,196","8,188","2,291","7,390","8,525","4,200",1734
New York,Genesee,205,160,"1,259","4,352","5,281","3,679","9,238","2,369","7,506","9,129","5,170",1736
New York,Greene,109,186,"1,842","3,810","4,112","2,584","5,038","1,634","5,426","6,593","4,028",1739
New York,Hamilton,1,28,182,345,269,244,347,43,454,679,240,1742
New York,Herkimer,233,247,"1,613","4,203","4,405","3,869","10,523","2,577","8,581","10,022","3,913",1745
New York,Jefferson,970,"1,705","4,461","10,727","6,701","3,811","14,671","3,885","15,398","17,382","6,381",1782
New York,Kings,"19,273","18,557","51,595","62,314","152,376","187,271","480,928","540,937","333,540","79,208","18,629",1788
New York,Lewis,204,365,868,"2,539","1,655",971,"3,796",456,"2,947","4,529","2,466",1790
New York,Livingston,354,308,"2,145","5,857","5,495","2,514","7,823","1,520","7,428","10,090","5,458",1791
New York,Madison,299,442,"2,145","6,123","5,081","3,442","8,427","1,458","8,674","10,618","5,209",1796
New York,Monroe,"5,046","5,313","18,138","60,848","83,030","59,447","73,388","34,439","111,998","114,981","43,792",1804
New York,Montgomery,139,186,912,"3,326","2,551","4,188","8,319","2,624","6,850","6,609","3,538",1807
New York,Nassau,"4,657","4,386","13,349","32,687","84,863","221,379","88,646","29,460","127,074","185,704","107,729",1839
New York,New York,"12,167","13,274","45,689","77,818","161,864","130,243","317,665","588,999","148,951","17,082","3,688",1847
New York,Niagara,748,880,"5,005","14,678","19,444","23,915","25,352","8,788","32,098","33,723","15,413",1850
New York,Oneida,668,"1,362","4,370","14,774","19,132","21,622","28,747","9,395","33,782","32,813","14,685",1852
New York,Onondaga,"2,948","3,026","11,455","34,016","49,364","45,302","41,238","22,644","67,751","70,716","26,238",1853
New York,Ontario,"1,483","1,334","4,991","11,083","9,333","4,840","12,647","3,105","14,992","19,281","8,333",1856
New York,Orange,"3,127","3,065","15,357","31,649","31,418","18,812","27,000","12,605","40,027","47,756","30,040",1859
New York,Orleans,50,113,778,"3,338","3,161","1,814","7,380","1,272","5,262","6,883","3,217",1862
New York,Oswego,545,561,"3,687","13,625","9,985","5,335","12,859","3,628","14,592","18,064","10,313",1864
New York,Otsego,297,412,"1,725","4,623","4,213","2,785","9,713","1,876","8,808","8,653","4,431",1868
New York,Putnam,414,312,"3,145","7,719","10,559","7,097","5,669","1,610","8,361","14,710","10,234",1870
New York,Queens,"8,667","11,624","31,090","54,196","156,936","276,645","244,204","289,443","314,486","134,612","44,821",1872
New York,Rensselaer,"1,578","1,570","5,607","12,379","13,611","10,171","20,539","6,257","22,811","24,596","11,791",1874
New York,Richmond,"2,114","1,747","15,236","45,035","50,453","21,774","30,801","26,233","60,451","56,766","23,710",1876
New York,Rockland,"1,782","2,021","7,238","19,921","40,623","17,228","12,354","10,711","30,502","38,118","21,836",1879
New York,St. Lawrence,771,749,"2,713","9,161","8,167","7,427","12,937","4,087","14,876","15,852","7,110",1883
New York,Saratoga,"4,652","4,208","13,653","28,395","21,969","8,122","14,899","4,253","30,355","42,225","19,065",1885
New York,Schenectady,"1,162",737,"3,182","7,924","11,283","15,195","17,996","6,621","21,448","20,826","8,584",1887
New York,Schoharie,168,166,"1,299","3,432","2,596","1,211","3,908",833,"4,287","4,519","3,141",1888
New York,Schuyler,171,140,526,"1,671","1,722",673,"2,499",472,"2,479","2,719","1,732",1889
New York,Seneca,160,170,"1,210","2,742","2,463","2,270","4,769","1,162","4,643","5,381","2,598",1890
New York,Steuben,343,672,"2,735","8,247","8,430","5,969","13,703","3,594","13,503","15,604","7,398",1891
New York,Suffolk,"5,331","4,493","38,082","90,818","197,640","116,972","42,331","27,139","129,835","193,857","144,836",1924
New York,Sullivan,428,414,"3,830","6,909","6,660","4,713","5,808","2,727","10,221","9,955","5,859",1928
New York,Tioga,478,306,"1,259","4,470","5,548","3,213","5,369","1,202","6,611","7,773","5,057",1930
New York,Tompkins,"1,416","1,454","3,377","11,051","9,416","4,450","9,653","5,304","14,912","14,667","5,934",1933
New York,Ulster,968,"1,388","6,429","15,339","16,933","13,007","16,024","4,881","24,923","25,519","14,765",1935
New York,Warren,674,613,"3,949","7,538","6,100","4,217","5,943","2,544","9,809","11,519","5,162",1938
New York,Washington,265,651,"2,104","5,224","4,000","3,283","8,527","2,226","7,421","9,256","5,151",1942
New York,Wayne,349,663,"2,829","9,048","8,732","4,270","11,390","2,872","11,407","15,013","7,989",1952
New York,Westchester,"4,345","4,257","17,573","45,260","80,829","94,359","106,862","49,453","126,376","119,252","58,404",1960
New York,Wyoming,79,166,858,"2,844","3,621","1,967","6,520","1,019","5,037","6,735","3,264",1962
New York,Yates,119,175,629,"1,890","1,495",881,"3,712","1,101","2,533","3,480","1,787",1965
North Carolina,Alamance,"3,370","2,192","11,978","19,611","14,317","10,239","3,748","3,108","20,406","23,109","18,832",1967
North Carolina,Alexander,131,381,"2,180","6,097","3,519","1,277",464,488,"2,949","4,961","5,651",1968
North Carolina,Alleghany,24,142,673,"1,827","1,669",522,144,301,"1,242","1,993","1,465",1970
North Carolina,Anson,221,148,"1,182","2,880","3,085","1,490",797,689,"2,954","2,773","3,387",1972
North Carolina,Ashe,265,229,"1,703","3,835","3,594","1,469",790,548,"3,296","4,888","3,153",1975
North Carolina,Avery,116,110,"1,029","2,259","1,776",838,441,313,"1,922","2,416","1,918",1977
North Carolina,Beaufort,528,429,"3,350","6,458","5,664","2,480","1,310","1,282","5,868","7,261","5,808",1981
North Carolina,Bertie,234,115,977,"2,791","2,164","1,275",452,905,"2,360","2,297","2,446",1983
North Carolina,Bladen,412,225,"1,870","4,657","4,023","1,642",565,"1,097","3,989","4,075","4,233",1986
North Carolina,Brunswick,"6,062","4,708","20,396","18,958","6,821","1,703",768,"1,821","17,069","28,198","12,328",1995
North Carolina,Buncombe,"4,973","3,724","16,625","34,501","22,596","11,412","11,346","5,920","36,536","41,195","21,526",1422
North Carolina,Burke,544,508,"4,276","11,718","10,871","5,463","2,284","1,597","10,450","12,697","10,920",1424
North Carolina,Cabarrus,"5,878","4,038","18,318","20,761","11,483","8,475","3,890","2,952","19,016","31,443","19,432",1426
North Carolina,Caldwell,309,472,"4,009","11,759","9,637","4,776","1,836","1,694","9,447","11,189","10,468",1429
North Carolina,Camden,179,56,"1,229","1,372",564,241,271,120,800,"1,566","1,426",1433
North Carolina,Carteret,"1,451","1,020","6,047","12,139","5,622","2,285","1,496","1,265","9,400","12,258","7,137",1447
North Carolina,Caswell,150,83,"1,354","2,958","2,685","1,454",309,787,"2,110","2,562","3,534",1449
North Carolina,Catawba,"1,185","1,319","9,997","22,974","16,363","8,015","3,087","3,034","17,998","23,909","17,999",1450
North Carolina,Chatham,"2,233","2,374","6,817","10,437","5,223","1,742","1,078","1,216","8,335","11,778","8,575",1451
North Carolina,Cherokee,337,276,"3,123","5,309","2,152",918,431,583,"4,360","4,482","3,121",1452
North Carolina,Chowan,118,150,887,"2,393","1,581",743,517,495,"2,158","2,380","1,356",1455
North Carolina,Clay,128,180,"1,059","2,082","1,299",404,148,554,"1,792","1,908","1,046",1457
North Carolina,Cleveland,591,837,"4,111","11,747","11,199","5,317","2,287","2,598","10,868","12,809","9,814",1458
North Carolina,Columbus,355,495,"2,853","7,017","6,112","3,338","1,375","1,352","6,660","7,136","6,397",1459
North Carolina,Craven,"1,955","1,706","8,651","15,572","8,142","3,652","1,324","2,414","13,174","15,741","9,673",1462
North Carolina,Cumberland,"3,783","6,944","20,851","46,224","37,917","9,679","2,134","8,802","48,159","46,085","24,486",1464
North Carolina,Currituck,736,600,"3,010","4,062","1,380",491,589,241,"2,373","4,143","4,111",1481
North Carolina,Dare,422,306,"2,976","7,917","2,894",631,684,417,"4,434","7,222","3,757",1485
North Carolina,Davidson,"2,060","1,501","10,941","23,270","16,522","9,262","3,999","3,451","18,656","23,657","21,791",1489
North Carolina,Davie,365,234,"3,697","5,456","4,001","1,438","1,112",819,"3,787","5,828","5,869",1490
North Carolina,Duplin,495,522,"3,042","8,082","5,314","2,577","1,405",994,"5,624","8,148","6,671",1492
North Carolina,Durham,"10,895","6,755","25,167","42,377","25,920","12,211","6,803","9,128","49,883","49,883","21,234",1494
North Carolina,Edgecombe,587,397,"2,491","6,438","6,408","2,793","1,686","2,043","7,052","6,463","5,242",1495
North Carolina,Forsyth,"5,638","4,323","23,291","44,951","41,244","20,882","8,561","10,304","51,195","53,800","33,591",1496
North Carolina,Franklin,"1,335","1,138","6,176","9,696","4,105","1,936","1,343","1,120","6,040","10,969","7,600",1498
North Carolina,Gaston,"3,353","2,440","13,198","24,005","23,206","13,202","5,882","5,003","26,760","32,239","21,284",1499
North Carolina,Gates,97,132,"1,009","1,573",915,520,444,233,"1,015","1,860","1,582",1500
North Carolina,Graham,67,17,748,"1,288",966,373,62,258,867,"1,266","1,130",1502
North Carolina,Granville,998,891,"5,030","7,435","3,947","1,926","1,340","1,044","4,702","8,290","7,531",1503
North Carolina,Greene,275,174,670,"2,918","1,972",615,594,494,"2,012","2,659","2,053",1505
North Carolina,Guilford,"8,406","6,778","35,204","69,964","50,545","26,371","10,966","13,328","74,960","75,136","44,810",1506
North Carolina,Halifax,226,266,"1,929","7,939","5,344","3,400","1,957","2,207","7,256","5,900","5,698",1508
North Carolina,Harnett,"2,740","4,268","9,437","16,214","8,221","3,591","2,054","2,244","13,297","17,122","13,862",1509
North Carolina,Haywood,494,418,"3,872","9,577","6,732","3,831","1,967","1,174","8,230","9,969","7,518",1512
North Carolina,Henderson,"2,118","1,395","10,220","18,875","10,502","4,433","2,172","1,955","14,978","20,128","12,654",1514
North Carolina,Hertford,107,196,840,"2,894","2,754","1,395",717,797,"3,185","2,347","2,574",1515
North Carolina,Hoke,"1,065","1,652","5,020","6,652","2,877",934,248,821,"5,551","7,020","5,056",1517
North Carolina,Hyde,0,4,381,737,626,199,109,36,706,891,423,1521
North Carolina,Iredell,"4,094","3,358","17,275","22,887","11,876","5,573","3,311","2,224","18,482","26,675","20,993",1525
North Carolina,Jackson,538,630,"3,176","5,972","4,089","1,514","1,089",826,"5,275","7,125","3,782",1528
North Carolina,Johnston,"6,544","4,099","17,487","25,450","9,510","5,408","2,834","3,287","17,398","27,881","22,766",1530
North Carolina,Jones,174,100,609,"1,261","1,113",506,306,264,"1,297","1,474","1,034",1536
North Carolina,Lee,661,747,"3,256","8,878","5,585","2,421",742,"1,050","6,361","7,670","7,209",1540
North Carolina,Lenoir,315,486,"2,428","8,268","6,955","3,636","1,406","2,320","8,550","7,315","5,309",1542
North Carolina,Lincoln,"1,794",901,"7,027","13,338","6,000","3,056","1,505","1,308","8,145","12,997","11,171",1545
North Carolina,McDowell,452,768,"3,205","6,292","4,024","2,202","1,332","1,260","4,566","7,540","4,909",1554
North Carolina,Macon,300,221,"2,764","6,284","4,229","1,700",564,"1,084","5,161","5,821","3,996",1556
North Carolina,Madison,418,273,"1,244","2,873","1,909",866,790,302,"2,362","3,165","2,544",1560
North Carolina,Martin,95,188,"1,245","2,441","2,913","1,860",880,791,"3,338","2,859","2,634",1563
North Carolina,Mecklenburg,"30,008","20,649","99,613","150,160","78,443","32,971","10,106","23,730","160,665","165,248","72,307",1565
North Carolina,Mitchell,162,92,886,"1,917","1,607","1,065",673,382,"1,845","2,313","1,862",1568
North Carolina,Montgomery,315,275,"1,192","3,054","3,043","1,547",839,539,"2,969","3,852","2,905",1573
North Carolina,Moore,"2,125","2,606","7,371","15,738","8,049","2,838","1,848","1,781","12,237","16,074","10,483",1584
North Carolina,Nash,"1,003",660,"7,318","14,208","8,343","3,433","2,406","2,700","11,089","12,815","10,767",1588
North Carolina,New Hanover,"6,725","3,720","17,615","37,239","19,234","8,410","5,055","6,219","33,856","40,755","17,168",1602
North Carolina,Northampton,161,311,736,"2,889","2,059","1,647",621,759,"2,797","2,411","2,457",1606
North Carolina,Onslow,"3,842","9,862","15,349","19,836","12,093","4,632",517,"2,584","19,741","29,675","14,131",1625
North Carolina,Orange,"2,847","1,930","9,057","20,265","12,717","4,379","2,027","2,535","16,338","21,252","13,097",1630
North Carolina,Pamlico,319,195,"1,035","1,977","1,222",489,269,337,"1,832","2,053","1,284",1703
North Carolina,Pasquotank,316,330,"3,206","4,763","2,671","1,856","1,643","1,032","4,394","4,983","4,376",1714
North Carolina,Pender,"1,847","1,236","6,309","8,551","2,935",888,"1,046",774,"6,210","8,779","7,049",1718
North Carolina,Perquimans,224,368,"1,586","1,729","1,147",489,343,204,"1,977","1,948","1,757",1724
North Carolina,Person,295,309,"2,996","6,035","3,297","2,171","1,050",838,"3,759","5,370","6,186",1729
North Carolina,Pitt,"2,440","3,244","16,567","25,925","15,883","4,718","1,906","6,137","23,180","25,490","15,876",1733
North Carolina,Polk,224,105,"1,512","3,219","2,192","1,072",928,411,"2,802","3,625","2,414",1738
North Carolina,Randolph,"1,307","1,530","8,983","20,917","14,721","7,332","2,000","2,366","15,720","20,074","18,630",1741
North Carolina,Richmond,531,341,"1,914","5,909","5,675","2,448","1,383","1,779","6,006","6,135","4,281",1744
North Carolina,Robeson,"1,072","1,556","4,861","19,010","11,678","5,462","2,242","4,068","14,756","14,833","12,224",1747
North Carolina,Rockingham,"1,124",486,"4,421","12,500","9,824","6,810","3,367","2,594","10,951","12,977","12,010",1751
North Carolina,Rowan,"1,681",740,"8,137","17,590","12,625","8,048","5,316","3,403","14,722","18,920","17,092",1754
North Carolina,Rutherford,541,331,"3,330","8,987","7,874","4,546","1,916","1,812","8,080","9,492","8,141",1764
