State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FID
Illinois,Effingham,2020,166,156,10,0,0,0,0,84,48,37,0,0,166,0,0,76
Illinois,Hamilton,2020,353,275,77,1,0,0,0,118,56,40,0,0,154,199,0,106
Illinois,Jersey,2020,358,307,50,1,0,0,0,112,55,39,0,0,192,166,0,142
Illinois,Jo Daviess,2020,353,337,16,0,0,0,0,87,44,32,0,0,353,0,0,145
Illinois,Kane,2020,279,225,47,6,1,0,0,161,64,39,0,0,209,70,0,156
Illinois,Lake,2020,241,199,31,10,1,0,0,185,74,39,0,0,241,0,0,170
Illinois,Macon,2020,362,298,64,0,0,0,0,90,55,40,0,0,153,209,0,194
Illinois,Macoupin,2020,364,346,18,0,0,0,0,93,45,31,0,129,235,0,0,196
Illinois,Madison,2020,365,213,149,3,0,0,0,112,70,47,0,0,144,219,2,199
Illinois,McHenry,2020,334,259,66,9,0,0,0,147,58,40,0,0,136,198,0,192
Illinois,McLean,2020,364,286,75,3,0,0,0,136,58,41,0,0,167,197,0,193
Illinois,Peoria,2020,364,301,62,1,0,0,0,115,57,40,0,0,210,154,0,233
Illinois,Randolph,2020,366,302,62,2,0,0,0,103,54,38,0,0,170,196,0,255
Illinois,Rock Island,2020,355,295,59,1,0,0,0,102,56,38,0,0,163,192,0,265
Illinois,St. Clair,2020,365,306,59,0,0,0,0,100,56,36,0,78,141,146,0,269
Illinois,Sangamon,2020,364,312,52,0,0,0,0,97,54,39,0,0,192,172,0,274
Illinois,Will,2020,363,262,97,3,1,0,0,155,60,42,0,0,145,218,0,320
Illinois,Winnebago,2020,366,284,81,1,0,0,0,101,61,39,0,0,144,222,0,325
Indiana,Allen,2020,366,296,68,2,0,0,0,120,58,39,0,0,221,145,0,335
Indiana,Bartholomew,2020,366,323,43,0,0,0,0,97,52,37,0,0,258,108,0,342
Indiana,Boone,2020,352,330,20,2,0,0,0,101,48,32,0,0,352,0,0,185
Indiana,Brown,2020,364,349,15,0,0,0,0,80,44,33,0,0,364,0,0,188
Indiana,Carroll,2020,364,352,12,0,0,0,0,100,44,31,0,0,364,0,0,195
Indiana,Clark,2020,366,269,97,0,0,0,0,91,58,42,0,0,161,205,0,215
Indiana,Delaware,2020,365,330,35,0,0,0,0,97,50,35,0,0,315,50,0,252
Indiana,Dubois,2020,123,104,19,0,0,0,0,67,54,33,0,0,0,121,2,254
Indiana,Elkhart,2020,366,314,50,0,2,0,0,158,54,36,0,0,221,145,0,260
Indiana,Floyd,2020,363,347,15,1,0,0,0,143,44,32,0,0,363,0,0,267
Indiana,Greene,2020,361,328,33,0,0,0,0,90,50,34,0,0,323,38,0,309
Indiana,Hamilton,2020,366,315,51,0,0,0,0,97,54,38,0,0,221,145,0,321
Indiana,Hendricks,2020,366,348,18,0,0,0,0,87,45,32,0,0,366,0,0,341
Indiana,Henry,2020,118,105,13,0,0,0,0,63,51,29,0,0,0,118,0,344
Indiana,Howard,2020,366,319,46,1,0,0,0,108,53,38,0,0,257,109,0,348
Indiana,Knox,2020,351,328,22,1,0,0,0,105,48,33,0,0,351,0,0,376
Indiana,LaPorte,2020,366,310,49,6,1,0,0,154,61,37,0,0,324,42,0,392
Indiana,Lake,2020,366,243,117,6,0,0,0,136,64,44,0,4,154,199,9,389
Indiana,Madison,2020,366,305,61,0,0,0,0,97,55,39,0,0,198,168,0,401
Indiana,Marion,2020,366,196,164,6,0,0,0,144,68,48,0,2,108,252,4,409
Indiana,Monroe,2020,357,315,42,0,0,0,0,69,51,31,0,0,0,357,0,422
Indiana,Perry,2020,366,352,13,1,0,0,0,105,45,34,0,0,366,0,0,459
Indiana,Porter,2020,366,304,56,5,1,0,0,151,58,39,0,0,259,96,11,468
Indiana,Posey,2020,355,336,18,1,0,0,0,112,45,31,0,0,355,0,0,471
Indiana,Shelby,2020,366,347,18,1,0,0,0,115,46,32,0,0,366,0,0,506
Indiana,Spencer,2020,122,106,16,0,0,0,0,63,53,32,0,0,0,122,0,509
Indiana,St. Joseph,2020,366,272,89,4,1,0,0,162,62,41,0,1,209,156,0,496
Indiana,Sullivan,2020,31,27,4,0,0,0,0,53,51,29,0,0,0,31,0,518
Indiana,Tippecanoe,2020,348,255,93,0,0,0,0,69,56,39,0,0,0,348,0,530
Indiana,Vanderburgh,2020,366,298,66,2,0,0,0,101,57,39,0,0,224,142,0,543
Indiana,Vigo,2020,366,295,70,1,0,0,0,112,57,40,0,0,212,154,0,553
Indiana,Wabash,2020,363,337,26,0,0,0,0,97,49,35,0,0,363,0,0,555
Indiana,Warrick,2020,366,347,17,2,0,0,0,112,47,33,0,0,366,0,0,575
Indiana,Whitley,2020,336,260,76,0,0,0,0,76,56,39,0,0,0,336,0,597
Iowa,Black Hawk,2020,366,311,55,0,0,0,0,91,53,32,0,0,0,366,0,623
Iowa,Bremer,2020,244,232,12,0,0,0,0,87,45,35,0,0,244,0,0,631
Iowa,Cerro Gordo,2020,122,120,2,0,0,0,0,60,37,18,0,0,0,0,122,383
Iowa,Clinton,2020,324,256,68,0,0,0,0,87,58,39,0,0,173,151,0,404
Iowa,Harrison,2020,242,223,19,0,0,0,0,87,49,37,0,0,242,0,0,478
Iowa,Johnson,2020,362,270,91,1,0,0,0,105,58,35,0,0,0,362,0,508
Iowa,Lee,2020,118,105,13,0,0,0,0,73,52,30,0,0,0,118,0,531
Iowa,Linn,2020,366,276,89,1,0,0,0,105,59,40,0,0,137,229,0,535
Iowa,Montgomery,2020,366,327,39,0,0,0,0,76,51,35,0,0,177,189,0,595
Iowa,Muscatine,2020,366,309,56,1,0,0,0,124,54,30,0,0,0,359,7,600
Iowa,Palo Alto,2020,366,327,39,0,0,0,0,87,51,36,0,0,192,174,0,618
Iowa,Polk,2020,366,308,56,0,2,0,0,186,54,36,0,13,180,172,1,629
Iowa,Pottawattamie,2020,124,110,14,0,0,0,0,77,52,31,0,0,0,111,13,637
Iowa,Scott,2020,366,230,133,2,1,0,0,155,63,44,0,0,111,152,103,657
Iowa,Van Buren,2020,366,336,30,0,0,0,0,87,49,36,0,0,190,176,0,678
Iowa,Woodbury,2020,122,110,12,0,0,0,0,79,50,29,0,0,0,122,0,702
Kansas,Chase,2020,121,118,3,0,0,0,0,58,35,18,0,0,0,121,0,729
