State,County,WICS16,FID,FID
Colorado,San Juan,,347,347
Colorado,San Miguel,2,359,359
Colorado,Sedgwick,1,366,366
Colorado,Summit,4,373,373
Colorado,Teller,5,375,375
Colorado,Washington,1,377,377
Colorado,Weld,15,382,382
Colorado,Yuma,3,385,385
Connecticut,Fairfield,168,410,410
Connecticut,Hartford,219,432,432
Connecticut,Litchfield,22,443,443
Connecticut,Middlesex,18,450,450
Connecticut,New Haven,183,466,466
Connecticut,New London,43,517,517
Connecticut,Tolland,15,524,524
Connecticut,Windham,22,529,529
Delaware,Kent,18,532,532
Delaware,New Castle,46,536,536
Delaware,Sussex,22,609,609
District of Columbia,District of Columbia,34,630,630
Florida,Alachua,28,639,639
Florida,Baker,3,641,641
Florida,Bay,29,658,658
Florida,Bradford,4,665,665
Florida,Brevard,54,686,686
Florida,Broward,185,695,695
Florida,Calhoun,3,699,699
Florida,Charlotte,19,743,743
Florida,Citrus,15,843,843
Florida,Clay,20,852,852
Florida,Collier,32,894,894
Florida,Columbia,7,903,903
Florida,DeSoto,5,906,906
Florida,Dixie,3,918,918
Florida,Duval,99,924,924
Florida,Escambia,34,931,931
Florida,Flagler,11,935,935
Florida,Franklin,4,937,937
Florida,Gadsden,5,938,938
Florida,Gilchrist,3,939,939
Florida,Glades,,940,940
Florida,Gulf,3,941,941
Florida,Hamilton,2,942,942
Florida,Hardee,7,943,943
Florida,Hendry,5,944,944
Florida,Hernando,23,945,945
Florida,Highlands,11,946,946
Florida,Hillsborough,146,947,947
Florida,Holmes,2,948,948
Florida,Indian River,15,949,949
Florida,Jackson,8,950,950
Florida,Jefferson,2,951,951
Florida,Lafayette,1,952,952
Florida,Lake,33,953,953
Florida,Lee,71,954,954
Florida,Leon,25,955,955
Florida,Levy,5,956,956
Florida,Liberty,1,957,957
Florida,Madison,3,958,958
Florida,Manatee,32,959,959
Florida,Marion,38,960,960
Florida,Martin,19,961,961
Florida,Miami-Dade,248,962,962
Florida,Monroe,10,963,963
Florida,Nassau,9,964,964
Florida,Okaloosa,24,965,965
Florida,Okeechobee,5,966,966
Florida,Orange,121,967,967
Florida,Osceola,36,968,968
Florida,Palm Beach,142,969,969
Florida,Pasco,51,970,970
Florida,Pinellas,110,971,971
Florida,Polk,59,972,972
Florida,Putnam,10,973,973
Florida,St. Johns,19,974,974
Florida,St. Lucie,25,975,975
Florida,Santa Rosa,17,976,976
Florida,Sarasota,45,977,977
Florida,Seminole,46,978,978
Florida,Sumter,12,979,979
Florida,Suwannee,5,980,980
Florida,Taylor,4,981,981
Florida,Union,1,982,982
Florida,Volusia,58,983,983
Florida,Wakulla,3,984,984
Florida,Walton,11,985,985
Florida,Washington,4,986,986
Georgia,Appling,4,987,987
Georgia,Atkinson,2,988,988
Georgia,Bacon,4,989,989
Georgia,Baker,1,990,990
Georgia,Baldwin,9,991,991
Georgia,Banks,,992,992
Georgia,Barrow,11,993,993
Georgia,Bartow,9,994,994
Georgia,Ben Hill,4,995,995
Georgia,Berrien,1,996,996
Georgia,Bibb,31,997,997
Georgia,Bleckley,4,998,998
Georgia,Brantley,2,999,999
Georgia,Brooks,2,565,565
Georgia,Bryan,7,573,573
Georgia,Bulloch,9,579,579
Georgia,Burke,5,583,583
Georgia,Butts,3,588,588
Georgia,Calhoun,1,592,592
Georgia,Camden,8,603,603
Georgia,Candler,1,616,616
Georgia,Carroll,17,620,620
Georgia,Catoosa,10,626,626
Georgia,Charlton,1,635,635
Georgia,Chatham,45,646,646
Georgia,Chattahoochee,2,656,656
Georgia,Chattooga,6,659,659
Georgia,Cherokee,30,662,662
Georgia,Clarke,18,666,666
Georgia,Clay,2,670,670
Georgia,Clayton,31,673,673
Georgia,Clinch,1,676,676
Georgia,Cobb,91,680,680
Georgia,Coffee,8,684,684
Georgia,Colquitt,8,689,689
Georgia,Columbia,24,692,692
Georgia,Cook,4,697,697
Georgia,Coweta,17,700,700
Georgia,Crawford,1,704,704
Georgia,Crisp,7,707,707
Georgia,Dade,4,708,708
Georgia,Dawson,5,713,713
Georgia,Decatur,6,714,714
Georgia,DeKalb,90,718,718
Georgia,Dodge,4,720,720
Georgia,Dooly,2,724,724
Georgia,Dougherty,16,728,728
Georgia,Douglas,13,731,731
Georgia,Early,4,735,735
Georgia,Echols,1,737,737
Georgia,Effingham,5,742,742
Georgia,Elbert,4,746,746
Georgia,Emanuel,3,750,750
Georgia,Evans,2,754,754
Georgia,Fannin,7,755,755
Georgia,Fayette,17,760,760
Georgia,Floyd,16,764,764
Georgia,Forsyth,31,768,768
Georgia,Franklin,6,772,772
Georgia,Fulton,121,779,779
Georgia,Gilmer,6,781,781
Georgia,Glascock,,783,783
Georgia,Glynn,16,793,793
Georgia,Gordon,8,796,796
Georgia,Grady,5,797,797
Georgia,Greene,3,800,800
Georgia,Gwinnett,106,804,804
Georgia,Habersham,9,806,806
Georgia,Hall,32,808,808
Georgia,Hancock,1,810,810
Georgia,Haralson,7,813,813
Georgia,Harris,1,814,814
Georgia,Hart,5,816,816
Georgia,Heard,1,817,817
Georgia,Henry,28,820,820
Georgia,Houston,24,823,823
Georgia,Irwin,1,825,825
Georgia,Jackson,10,828,828
Georgia,Jasper,3,830,830
Georgia,Jeff Davis,4,832,832
Georgia,Jefferson,7,834,834
Georgia,Jenkins,1,835,835
Georgia,Johnson,2,837,837
Georgia,Jones,3,839,839
Georgia,Lamar,3,841,841
Georgia,Lanier,2,845,845
Georgia,Laurens,7,847,847
Georgia,Lee,6,849,849
Georgia,Liberty,9,855,855
Georgia,Lincoln,1,857,857
Georgia,Long,1,860,860
Georgia,Lowndes,15,863,863
Georgia,Lumpkin,4,865,865
Georgia,McDuffie,4,868,868
Georgia,McIntosh,2,871,871
Georgia,Macon,4,874,874
Georgia,Madison,3,875,875
Georgia,Marion,3,877,877
Georgia,Meriwether,3,879,879
Georgia,Miller,2,881,881
Georgia,Mitchell,6,883,883
Georgia,Monroe,4,885,885
Georgia,Montgomery,1,887,887
Georgia,Morgan,2,890,890
Georgia,Murray,5,892,892
Georgia,Muscogee,33,896,896
Georgia,Newton,14,899,899
Georgia,Oconee,4,901,901
Georgia,Oglethorpe,1,905,905
Georgia,Paulding,13,908,908
Georgia,Peach,7,910,910
Georgia,Pickens,8,912,912
Georgia,Pierce,2,915,915
Georgia,Pike,1,7,7
Georgia,Polk,8,8,8
Georgia,Pulaski,2,11,11
Georgia,Putnam,4,13,13
Georgia,Quitman,,16,16
Georgia,Rabun,5,18,18
Georgia,Randolph,3,23,23
Georgia,Richmond,27,24,24
Georgia,Rockdale,11,28,28
Georgia,Schley,2,31,31
Georgia,Screven,2,34,34
Georgia,Seminole,3,38,38
Georgia,Spalding,9,41,41
Georgia,Stephens,6,45,45
Georgia,Stewart,2,48,48
Georgia,Sumter,8,52,52
Georgia,Talbot,,57,57
Georgia,Taliaferro,,60,60
Georgia,Tattnall,2,63,63
Georgia,Taylor,2,69,69
Georgia,Telfair,4,75,75
Georgia,Terrell,3,78,78
Georgia,Thomas,8,83,83
Georgia,Tift,10,87,87
Georgia,Toombs,6,91,91
Georgia,Towns,2,95,95
Georgia,Treutlen,1,102,102
Georgia,Troup,13,105,105
Georgia,Turner,3,108,108
Georgia,Twiggs,1,116,116
Georgia,Union,8,120,120
Georgia,Upson,3,123,123
Georgia,Walker,8,126,126
Georgia,Walton,10,127,127
Georgia,Ware,8,132,132
Georgia,Warren,1,135,135
Georgia,Washington,4,143,143
Georgia,Wayne,3,147,147
Georgia,Webster,,149,149
Georgia,Wheeler,1,154,154
Georgia,White,4,157,157
Georgia,Whitfield,17,159,159
Georgia,Wilcox,2,163,163
Georgia,Wilkes,3,167,167
Georgia,Wilkinson,1,169,169
Georgia,Worth,4,173,173
Hawaii,Hawaii,29,198,198
Hawaii,Honolulu,73,234,234
Hawaii,Kalawao,,247,247
Hawaii,Kauai,11,261,261
Hawaii,Maui,24,323,323
Idaho,Ada,35,336,336
Idaho,Adams,2,338,338
Idaho,Bannock,12,343,343
Idaho,Bear Lake,2,349,349
Idaho,Benewah,4,354,354
Idaho,Bingham,6,362,362
Idaho,Blaine,4,371,371
Idaho,Boise,2,380,380
Idaho,Bonner,6,387,387
Idaho,Bonneville,9,395,395
Idaho,Boundary,3,405,405
Idaho,Butte,1,414,414
Idaho,Camas,,429,429
Idaho,Canyon,16,441,441
Idaho,Caribou,3,449,449
Idaho,Cassia,2,456,456
Idaho,Clark,1,464,464
Idaho,Clearwater,5,474,474
Idaho,Custer,3,484,484
Idaho,Elmore,6,490,490
Idaho,Franklin,1,498,498
Idaho,Fremont,2,502,502
Idaho,Gem,1,510,510
Idaho,Gooding,4,519,519
Idaho,Idaho,6,528,528
Idaho,Jefferson,2,540,540
Idaho,Jerome,2,547,547
Idaho,Kootenai,17,552,552
Idaho,Latah,6,559,559
Idaho,Lemhi,1,566,566
Idaho,Lewis,3,574,574
Idaho,Lincoln,2,578,578
Idaho,Madison,4,581,581
Idaho,Minidoka,3,585,585
Idaho,Nez Perce,8,589,589
Idaho,Oneida,1,593,593
Idaho,Owyhee,3,601,601
Idaho,Payette,4,606,606
Idaho,Power,1,613,613
Idaho,Shoshone,6,621,621
Idaho,Teton,1,627,627
Idaho,Twin Falls,11,634,634
Idaho,Valley,3,643,643
Idaho,Washington,2,649,649
Illinois,Adams,11,650,650
Illinois,Alexander,3,651,651
Illinois,Bond,2,652,652
Illinois,Boone,9,653,653
Illinois,Brown,1,654,654
Illinois,Bureau,5,2,2
Illinois,Calhoun,1,4,4
Illinois,Carroll,3,6,6
Illinois,Cass,3,10,10
Illinois,Champaign,33,12,12
Illinois,Christian,10,14,14
Illinois,Clark,4,19,19
Illinois,Clay,4,22,22
Illinois,Clinton,8,27,27
Illinois,Coles,11,30,30
Illinois,Cook,911,36,36
Illinois,Crawford,2,40,40
Illinois,Cumberland,3,44,44
Illinois,DeKalb,13,49,49
Illinois,De Witt,6,53,53
Illinois,Douglas,3,55,55
Illinois,DuPage,145,64,64
Illinois,Edgar,4,66,66
Illinois,Edwards,2,71,71
Illinois,Effingham,7,76,76
Illinois,Fayette,3,79,79
Illinois,Ford,2,81,81
Illinois,Franklin,11,85,85
Illinois,Fulton,7,89,89
Illinois,Gallatin,,92,92
Illinois,Greene,5,96,96
Illinois,Grundy,6,99,99
Illinois,Hamilton,2,106,106
Illinois,Hancock,4,111,111
Illinois,Hardin,1,113,113
Illinois,Henderson,2,117,117
Illinois,Henry,12,121,121
Illinois,Iroquois,6,125,125
Illinois,Jackson,12,129,129
Illinois,Jasper,2,133,133
Illinois,Jefferson,7,137,137
Illinois,Jersey,3,142,142
Illinois,Jo Daviess,4,145,145
Illinois,Johnson,2,152,152
Illinois,Kane,74,156,156
Illinois,Kankakee,19,161,161
Illinois,Kendall,16,165,165
Illinois,Knox,9,166,166
Illinois,Lake,123,170,170
Illinois,LaSalle,21,175,175
Illinois,Lawrence,2,177,177
Illinois,Lee,8,180,180
Illinois,Livingston,5,182,182
Illinois,Logan,6,186,186
Illinois,McDonough,7,189,189
Illinois,McHenry,41,192,192
Illinois,McLean,27,193,193
Illinois,Macon,27,194,194
Illinois,Macoupin,10,196,196
Illinois,Madison,63,199,199
Illinois,Marion,9,201,201
Illinois,Marshall,3,202,202
Illinois,Mason,3,206,206
Illinois,Massac,4,208,208
Illinois,Menard,3,212,212
Illinois,Mercer,3,216,216
Illinois,Monroe,6,219,219
Illinois,Montgomery,6,223,223
Illinois,Morgan,7,225,225
Illinois,Moultrie,4,227,227
Illinois,Ogle,7,229,229
Illinois,Peoria,53,233,233
Illinois,Perry,5,235,235
Illinois,Piatt,2,238,238
Illinois,Pike,5,241,241
Illinois,Pope,1,245,245
Illinois,Pulaski,3,248,248
Illinois,Putnam,1,253,253
Illinois,Randolph,5,255,255
Illinois,Richland,5,259,259
Illinois,Rock Island,32,265,265
Illinois,St. Clair,75,269,269
Illinois,Saline,8,271,271
Illinois,Sangamon,55,274,274
Illinois,Schuyler,1,278,278
Illinois,Scott,1,280,280
Illinois,Shelby,5,283,283
Illinois,Stark,1,285,285
Illinois,Stephenson,11,290,290
Illinois,Tazewell,25,291,291
Illinois,Union,6,293,293
Illinois,Vermilion,21,296,296
Illinois,Wabash,3,299,299
Illinois,Warren,5,301,301
Illinois,Washington,4,305,305
Illinois,Wayne,4,310,310
Illinois,White,5,312,312
Illinois,Whiteside,10,314,314
Illinois,Will,102,320,320
Illinois,Williamson,17,324,324
Illinois,Winnebago,64,325,325
Illinois,Woodford,7,328,328
Indiana,Adams,4,330,330
Indiana,Allen,29,335,335
Indiana,Bartholomew,7,342,342
Indiana,Benton,3,179,179
Indiana,Blackford,3,183,183
Indiana,Boone,5,185,185
Indiana,Brown,1,188,188
Indiana,Carroll,3,195,195
Indiana,Cass,7,211,211
Indiana,Clark,9,215,215
Indiana,Clay,3,221,221
Indiana,Clinton,4,226,226
Indiana,Crawford,4,232,232
Indiana,Daviess,5,239,239
Indiana,Dearborn,4,242,242
Indiana,Decatur,4,246,246
Indiana,DeKalb,6,249,249
Indiana,Delaware,11,252,252
Indiana,Dubois,9,254,254
Indiana,Elkhart,18,260,260
Indiana,Fayette,3,263,263
Indiana,Floyd,8,267,267
Indiana,Fountain,5,270,270
Indiana,Franklin,6,272,272
Indiana,Fulton,4,276,276
Indiana,Gibson,6,286,286
Indiana,Grant,9,297,297
Indiana,Greene,7,309,309
Indiana,Hamilton,24,321,321
Indiana,Hancock,5,329,329
Indiana,Harrison,3,334,334
Indiana,Hendricks,15,341,341
Indiana,Henry,7,344,344
Indiana,Howard,7,348,348
Indiana,Huntington,3,352,352
Indiana,Jackson,6,355,355
Indiana,Jasper,8,356,356
Indiana,Jay,3,358,358
Indiana,Jefferson,5,363,363
Indiana,Jennings,3,367,367
Indiana,Johnson,9,370,370
Indiana,Knox,4,376,376
Indiana,Kosciusko,8,384,384
Indiana,LaGrange,3,386,386
Indiana,Lake,48,389,389
Indiana,LaPorte,10,392,392
Indiana,Lawrence,6,396,396
Indiana,Madison,14,401,401
Indiana,Marion,85,409,409
Indiana,Marshall,5,412,412
Indiana,Martin,4,418,418
Indiana,Miami,3,420,420
Indiana,Monroe,9,422,422
Indiana,Montgomery,4,425,425
Indiana,Morgan,7,430,430
Indiana,Newton,1,433,433
Indiana,Noble,6,436,436
Indiana,Ohio,1,440,440
Indiana,Orange,3,444,444
Indiana,Owen,4,448,448
Indiana,Parke,2,452,452
Indiana,Perry,3,459,459
Indiana,Pike,1,465,465
Indiana,Porter,13,468,468
Indiana,Posey,4,471,471
Indiana,Pulaski,2,477,477
Indiana,Putnam,3,480,480
Indiana,Randolph,2,485,485
Indiana,Ripley,5,488,488
Indiana,Rush,2,493,493
Indiana,St. Joseph,22,496,496
Indiana,Scott,4,504,504
Indiana,Shelby,3,506,506
Indiana,Spencer,3,509,509
Indiana,Starke,4,512,512
Indiana,Steuben,6,515,515
Indiana,Sullivan,3,518,518
Indiana,Switzerland,2,526,526
Indiana,Tippecanoe,11,530,530
Indiana,Tipton,1,534,534
Indiana,Union,2,538,538
Indiana,Vanderburgh,27,543,543
Indiana,Vermillion,3,548,548
Indiana,Vigo,8,553,553
Indiana,Wabash,5,555,555
Indiana,Warren,2,567,567
Indiana,Warrick,7,575,575
Indiana,Washington,4,584,584
Indiana,Wayne,7,586,586
Indiana,Wells,3,590,590
Indiana,White,2,594,594
Indiana,Whitley,3,597,597
Iowa,Adair,3,598,598
Iowa,Adams,1,602,602
Iowa,Allamakee,4,608,608
Iowa,Appanoose,3,611,611
Iowa,Audubon,1,615,615
Iowa,Benton,3,619,619
Iowa,Black Hawk,24,623,623
Iowa,Boone,6,625,625
Iowa,Bremer,7,631,631
Iowa,Buchanan,5,632,632
Iowa,Buena Vista,5,633,633
Iowa,Butler,5,361,361
Iowa,Calhoun,3,365,365
Iowa,Carroll,9,369,369
Iowa,Cass,6,374,374
Iowa,Cedar,4,379,379
Iowa,Cerro Gordo,10,383,383
Iowa,Cherokee,4,388,388
Iowa,Chickasaw,2,393,393
Iowa,Clarke,3,397,397
Iowa,Clay,4,398,398
Iowa,Clayton,6,402,402
Iowa,Clinton,9,404,404
Iowa,Crawford,3,408,408
Iowa,Dallas,11,413,413
Iowa,Davis,1,416,416
Iowa,Decatur,2,419,419
Iowa,Delaware,3,421,421
Iowa,Des Moines,7,424,424
Iowa,Dickinson,5,427,427
Iowa,Dubuque,19,434,434
Iowa,Emmet,2,437,437
Iowa,Fayette,6,442,442
Iowa,Floyd,3,447,447
Iowa,Franklin,2,451,451
Iowa,Fremont,3,455,455
Iowa,Greene,2,458,458
Iowa,Grundy,3,460,460
Iowa,Guthrie,2,467,467
Iowa,Hamilton,4,469,469
Iowa,Hancock,3,470,470
Iowa,Hardin,7,475,475
Iowa,Harrison,4,478,478
Iowa,Henry,3,479,479
Iowa,Howard,1,481,481
Iowa,Humboldt,2,487,487
Iowa,Ida,2,491,491
Iowa,Iowa,3,495,495
Iowa,Jackson,5,499,499
Iowa,Jasper,9,505,505
Iowa,Jefferson,2,507,507
Iowa,Johnson,20,508,508
Iowa,Jones,5,516,516
Iowa,Keokuk,2,520,520
Iowa,Kossuth,5,523,523
Iowa,Lee,9,531,531
Iowa,Linn,38,535,535
Iowa,Louisa,2,539,539
Iowa,Lucas,1,542,542
Iowa,Lyon,5,546,546
Iowa,Madison,3,550,550
Iowa,Mahaska,5,554,554
Iowa,Marion,9,561,561
Iowa,Marshall,6,568,568
Iowa,Mills,4,569,569
Iowa,Mitchell,4,572,572
Iowa,Monona,3,576,576
Iowa,Monroe,2,580,580
Iowa,Montgomery,4,595,595
Iowa,Muscatine,9,600,600
Iowa,O'Brien,8,604,604
Iowa,Osceola,1,607,607
Iowa,Page,4,612,612
Iowa,Palo Alto,4,618,618
Iowa,Plymouth,6,622,622
Iowa,Pocahontas,3,624,624
Iowa,Polk,77,629,629
Iowa,Pottawattamie,18,637,637
Iowa,Poweshiek,6,640,640
Iowa,Ringgold,2,642,642
Iowa,Sac,4,647,647
Iowa,Scott,28,657,657
Iowa,Shelby,3,660,660
Iowa,Sioux,8,663,663
Iowa,Story,13,668,668
Iowa,Tama,4,671,671
Iowa,Taylor,2,674,674
