County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over
Marshall County,Alabama,48.66,51.34,8.09,18.05,8.43,12.47,15.28,13.03,10.39,8.05,6.2,93.38,1.47,0.53,0.24,0.04,3.24,1.09,5.66,91.3,38.01,33.07,16.12,6.4,6.4
Mobile County,Alabama,47.78,52.22,8.85,20.15,9.81,11.99,15.35,13.12,8.75,6.51,5.47,63.07,33.38,0.67,1.41,0.03,0.4,1.04,1.22,62.47,37.95,30.21,17.49,7.62,6.73
Monroe County,Alabama,47.59,52.41,8.93,20.88,8.19,11.35,14.32,13.11,9.39,7.24,6.59,57.75,40.07,0.97,0.29,0.01,0.13,0.79,0.78,57.4,43.76,30.96,14.5,6.38,4.4
Montgomery County,Alabama,47.59,52.41,8.34,19.11,11.62,12.98,15.29,12.89,8.01,6.22,5.55,48.85,48.58,0.25,0.99,0.03,0.35,0.94,1.19,48.26,34.42,30.63,17.14,8.12,9.68
Morgan County,Alabama,49.03,50.97,8.02,18.59,8.35,12.45,16.44,14.12,9.68,6.97,5.37,85.07,11.24,0.67,0.45,0.07,1.25,1.25,3.28,83.36,32.65,30.47,19.75,8.57,8.56
Perry County,Alabama,45.61,54.39,9.37,22.47,10.08,9.84,12.74,11.15,9.51,7.76,7.09,30.86,68.38,0.08,0.03,0.03,0.08,0.54,0.86,30.71,56.3,27.26,9.96,3.41,3.07
Pickens County,Alabama,46.82,53.18,8.11,20.74,7.95,10.6,14.12,12.83,9.95,8.64,7.08,55.95,42.96,0.12,0.11,0.02,0.22,0.63,0.7,55.74,47.98,28.37,15.25,4.66,3.73
Pike County,Alabama,47.24,52.76,7.8,18.68,15.17,11.26,13.27,11.99,9.25,6.44,6.15,60.77,36.6,0.66,0.35,0.02,0.26,1.35,1.23,60.09,49.14,28.28,13.58,4.27,4.73
Randolph County,Alabama,48.3,51.7,8.1,18.53,8.36,11.28,14.33,13.22,10.27,8.49,7.43,76.38,22.24,0.2,0.22,0,0.34,0.62,1.22,75.69,43.72,33.18,15.11,4.5,3.49
Russell County,Alabama,47.64,52.36,8.51,19.32,9.23,12.28,15.13,12.94,9.46,7.5,5.64,56.69,40.84,0.37,0.36,0.07,0.59,1.07,1.5,56.12,45.37,31.02,15.52,5.61,2.49
