County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over
Barry County,Missouri,49.58,50.42,8.07,19.44,7.33,10.39,14.77,12.74,11.15,8.82,7.29,94.09,0.11,0.86,0.27,0.03,3.25,1.38,5.04,92.58,42.53,36.35,13.66,3.79,3.66
Barton County,Missouri,48.98,51.02,9.15,19.85,7.8,10.04,14.99,12.91,8.8,8.13,8.34,96.93,0.29,0.83,0.28,0.1,0.14,1.44,0.95,96.31,42.26,36.37,14.41,4.26,2.71
Bates County,Missouri,48.77,51.23,7.57,20.53,6.97,10.01,14.95,12.64,9.93,8.64,8.77,97.33,0.61,0.59,0.15,0.01,0.39,0.92,1.07,96.76,39.53,35.55,16.09,4.86,3.97
Benton County,Missouri,49.55,50.45,5.66,15.9,5.27,7.66,13.49,14.13,15.61,13.53,8.75,97.96,0.15,0.53,0.13,0.01,0.12,1.1,0.89,97.26,47.13,31.88,14.2,3.69,3.1
Bollinger County,Missouri,49.46,50.54,7.38,20.06,7.42,10.94,14.91,13.82,10.67,8.26,6.53,97.79,0.21,0.72,0.22,0,0.13,0.93,0.57,97.38,41.36,36.85,14.64,4.79,2.35
Boone County,Missouri,48.31,51.69,7.5,17.48,19.51,13.44,14.71,12.14,6.63,4.41,4.18,85.43,8.54,0.42,2.96,0.03,0.69,1.93,1.78,84.43,33.1,29.79,18.67,9.2,9.24
Buchanan County,Missouri,49.16,50.84,7.54,18.34,10.72,11.8,15.46,12.59,8.57,7.26,7.71,92.73,4.36,0.42,0.45,0.02,0.65,1.37,2.43,91.17,35.61,32.74,18.95,7.33,5.37
Butler County,Missouri,47.91,52.09,7.66,17.87,8.28,10.92,14.51,13.62,10.45,8.87,7.81,92.16,5.22,0.56,0.44,0.01,0.26,1.36,1.01,91.6,46.05,30.97,13.84,4.42,4.71
Caldwell County,Missouri,49.39,50.61,7.66,20.82,6.49,9.71,14.56,13.3,10.42,8.37,8.66,98.56,0.13,0.33,0.12,0,0.18,0.67,0.75,97.96,39.01,35.07,16.27,5.65,4
Callaway County,Missouri,51.84,48.16,7.57,19.51,10.75,12.67,17.05,13.25,8.22,6,4.98,91.79,5.66,0.52,0.52,0.01,0.3,1.21,0.92,91.23,28.69,36.2,20.86,8.63,5.61
Camden County,Missouri,50,50,5.62,15.74,5.82,8.47,14.04,15.15,16.2,12.18,6.78,97.68,0.26,0.49,0.29,0.04,0.22,1.03,0.93,97.04,31.77,36.43,17.64,7.53,6.63
Cape Girardeau County,Missouri,48.23,51.77,7.19,18.08,12.82,11.69,14.81,13.17,8.47,6.76,7.01,92.13,5.28,0.36,0.75,0.03,0.31,1.15,0.91,91.6,33.13,33.52,18.5,7.85,6.99
Carroll County,Missouri,48.52,51.48,7.6,19.06,7.07,9.51,13.84,12.98,9.88,9.03,11.04,96.95,1.72,0.27,0.13,0.01,0.14,0.79,0.71,96.44,39.84,38.67,12.64,4.32,4.53
Carter County,Missouri,49.1,50.9,7.34,19.26,7.71,10,14.8,13.63,11.38,9.39,6.5,96.6,0.08,1.35,0.1,0,0.03,1.83,1.21,95.69,53.09,30.25,10.05,2.57,4.04
Cass County,Missouri,48.96,51.04,8.95,20.76,7.13,11.8,17.29,13.13,9.21,6.38,5.36,95.62,1.42,0.58,0.48,0.04,0.5,1.35,2.21,94.14,20.31,30.2,26.41,13.3,9.79
Cedar County,Missouri,48.95,51.05,6.79,19.22,5.86,8.69,13.27,12.87,12.51,11,9.79,96.58,0.32,0.66,0.46,0.04,0.5,1.43,1.11,95.97,45.96,35.42,13.03,2.88,2.72
Chariton County,Missouri,47.9,52.1,6.13,19.01,5.75,8.4,14.62,13.23,10.54,10.63,11.7,95.99,3.19,0.17,0.13,0,0.11,0.41,0.56,95.6,39.75,38.04,14.88,4.62,2.72
Christian County,Missouri,48.64,51.36,9.19,19.9,8.26,13.49,16.82,13.15,8.6,5.94,4.66,97.31,0.27,0.56,0.29,0.03,0.42,1.13,1.32,96.54,28.73,35.02,20.78,9.04,6.43
Clark County,Missouri,49.39,50.61,7.39,19.01,7.24,10.15,14.46,14.24,10.79,8.24,8.48,98.83,0.07,0.2,0.07,0.01,0.22,0.61,0.7,98.35,40.34,36.1,14.96,5.26,3.34
Clay County,Missouri,48.6,51.4,8.56,18.61,8.84,13.93,16.98,13.75,8.55,5.92,4.87,92.46,2.66,0.48,1.35,0.09,1.18,1.78,3.58,90.46,19.34,32.47,24.44,13,10.75
Clinton County,Missouri,48.97,51.03,7.89,20.3,6.93,10.66,16.57,13.51,10.03,6.8,7.32,96.58,1.52,0.34,0.17,0.01,0.27,1.12,1.08,95.85,26.81,33.18,22.34,9.41,8.26
Cole County,Missouri,51.37,48.63,7.74,17.84,10,13.57,17.14,14.39,8,5.84,5.48,87.06,9.92,0.33,0.88,0.04,0.54,1.23,1.28,86.4,26.67,30.62,23.08,11.55,8.07
Cooper County,Missouri,54,46,7.07,17.51,13.8,11.37,14.45,12.11,8.48,7.02,8.19,89.05,8.96,0.36,0.23,0.02,0.28,1.11,0.86,88.55,33.37,38.13,19.59,5.49,3.43
Crawford County,Missouri,49.31,50.69,7.94,19.67,7.58,10.35,15.58,12.65,10.44,8.63,7.17,98.26,0.14,0.43,0.13,0.06,0.14,0.82,0.77,97.71,40.81,34.49,16.64,4.49,3.57
Dade County,Missouri,48.96,51.04,6.9,18.94,6.26,8.6,14.59,12.99,11.4,10.2,10.12,97.45,0.27,0.71,0.14,0.05,0.19,1.2,0.85,96.81,42.09,38.7,13.44,3.41,2.36
Dallas County,Missouri,49.57,50.43,8.13,20.7,7,9.88,15.58,12.82,10.7,8.33,6.84,97.45,0.12,0.76,0.07,0.03,0.2,1.37,0.94,96.83,44.6,34.93,13.72,3.38,3.36
Daviess County,Missouri,48.15,51.85,8.3,19.99,7.36,9.64,13.42,12.9,10.79,9.52,8.08,98.68,0.05,0.39,0.07,0.19,0.21,0.41,0.69,98.27,39.29,37.34,14.6,4.3,4.46
DeKalb County,Missouri,60.37,39.63,6.16,15.72,8.17,14.31,20.83,12.33,8.6,7.03,6.86,89.09,8.86,0.66,0.17,0.01,0.27,0.93,1.08,88.38,39.74,35.43,16.63,5.01,3.18
Dent County,Missouri,48.54,51.46,7.73,18.46,7.38,9.79,14.81,12.93,11.16,9.18,8.56,97.07,0.4,0.73,0.21,0.01,0.17,1.41,0.75,96.6,46.14,33.12,13.26,4.64,2.84
Douglas County,Missouri,49.13,50.87,7.22,20.01,6.63,9.09,14.41,13.54,12.02,9.52,7.55,96.86,0.11,0.95,0.21,0.02,0.17,1.69,0.84,96.35,47.91,36.69,9.4,3.03,2.97
Dunklin County,Missouri,47.26,52.74,8.47,18.73,8.01,11.03,13.84,12.6,10.85,8.1,8.38,88.64,8.68,0.31,0.27,0.01,1.03,1.06,2.49,87.36,50.18,29.4,13.05,4.43,2.94
Franklin County,Missouri,49.62,50.38,8.33,20.52,7.83,12.04,16.8,13.22,9.18,6.61,5.47,97.47,0.94,0.24,0.27,0.02,0.2,0.86,0.72,97,25.69,32.37,23.94,10.6,7.41
Gasconade County,Missouri,48.62,51.38,6.95,19.17,6.39,9.33,15.64,13.1,10.58,9.13,9.7,98.69,0.12,0.18,0.16,0.01,0.14,0.7,0.42,98.43,33.78,38.36,17.68,5.77,4.41
Gentry County,Missouri,48.75,51.25,7.64,20,6.02,9.08,13.99,11.24,10.39,9.74,11.91,98.57,0.12,0.31,0.17,0.16,0.1,0.57,0.64,97.99,42.77,34.5,14.75,4.34,3.64
Greene County,Missouri,48.55,51.45,7.35,16.55,13.67,12.27,14.8,13.17,8.59,6.83,6.76,93.54,2.26,0.66,1.13,0.06,0.67,1.68,1.84,92.54,35.38,34.06,16.61,6.84,7.11
Grundy County,Missouri,47.47,52.53,7.47,17.48,7.65,9.12,13.47,12.93,11.29,9.71,10.89,97.61,0.4,0.35,0.15,0.01,0.5,0.98,1.58,96.7,45.39,34.54,13.13,2.78,4.16
Harrison County,Missouri,48.51,51.49,7.48,17.56,7.02,9.24,13.55,11.54,11.64,10.4,11.58,98.31,0.14,0.25,0.15,0.06,0.09,1.02,1.01,97.79,43.28,35.87,15.5,2.74,2.61
Henry County,Missouri,48.84,51.16,7.06,18.09,7.49,10.08,14.57,13.23,11.18,9.04,9.25,96.61,1.02,0.7,0.25,0.02,0.34,1.05,0.91,96.18,39.84,34.29,16.21,5.47,4.19
Hickory County,Missouri,48.97,51.03,5.15,15.97,4.75,6.89,11.53,13.71,15.94,15.37,10.68,97.51,0.08,0.66,0.11,0,0.2,1.44,0.76,97.04,48.97,36.15,9.45,3.12,2.31
Holt County,Missouri,49.43,50.57,5.85,19.44,5.76,9.27,14.32,13.81,10.05,9.53,11.98,98.47,0.11,0.47,0.07,0.02,0.11,0.75,0.39,98.21,41.77,35.6,14.09,5.28,3.26
Howard County,Missouri,48.44,51.56,6.79,19.43,12.22,9.53,14.55,12.46,8.89,7.31,8.83,91.13,6.84,0.33,0.12,0.08,0.4,1.1,0.86,90.75,39.58,34.94,15.24,7.24,3
Howell County,Missouri,48.34,51.66,8.04,19.45,7.4,10.71,14.37,12.73,10.52,8.85,7.93,96.41,0.31,0.97,0.36,0.04,0.28,1.63,1.21,95.66,48.9,32.61,11.73,3.69,3.07
Iron County,Missouri,48.67,51.33,7.1,19.15,7.51,9.89,14.42,13.5,11.35,8.93,8.15,96.74,1.56,0.34,0.09,0,0.22,1.05,0.58,96.42,48.04,31.72,13.14,4.42,2.68
Jackson County,Missouri,48.17,51.83,8.37,18.75,9.2,13.4,16.24,13.16,8.35,6.51,6.01,70.1,23.27,0.48,1.28,0.18,2.43,2.25,5.37,67.71,30.04,31.93,19.57,9.63,8.83
Jasper County,Missouri,48.49,51.51,8.66,18.62,10.83,12.04,14.73,12.66,8.67,7.04,6.75,92.58,1.48,1.33,0.69,0.06,1.62,2.24,3.45,91.07,38.8,35.28,16.12,5.34,4.46
Jefferson County,Missouri,49.72,50.28,8.67,20.71,8.17,12.65,18.08,13.79,8.73,5.35,3.83,97.48,0.68,0.29,0.36,0.01,0.24,0.93,1.01,96.8,21.98,31.89,25.51,12.49,8.14
Johnson County,Missouri,50.48,49.52,7.99,19.3,19.48,11.53,14.59,10.57,7.25,5.1,4.2,90.12,4.33,0.65,1.43,0.13,1.29,2.05,2.92,88.7,34.01,33.93,18.9,7.77,5.38
Knox County,Missouri,48.15,51.85,7.41,18.8,5.92,8.09,14.63,12.75,11.17,10.87,10.36,98.51,0.09,0.02,0.09,0,0.16,1.12,0.6,98.07,45.6,37.29,11.26,4.63,1.23
Laclede County,Missouri,49.07,50.93,8.25,19.82,8.12,11.18,15.55,12.96,9.99,7.62,6.51,97.04,0.42,0.49,0.29,0.05,0.34,1.37,1.23,96.26,41.67,35.2,13.26,5.39,4.48
Lafayette County,Missouri,48.94,51.06,7.46,20.12,7.19,10.83,15.66,13.23,10.09,7.59,7.82,95.52,2.27,0.29,0.25,0.03,0.51,1.12,1.17,94.93,29.8,34.46,21.29,8.16,6.29
Lawrence County,Missouri,49.23,50.77,8.62,19.94,7.64,10.99,14.79,12.48,9.94,7.72,7.89,95.68,0.27,0.76,0.22,0.02,1.67,1.37,3.39,94.34,39.69,36.5,14.87,5.42,3.52
Lewis County,Missouri,48.98,51.02,8.48,18.39,11.84,9.92,13.88,11.67,9.74,7.65,8.42,95.92,2.53,0.16,0.2,0.02,0.44,0.73,0.73,95.6,42.02,35.16,15.16,3.76,3.91
Lincoln County,Missouri,49.61,50.39,8.85,22.62,7.7,11.53,17.58,12.42,8.54,5.8,4.97,96.13,1.74,0.37,0.17,0.03,0.43,1.14,1.14,95.48,26.34,33.04,24.17,10.34,6.12
Linn County,Missouri,47.24,52.76,7.47,19.39,6.48,9.58,13.86,12.49,10.16,9.21,11.36,97.98,0.6,0.38,0.14,0,0.15,0.76,0.76,97.47,44.19,34.3,14.46,3.9,3.15
Livingston County,Missouri,45.89,54.11,7.49,18.33,7.04,10.3,14.86,13.36,9.65,8.49,10.48,95.91,2.33,0.34,0.27,0.01,0.24,0.91,0.65,95.56,39.79,33.28,16.6,4.66,5.68
McDonald County,Missouri,50.64,49.36,9.24,21.13,8.32,12.31,15.14,12.6,10.01,6.44,4.82,89.66,0.18,2.88,0.14,0.14,3.7,3.3,9.36,84.63,45.99,35.19,12.71,3.16,2.95
Macon County,Missouri,48.82,51.18,7.64,17.99,7.27,10.13,14.03,13.45,10.46,8.62,10.4,96.18,2.21,0.39,0.16,0.01,0.22,0.83,0.77,95.62,40.45,36.36,14.91,4.62,3.66
Madison County,Missouri,47.93,52.07,7.08,18.73,7.66,10.31,14.99,13.01,10.25,9.05,8.92,98.3,0.13,0.25,0.29,0,0.2,0.83,0.56,97.9,48.95,33.9,11.99,2.82,2.33
Maries County,Missouri,50.31,49.69,7.97,19.31,7.05,10.34,15.17,13.01,11.5,8.9,6.74,97.43,0.33,0.55,0.11,0,0.35,1.24,1.16,96.7,39,32.75,19.17,6.25,2.83
Marion County,Missouri,47.21,52.79,8.05,19.47,8.8,10.66,14.63,13.42,8.32,7.7,8.95,93.26,4.62,0.27,0.28,0.08,0.18,1.32,0.89,92.74,37.66,33.03,18.66,6.06,4.6
Mercer County,Missouri,48.9,51.1,6.6,18.05,6.28,8.06,14.96,12.75,11.29,10.86,11.15,98.72,0.19,0.56,0,0.05,0.03,0.45,0.29,98.59,41.6,35.1,15.99,3.94,3.37
Miller County,Missouri,49.3,50.7,8.17,19.75,7.82,11.15,15.2,12.77,9.89,8.05,7.21,97.99,0.28,0.46,0.13,0.02,0.29,0.84,0.98,97.33,39.21,36.34,15.62,5.17,3.66
Mississippi County,Missouri,46.7,53.3,8.59,19.07,8.65,10.6,13.58,12.87,10.75,7.97,7.92,77.93,20.53,0.25,0.11,0.01,0.29,0.89,0.96,77.54,53.43,28.91,9.8,4.24,3.63
Moniteau County,Missouri,53.13,46.87,8.13,19.11,8.19,13.01,16.79,12.68,8.18,6.54,7.37,92.75,3.78,0.4,0.31,0.01,1.48,1.27,2.93,91.43,34,34.99,20.21,6.53,4.26
Monroe County,Missouri,49.07,50.93,7.94,19.57,6.57,9.61,14.55,12.98,11.19,8.46,9.12,94.66,3.83,0.41,0.12,0.03,0.16,0.78,0.56,94.18,38.46,39.04,17.2,2.53,2.77
Montgomery County,Missouri,49.52,50.48,7.07,19.81,7.01,9.59,15.4,13.33,10.56,8.02,9.21,95.97,2.04,0.24,0.26,0.01,0.21,1.28,0.77,95.55,39.42,33,19.03,5.73,2.82
Morgan County,Missouri,49.3,50.7,7.21,17.71,5.83,9.19,13.19,13.44,13.81,11.79,7.83,97.34,0.51,0.63,0.12,0.02,0.16,1.22,0.83,96.81,40.21,34.97,15.22,4.63,4.98
New Madrid County,Missouri,48.02,51.98,8,19.86,8.09,10.87,14.49,13.05,10.18,8.06,7.41,83.21,15.36,0.19,0.14,0.01,0.32,0.78,0.93,82.72,46.7,31.44,13.37,5.27,3.22
Newton County,Missouri,48.86,51.14,8.47,19.3,8.34,10.93,15.08,13.51,10.33,7.56,6.48,93.26,0.59,2.23,0.32,0.28,1.12,2.2,2.18,92.41,33.73,36.04,18.23,6.17,5.83
Nodaway County,Missouri,49.91,50.09,5.78,16.53,23.34,9.34,12.65,10.86,7.69,6.45,7.36,96.58,1.35,0.23,0.87,0.02,0.21,0.74,0.71,96.14,39.7,33.22,17.72,5,4.36
Oregon County,Missouri,49.08,50.92,7.08,18.46,6.64,9.72,13.61,13.96,12.52,9.63,8.38,94.61,0.1,2.88,0.14,0.01,0.08,2.19,1.09,93.74,55.77,29.89,8.67,2.81,2.86
Osage County,Missouri,50.74,49.26,8.09,19.74,9.03,11.52,15.17,12.3,9.45,7.39,7.32,98.64,0.16,0.24,0.08,0.02,0.07,0.8,0.59,98.21,29.26,36.22,22.4,8.07,4.06
Ozark County,Missouri,49.52,50.48,6.49,17,6.28,8.45,13.61,14.13,14.56,11.47,8.03,97.57,0.15,0.65,0.08,0,0.19,1.36,0.94,96.93,48.31,34.96,11.31,2.48,2.93
Pemiscot County,Missouri,46.94,53.06,9.88,21.57,8.85,10.42,13.32,12.15,8.94,7.64,7.22,71.76,26.23,0.25,0.27,0.01,0.62,0.85,1.57,71.05,54.5,27.93,9.63,4.44,3.5
Perry County,Missouri,49.8,50.2,8.21,19.12,8.39,11.37,15.37,12.94,8.91,7.48,8.21,98.21,0.18,0.23,0.65,0.03,0.12,0.58,0.51,97.83,32.76,35.72,21.79,5.99,3.74
Pettis County,Missouri,48.55,51.45,8.37,19.43,8.99,11.17,15.57,12.16,8.9,7.81,7.59,92.06,3.04,0.38,0.39,0.05,2.46,1.62,3.88,90.88,36.74,37.01,16.78,5.29,4.18
Phelps County,Missouri,50.78,49.22,6.95,18.71,13.99,10.5,14.21,12.44,9.31,7.09,6.78,93.24,1.5,0.59,2.35,0.06,0.47,1.79,1.22,92.62,42.15,31.24,16.14,5.45,5.02
Pike County,Missouri,54.37,45.63,6.48,18.39,8.87,12.05,16.45,13.03,9.77,7.44,7.52,88.44,9.17,0.24,0.15,0.04,0.92,1.04,1.61,87.79,39.71,31.93,18.45,5.98,3.93
Platte County,Missouri,49.51,50.49,8.19,18.85,8.33,13.07,18.2,15.39,9.15,4.65,4.16,91.45,3.49,0.46,1.48,0.2,1.05,1.87,3,89.77,16.2,27.24,25.73,14.48,16.35
Polk County,Missouri,48.68,51.32,8.17,19.36,11.91,10.56,13.89,11.62,9.21,7.95,7.33,97.26,0.45,0.67,0.19,0.03,0.33,1.06,1.3,96.41,42.62,35.47,14.29,4.15,3.46
Pulaski County,Missouri,52.84,47.16,9.18,20.98,15.67,15.17,15.21,9.71,6.17,4.68,3.23,78.35,11.99,1,2.27,0.32,2.5,3.57,5.84,75.79,32.16,40.65,18.59,5.07,3.53
Putnam County,Missouri,49.01,50.99,7.31,17.81,6.11,9.44,13.57,12.81,12.27,10.26,10.42,99.14,0.06,0.1,0.13,0,0.1,0.48,0.61,98.7,47.28,35.89,11.83,2.77,2.23
Ralls County,Missouri,50.23,49.77,6.93,19.67,6.86,9.85,15.98,15.17,11.31,7.46,6.78,97.93,1.11,0.2,0.08,0.01,0.04,0.62,0.44,97.58,29.37,38.77,20.3,8.16,3.41
Randolph County,Missouri,51.81,48.19,7.7,17.79,9.22,12.16,15.87,13.75,8.68,7.38,7.46,90.58,7.03,0.48,0.39,0.02,0.24,1.26,1.14,89.87,39.01,35.65,15.85,5.8,3.68
Ray County,Missouri,50.04,49.96,8.03,20.91,7.01,10.89,16.44,13.68,10.21,6.97,5.85,96.5,1.46,0.36,0.19,0,0.36,1.13,1.08,95.85,26.75,32.84,22.56,11.38,6.48
Reynolds County,Missouri,50.4,49.6,7.09,18.33,6.61,10.21,13.62,14.17,13.74,9.61,6.62,95.65,0.52,1.29,0.19,0,0.21,2.14,0.82,95.17,48.59,33.49,12.58,3.55,1.79
Ripley County,Missouri,48.53,51.47,7.25,18.93,7.56,9.99,14.25,12.96,11.77,9.64,7.65,97.17,0.04,1.33,0.22,0.01,0.05,1.17,0.98,96.37,53.62,30.91,10.04,2.87,2.56
St. Charles County,Missouri,49.27,50.73,9.18,21.2,7.92,12.82,18.58,13.56,7.99,5.09,3.66,94.67,2.69,0.23,0.85,0.03,0.46,1.07,1.47,93.76,14.11,27.44,26.71,16.6,15.14
St. Clair County,Missouri,49.65,50.35,6.51,17.46,5.34,8.58,13.61,13.35,13.85,11.2,10.1,97.36,0.23,0.75,0.15,0.02,0.29,1.21,0.98,96.75,49.52,32.32,12.08,3.92,2.16
Ste. Genevieve County,Missouri,50.3,49.7,7.36,20.78,7.16,10.06,16.76,13.55,9.79,7.91,6.61,98.03,0.72,0.3,0.16,0,0.13,0.66,0.74,97.55,29.85,33.69,22.87,8.74,4.85
St. Francois County,Missouri,50.82,49.18,7.26,18.19,9.03,12.02,16.09,12.88,9.58,7.91,7.04,96.14,2.02,0.35,0.31,0.02,0.23,0.92,0.8,95.66,39.63,34.66,16.13,5.53,4.05
St. Louis County,Missouri,47.36,52.64,7.64,18.91,8.09,11.46,16.34,14.36,9.11,7.25,6.85,76.83,19.02,0.17,2.22,0.02,0.47,1.26,1.43,75.96,20.92,28.45,21.05,12.04,17.53
Saline County,Missouri,49.01,50.99,7.31,18.97,11,9.78,14.37,13.01,9.28,7.45,8.82,90.03,5.39,0.31,0.35,0.21,2.09,1.62,4.42,88.07,36.44,36.55,16.13,6.02,4.85
Schuyler County,Missouri,48.2,51.8,7.58,18.35,6.31,9.59,14.32,12.33,11.73,9.23,10.58,98.44,0.05,0.31,0.17,0.02,0.17,0.84,0.65,97.99,45.8,33.51,14.61,3.54,2.55
Scotland County,Missouri,48.55,51.45,8.45,21.49,7.3,9.07,13.91,10.88,9.87,8.09,10.94,98.82,0.2,0.14,0.08,0.02,0.16,0.58,0.84,98.13,45.12,34.88,10.82,4.8,4.38
Scott County,Missouri,47.8,52.2,8.49,20.37,8.19,11.55,14.84,13.45,9.41,6.97,6.74,87.68,10.5,0.28,0.23,0.01,0.4,0.9,1.11,87.13,40.11,31.81,17.24,6.93,3.9
Shannon County,Missouri,48.8,51.2,7.34,20.62,6.66,10.12,15,13.37,11.88,8.51,6.51,95.05,0.17,1.83,0.05,0.02,0.19,2.69,0.93,94.47,58.46,28.69,8.86,2.07,1.92
Shelby County,Missouri,47.8,52.2,7.06,19.97,6.62,8.69,14.65,13.19,10.1,8.66,11.05,97.87,0.97,0.28,0.1,0,0.19,0.59,0.63,97.48,43.1,35,13.47,5.16,3.27
Stoddard County,Missouri,48.07,51.93,6.89,18.46,8.07,10.56,14.7,13.22,10.87,8.55,8.68,97.34,0.91,0.4,0.09,0.01,0.24,1.01,0.78,96.86,46.32,32.61,12.75,4.91,3.41
Stone County,Missouri,49.03,50.97,6.51,16.08,5.85,9.21,13.75,14.3,15.36,12.12,6.82,97.64,0.07,0.61,0.18,0.03,0.25,1.2,1.04,97,35.57,37.89,15.57,5.78,5.19
Sullivan County,Missouri,50.02,49.98,8.56,17.52,7.73,11.18,13.85,12.62,10.06,8.33,10.15,94.96,0.14,0.25,0.14,0.07,3.55,0.9,8.78,90.15,48.27,32.69,13.45,3.08,2.5
Taney County,Missouri,48.44,51.56,7.33,16.58,9.96,10.95,14.04,13.41,11.55,9.29,6.89,96.22,0.35,0.87,0.34,0.05,0.74,1.42,2.42,94.83,39.09,36.11,14.99,5.35,4.46
Texas County,Missouri,48.33,51.67,7.01,19.42,6.51,8.99,14.96,13.77,11.48,9.72,8.13,96.47,0.21,0.96,0.34,0.02,0.19,1.81,0.96,95.79,50.75,31.21,11.42,3.34,3.28
Vernon County,Missouri,48.32,51.68,7.96,20.55,8.34,10.29,14.05,13.21,9.27,8.37,7.97,96.99,0.61,0.79,0.31,0.03,0.31,0.95,0.84,96.52,42.21,33.42,15.05,5.5,3.82
Warren County,Missouri,49.66,50.34,7.87,20.4,7.33,10.32,17.4,13.11,10.58,7.54,5.45,95.89,1.94,0.45,0.24,0.02,0.44,1.02,1.28,95.13,26.58,34.13,19.96,11.66,7.68
Washington County,Missouri,51.56,48.44,7.9,20.13,9.6,12.08,15.85,12.95,9.78,7.04,4.67,95.47,2.48,0.66,0.15,0.01,0.15,1.08,0.73,94.92,46.94,31.78,14.74,3.93,2.6
Wayne County,Missouri,49.58,50.42,6.41,18.06,6.19,8.94,13.81,13.08,13.71,11.67,8.14,97.68,0.17,0.58,0.11,0.03,0.08,1.36,0.49,97.28,51.91,31.52,10.47,3.61,2.49
Webster County,Missouri,50.35,49.65,9.14,21.11,7.98,12.42,16.21,12.55,9.14,6.18,5.27,96.2,1.16,0.65,0.26,0.03,0.31,1.39,1.29,95.37,36.9,36.76,16.87,5.23,4.23
Worth County,Missouri,48.99,51.01,6.38,19.61,5.88,7.64,15.11,11.88,11.25,10.45,11.8,98.99,0.17,0.34,0.08,0,0,0.42,0.29,98.7,45.78,35.25,13.51,2.88,2.58
Wright County,Missouri,48.54,51.46,8.33,20.42,7.62,9.94,14.35,12.3,10.52,8.8,7.73,97.61,0.28,0.66,0.14,0.01,0.27,1.04,0.77,97.13,50.59,32.35,10.33,3.3,3.43
St. Louis city,Missouri,46.98,53.02,8.15,19.04,10.78,13.98,15.26,11.85,7.2,6.62,7.12,43.85,51.2,0.27,1.98,0.03,0.8,1.88,2.02,42.89,46.54,29.98,13.37,5.52,4.59
Beaverhead County,Montana,51.22,48.78,7.02,19.64,10.83,9.01,15,14.93,9.99,7.18,6.4,95.86,0.18,1.46,0.18,0.04,1.09,1.18,2.67,94.4,43.38,30.33,17.18,5.11,4
Big Horn County,Montana,49.32,50.68,11.03,26.45,8.14,10.9,14.4,12.56,7.92,4.63,3.96,36.6,0.04,59.66,0.22,0.01,0.68,2.79,3.67,35.17,46.14,31.87,14.63,5.24,2.12
Blaine County,Montana,49.37,50.63,9.59,25.1,7.21,8.97,14.6,12.91,8.73,6.93,5.96,52.58,0.17,45.37,0.09,0.03,0.23,1.54,1,52.36,49.66,29.79,12.45,4.43,3.67
Broadwater County,Montana,50.99,49.01,6.75,19.64,4.2,8.69,16.92,15.9,11.52,9.01,7.39,97.04,0.27,1.16,0.11,0.07,0.34,1,1.32,96.1,34.63,37.78,17.12,5.61,4.87
Carbon County,Montana,50.09,49.91,6.45,18.89,5.14,8.48,16.88,16.83,10.5,8.69,8.14,97.07,0.25,0.68,0.36,0,0.65,0.99,1.77,96.19,37.37,35.28,16.28,7.38,3.69
Carter County,Montana,48.68,51.32,5.74,22.35,3.31,8.38,15.81,14.56,11.91,8.53,9.41,98.6,0.07,0.37,0.15,0,0.29,0.51,0.59,98.46,48.08,33.09,11.7,4.75,2.38
Cascade County,Montana,49.47,50.53,7.95,19.54,8.86,11.12,15.78,13.34,9.42,7.25,6.75,90.72,1.12,4.22,0.81,0.08,0.68,2.36,2.43,89.45,37.62,34.31,16.85,5.83,5.39
Chouteau County,Montana,50.2,49.8,7.99,22.53,5.49,8.16,15.21,13.95,9.2,8.46,9.01,84,0.08,14.62,0.23,0.1,0.23,0.72,0.67,83.9,41.25,37.32,12.9,4.38,4.15
Custer County,Montana,48.94,51.06,7,19.57,7.87,9.43,15.28,14.45,9.3,8.46,8.63,97.02,0.09,1.27,0.26,0.05,0.34,0.97,1.51,96,41.92,33.34,16.14,4,4.6
Daniels County,Montana,48.98,51.02,5.4,18.15,3.97,6.3,13.14,16.56,12.94,10.91,12.64,96.03,0,1.29,0.25,0.1,0.59,1.74,1.59,95.74,45.37,33.44,11.71,5.46,4.01
Dawson County,Montana,49.56,50.44,6.37,18.67,7.84,8.95,15.06,15.34,10.08,9,8.7,97.43,0.25,1.23,0.13,0.01,0.31,0.64,0.89,96.99,41.28,34.01,14.62,7.05,3.04
Deer Lodge County,Montana,49.94,50.06,5.62,18.7,6.94,8.62,14.52,15.72,11.04,9.57,9.27,95.87,0.17,1.77,0.36,0.01,0.18,1.64,1.65,94.66,47.36,31.78,14.44,4.06,2.36
Fallon County,Montana,50.55,49.45,5.89,21.47,5.22,8.46,16.25,15.26,9.55,9.87,8.04,98.59,0.14,0.32,0.35,0.04,0.11,0.46,0.39,98.34,42.36,33.39,16.61,4.53,3.11
Fergus County,Montana,48.66,51.34,6.32,19.64,5.38,8.11,14.82,14.98,10.86,9.49,10.38,97.1,0.08,1.18,0.19,0,0.29,1.16,0.81,96.66,40.76,35.02,14.34,5.66,4.22
