STATE,COUNTY,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM,FID
Alabama,Autauga,58914,21939,5332.9,37.24,9.05,24867,5490.6,42.21,9.32,12108,4588.2,20.55,7.79,5
Alabama,Baldwin,237874,81276,19891,34.17,8.36,101767,20773.6,42.78,8.73,54831,17798.9,23.05,7.48,20
Alabama,Barbour,22301,5294,1837.6,23.74,8.24,9536,2133.5,42.76,9.57,7471,2033.5,33.5,9.12,25
Alabama,Bibb,20533,6532,1833.6,31.81,8.93,7912,1979.1,38.53,9.64,6089,1785.9,29.65,8.7,29
Alabama,Blount,58917,16899,4630.9,28.68,7.86,27353,4960.7,46.43,8.42,14665,4414,24.89,7.49,33
Alabama,Bullock,8751,1437,784.1,16.42,8.96,3694,960.2,42.21,10.97,3620,939.4,41.37,10.73,37
Alabama,Butler,18867,5099,1564.2,27.03,8.29,7938,1784.4,42.07,9.46,5830,1691.7,30.9,8.97,39
Alabama,Calhoun,113591,33203,9686.2,29.23,8.53,48488,10290.6,42.69,9.06,31900,9080.4,28.08,7.99,43
Alabama,Chambers,34404,9498,2771.2,27.61,8.05,14533,3120.3,42.24,9.07,10373,2932.2,30.15,8.52,47
Alabama,Cherokee,24955,6851,2057.9,27.45,8.25,10797,2215.8,43.27,8.88,7307,2016.8,29.28,8.08,51
Alabama,Chilton,45124,14736,3837.9,32.66,8.51,18831,4130.9,41.73,9.15,11557,3688,25.61,8.17,56
Alabama,Choctaw,12501,3018,1035,24.14,8.28,5040,1168.6,40.32,9.35,4443,1109,35.54,8.87,58
Alabama,Clarke,22688,5596,1942.8,24.67,8.56,10547,2203.2,46.49,9.71,6545,2087.8,28.85,9.2,61
Alabama,Clay,14114,4589,1238.1,32.51,8.77,5322,1342.3,37.71,9.51,4203,1229.2,29.78,8.71,65
Alabama,Cleburne,15026,4713,1318.7,31.37,8.78,5342,1398.7,35.55,9.31,4971,1240.8,33.08,8.26,67
Alabama,Coffee,53952,18927,4331.9,35.08,8.03,22380,4555.2,41.48,8.44,12645,3921.7,23.44,7.27,70
Alabama,Colbert,57316,20248,5040.5,35.33,8.79,21535,5208.9,37.57,9.09,15533,4464.2,27.1,7.79,73
Alabama,Conecuh,11305,2507,1062.3,22.18,9.4,5402,1234.6,47.78,10.92,3396,1186.9,30.04,10.5,80
Alabama,Coosa,10279,2272,909.7,22.1,8.85,4593,1015.9,44.68,9.88,3414,955.1,33.21,9.29,82
Alabama,Covington,37363,10249,2999.3,27.43,8.03,15355,3251.7,41.1,8.7,11759,2973.5,31.47,7.96,88
Alabama,Crenshaw,13083,3268,1097.1,24.98,8.39,6016,1196.9,45.98,9.15,3799,1102.1,29.04,8.42,90
Alabama,Cullman,88991,29629,6851.7,33.29,7.7,39093,7269.9,43.93,8.17,20269,6419.7,22.78,7.21,98
Alabama,Dale,49276,16072,3734.9,32.62,7.58,20086,4107.6,40.76,8.34,13118,3714.2,26.62,7.54,101
Alabama,Dallas,37371,8864,3213.3,23.72,8.6,14896,3764.4,39.86,10.07,13611,3595,36.42,9.62,110
Alabama,DeKalb,71627,19799,5803.5,27.64,8.1,30804,6316.7,43.01,8.82,21024,5665.8,29.35,7.91,112
Alabama,Elmore,85381,29943,7002.3,35.07,8.2,35926,7484.1,42.08,8.77,19512,6643.5,22.85,7.78,118
Alabama,Escambia,34461,8796,2798.1,25.52,8.12,14480,3111.7,42.02,9.03,11185,2884,32.46,8.37,122
Alabama,Etowah,101975,31330,8695.5,30.72,8.53,43806,9311.2,42.96,9.13,26839,8328.9,26.32,8.17,131
Alabama,Fayette,16055,4698,1340,29.26,8.35,6320,1449.5,39.36,9.03,5037,1323.2,31.37,8.24,134
Alabama,Franklin,31930,8470,2857.8,26.53,8.95,13499,3147.9,42.28,9.86,9961,2858,31.2,8.95,138
Alabama,Geneva,26658,5816,2075.3,21.82,7.78,11968,2243.7,44.89,8.42,8874,2040.2,33.29,7.65,140
Alabama,Greene,7629,1135,704.6,14.88,9.24,2904,873.9,38.07,11.45,3590,862.5,47.06,11.31,148
Alabama,Hale,14712,2982,1315,20.27,8.94,6365,1517.5,43.26,10.31,5365,1447.4,36.47,9.84,150
Alabama,Henry,17407,5278,1646.1,30.32,9.46,7808,1799.3,44.86,10.34,4321,1652,24.82,9.49,158
Alabama,Houston,106862,31428,6785.2,29.41,6.35,45938,7174.7,42.99,6.71,29496,6258.1,27.6,5.86,160
Alabama,Jackson,52574,15666,4156,29.8,7.91,21167,4452.1,40.26,8.47,15741,3999.2,29.94,7.61,164
Alabama,Jefferson,657778,230797,57550.4,35.09,8.75,268482,60415,40.82,9.18,158499,52181.8,24.1,7.93,171
Alabama,Lamar,13644,4346,1178.3,31.85,8.64,5515,1269.9,40.42,9.31,3783,1158.7,27.73,8.49,174
Alabama,Lauderdale,92289,28470,7737.6,30.85,8.38,39605,8068.9,42.91,8.74,24214,6987.4,26.24,7.57,176
Alabama,Lawrence,33001,10587,2965.2,32.08,8.99,14498,3175.5,43.93,9.62,7916,2831.2,23.99,8.58,181
Alabama,Lee,172564,64235,16117.5,37.22,9.34,72690,16548,42.12,9.59,35639,13652.5,20.65,7.91,187
Alabama,Limestone,105064,39244,9334.8,37.35,8.88,43615,9645.7,41.51,9.18,22205,8055.9,21.13,7.67,197
Alabama,Lowndes,9931,2150,813.7,21.65,8.19,4196,966.5,42.25,9.73,3585,938.6,36.1,9.45,205
Alabama,Macon,17305,3754,1378.6,21.69,7.97,7681,1657.5,44.39,9.58,5870,1616.3,33.92,9.34,210
Alabama,Madison,389640,160523,34309.1,41.2,8.81,154175,35191,39.57,9.03,74942,29294.4,19.23,7.52,217
Alabama,Marengo,18927,5571,1619.4,29.43,8.56,7133,1850.2,37.69,9.78,6223,1757.4,32.88,9.29,220
Alabama,Marion,28771,8572,2659.6,29.79,9.24,11801,2843.6,41.02,9.88,8398,2554.4,29.19,8.88,224
Alabama,Marshall,97828,28638,7252.3,29.27,7.41,43114,7900.4,44.07,8.08,26076,7081.5,26.65,7.24,231
Alabama,Mobile,409023,130402,36564.7,31.88,8.94,171365,38411,41.9,9.39,107256,33176.2,26.22,8.11,240
Alabama,Monroe,19624,4465,1721.4,22.75,8.77,8321,1944.4,42.4,9.91,6838,1827.6,34.85,9.31,250
Alabama,Montgomery,220788,64372,19383.9,29.16,8.78,91976,21187.3,41.66,9.6,64440,19059.6,29.19,8.63,256
Alabama,Morgan,122531,42971,10208,35.07,8.33,49112,10912.6,40.08,8.91,30448,9780.8,24.85,7.98,262
Alabama,Perry,7796,1147,774.4,14.71,9.93,3458,942.2,44.36,12.09,3191,923.7,40.93,11.85,264
Alabama,Pickens,17176,4868,1321.3,28.34,7.69,6716,1491.4,39.1,8.68,5592,1403.1,32.56,8.17,273
Alabama,Pike,31331,8828,2574.2,28.18,8.22,13679,2852.3,43.66,9.1,8824,2621,28.16,8.37,279
Alabama,Randolph,21811,6289,1800.4,28.83,8.25,9267,1963.5,42.49,9,6255,1803.9,28.68,8.27,284
Alabama,Russell,58447,16997,5352.7,29.08,9.16,26227,5734.6,44.87,9.81,15223,5096,26.05,8.72,288
Alabama,St. Clair,91589,32452,7916.3,35.43,8.64,37729,8368.2,41.19,9.14,21408,7317.4,23.37,7.99,292
Alabama,Shelby,225065,97209,18957.2,43.19,8.42,89452,19254.6,39.74,8.56,38404,15658.6,17.06,6.96,298
Alabama,Sumter,11560,2231,1023.5,19.3,8.85,4046,1220.7,35,10.56,5283,1183.2,45.7,10.24,303
Alabama,Talladega,79255,21716,6535.2,27.4,8.25,32630,7203.7,41.17,9.09,24909,6637.6,31.43,8.37,306
Alabama,Tallapoosa,40881,11218,3395.5,27.44,8.31,16453,3776.7,40.25,9.24,13210,3535.2,32.31,8.65,308
Alabama,Tuscaloosa,217229,77362,18688.6,35.61,8.6,91284,19694.1,42.02,9.07,48583,17007.8,22.36,7.83,313
Alabama,Walker,64454,18449,5284.3,28.62,8.2,26529,5652,41.16,8.77,19476,5068.6,30.22,7.86,317
Alabama,Washington,15117,3906,1292.3,25.84,8.55,5743,1417.6,37.99,9.38,5468,1306.8,36.17,8.64,319
Alabama,Wilcox,10408,2451,903.7,23.55,8.68,4349,1075.9,41.79,10.34,3608,1041.6,34.67,10.01,326
Alabama,Winston,23607,6251,1983.9,26.48,8.4,9773,2122.9,41.4,8.99,7583,1914.7,32.12,8.11,332
Alaska,Aleutians East,3398,345,288.2,10.15,8.48,1907,334.4,56.12,9.84,1146,299.7,33.73,8.82,346
Alaska,Aleutians West,5058,1000,522.4,19.77,10.33,2696,577.6,53.3,11.42,1362,455.9,26.93,9.01,381
Alaska,Anchorage,287057,103348,24579.6,36,8.56,136883,25766.5,47.68,8.98,46826,19172,16.31,6.68,400
Alaska,Bethel,18343,1530,1085.5,8.34,5.92,8314,1508.6,45.33,8.22,8499,1473.1,46.33,8.03,411
Alaska,Bristol Bay,838,223,80.9,26.61,9.65,425,97.3,50.72,11.61,190,89.2,22.67,10.64,423
Alaska,Valdez-Cordova,6918,2008,708.5,29.03,10.24,3342,783.3,48.31,11.32,1568,637.2,22.67,9.21,710
Alaska,Valdez-Cordova,2621,582,265.5,22.21,10.13,1035,308.1,39.49,11.76,1004,275.1,38.31,10.5,710
Alaska,Denali,1593,392,203.1,24.61,12.75,833,216.7,52.29,13.6,368,166.5,23.1,10.45,426
Alaska,Dillingham,4770,534,326.8,11.19,6.85,2646,427,55.47,8.95,1590,409.3,33.33,8.58,445
Alaska,Fairbanks North Star,94514,31498,8136.5,33.33,8.61,47714,8788.5,50.48,9.3,15302,6791.9,16.19,7.19,454
Alaska,Haines,2071,454,238.5,21.92,11.52,1139,269.5,55,13.01,478,231.7,23.08,11.19,462
