State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,$100K and over,Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
North Carolina,Mitchell,7414,7454,817,2093,923,1670,1529,1878,2299,2106,1553,14235,17,77,28,0,102,409,848,13659,2395,3789,3496,1943,2994,5836,276,2187,13310,1558,1568
North Carolina,Montgomery,12843,13345,1627,4621,2458,2011,2735,3448,3850,3271,2167,19993,4331,87,419,0,794,564,4188,16649,4515,7427,7011,3756,3385,9735,336,4431,22953,3235,1573
North Carolina,Moore,44768,50504,7205,15100,5964,9019,10388,11439,13129,12535,10493,76721,10570,750,1357,236,2208,3430,6717,72896,11648,19365,17053,15885,30998,36516,1673,11750,87171,8101,1584
North Carolina,Nash,44306,48775,6226,15638,8191,9845,10638,12485,13269,10384,6405,48011,37562,499,853,27,3970,2159,6629,45969,15736,23034,20860,10705,21881,38306,2970,13152,83284,9797,1588
North Carolina,New Hanover,108393,120481,13390,33265,28662,26312,28908,28155,29891,24486,15805,184916,29832,442,3145,197,3999,6343,13025,176791,36279,44726,38277,29563,74709,104349,5537,32042,204837,24037,1602
North Carolina,Northampton,8929,9902,1013,2700,1087,1845,1745,2329,3290,2818,2004,7448,10455,80,55,0,243,550,419,7317,4870,5022,3648,2026,3258,6296,524,3476,16539,2292,1606
North Carolina,Onslow,73159,85665,19600,30282,19570,23189,17609,14942,15590,10848,7194,116096,24126,702,2770,176,2287,12667,17262,105798,24866,40174,32611,26380,34602,60334,5201,25365,143889,14935,1625
North Carolina,Orange,69221,76492,7893,24588,25060,15362,16616,18297,17497,12959,7441,109801,16074,725,11564,1,2351,5197,12361,101223,16147,20330,20450,17065,60237,66617,2867,23348,135994,9719,1630
North Carolina,Pamlico,5758,6208,460,1548,708,984,1090,1335,2136,2197,1508,9380,2006,24,61,2,125,368,481,9160,2639,2656,2573,1474,2595,4105,182,1966,10721,1245,1703
North Carolina,Pasquotank,18187,19956,2976,6720,2938,4643,4196,4712,5472,3970,2516,21826,13874,60,439,0,270,1674,2232,20673,5542,8189,7233,5504,10169,15388,1120,5453,33626,4517,1714
