State,County,Agency,Ori,total aggravated-assault crimes (2006-2014),total aggravated-assault cleared crimes (2006-2014),total aggravated-assault actual crimes (2006-2014),total violent-crime crimes (2006-2014),total violent-crime cleared crimes (2006-2014),total violent-crime actual crimes (2006-2014),total arson crimes (2006-2014),total arson cleared crimes (2006-2014),total arson actual crimes (2006-2014),total human-trafficing crimes (2006-2014),total human-trafficing cleared crimes (2006-2014),total human-trafficing actual crimes (2006-2014),total rape-legacy crimes (2006-2014),total rape-legacy cleared crimes (2006-2014),total rape-legacy actual crimes (2006-2014),total homicide crimes (2006-2014),total homicide cleared crimes (2006-2014),total homicide actual crimes (2006-2014),total burglary crimes (2006-2014),total burglary cleared crimes (2006-2014),total burglary actual crimes (2006-2014),total motor-vehicle-theft crimes (2006-2014),total motor-vehicle-theft cleared crimes (2006-2014),total motor-vehicle-theft actual crimes (2006-2014),total larceny crimes (2006-2014),total larceny cleared crimes (2006-2014),total larceny actual crimes (2006-2014),total rape crimes (2006-2014),total rape cleared crimes (2006-2014),total rape actual crimes (2006-2014),total property-crime crimes (2006-2014),total property-crime cleared crimes (2006-2014),total property-crime actual crimes (2006-2014),Latitude,Longitude
New Mexico,LEA,Lea County Sheriff's Office,NM0130000,2264,143,308,3331,208,432,89,1,15,0,0,0,827,43,90,71,8,11,6755,67,1233,1507,32,281,11777,74,2460,827,43,90,20039,173,3974,32.935955,-103.341995
New Mexico,LEA,Eunice Police Department,NM0130100,558,42,65,616,44,71,57,2,9,0,0,0,14,0,2,0,0,0,1617,31,278,180,16,28,1674,37,290,14,0,2,3471,84,596,32.795687,-103.413271
New Mexico,LEA,Hobbs Police Department,NM0130200,18263,1051,1947,22482,1285,2484,395,18,46,0,0,0,1660,97,241,353,28,42,20201,514,3370,4426,133,746,66029,1841,10780,1660,97,241,90656,2488,14896,32.702976,-103.13619
New Mexico,LEA,Jal Police Department,NM0130300,178,30,40,200,33,45,39,1,7,0,0,0,2,1,1,0,0,0,384,15,81,69,5,18,581,24,110,2,1,1,1034,44,209,32.795687,-103.413271
New Mexico,LEA,Lovington Police Department,NM0130400,1908,57,283,2375,77,352,0,0,0,0,0,0,229,3,43,63,6,4,7943,68,1299,655,7,126,7823,97,1239,229,3,43,16421,172,2664,32.946884,-103.3474
New Mexico,LEA,Tatum Police Department,NM0130500,13,2,3,17,2,4,8,1,1,0,0,0,0,0,0,0,0,0,201,1,38,16,0,5,1074,6,235,0,0,0,1291,7,278,32.795687,-103.413271
New Mexico,LINCOLN,Lincoln County Sheriff's Office,NM0140000,3259,193,300,3416,201,319,0,0,0,0,0,0,99,4,11,28,2,4,2606,49,433,467,27,45,4118,129,616,99,4,11,7191,205,1094,33.740941,-105.449083
New Mexico,LINCOLN,Ruidoso Police Department,NM0140100,1024,56,138,1458,69,212,61,3,7,0,0,0,217,6,38,28,2,7,5684,115,975,590,14,91,7488,279,1268,217,6,38,13762,408,2334,33.352177,-105.67355
New Mexico,LINCOLN,Carrizozo Police Department,NM0140200,241,16,23,293,18,28,29,1,3,0,0,0,24,1,2,0,0,0,387,8,62,30,1,5,527,24,76,24,1,2,944,33,143,33.740941,-105.449083
New Mexico,LINCOLN,Ruidoso Downs Police Department,NM0140300,870,89,104,922,93,112,12,1,1,0,0,0,39,3,6,0,0,0,1780,92,250,427,26,50,4986,461,692,39,3,6,7193,579,992,33.740941,-105.449083
New Mexico,LINCOLN,Capitan Police Department,NM0140400,105,13,17,105,13,17,0,0,0,0,0,0,0,0,0,0,0,0,113,3,32,0,0,0,74,1,25,0,0,0,187,4,57,33.740941,-105.449083
New Mexico,LOS ALAMOS,Los Alamos Police Department,NM0150100,2929,265,321,3451,295,396,145,5,22,0,0,0,378,18,62,30,2,2,2015,67,289,187,7,30,9027,304,1442,378,18,62,11229,378,1761,35.870047,-106.307968
New Mexico,LUNA,Luna County Sheriff's Office,NM0160000,3759,213,537,3945,220,563,24,1,3,0,0,0,47,2,5,64,2,8,5897,251,837,1745,72,242,6389,290,989,47,2,5,14031,613,2068,32.184295,-107.746922
New Mexico,LUNA,Deming Police Department,NM0160100,2627,264,566,3443,307,709,85,5,23,0,0,0,136,8,39,30,3,5,9323,237,1645,2035,43,298,16934,877,3179,136,8,39,28292,1157,5122,32.269485,-107.75179
New Mexico,MCKINLEY,McKinley County Sheriff's Office,NM0170000,3824,103,622,4510,114,758,463,4,73,0,0,0,276,3,63,35,3,7,4916,23,959,1245,13,219,6477,47,1192,276,3,63,12638,83,2370,35.50843,-108.733536
New Mexico,MCKINLEY,Gallup Police Department,NM0170100,17515,1247,2594,22282,1488,3364,297,15,40,0,0,0,1782,102,260,171,8,30,13439,548,2495,5900,117,1029,63746,1898,12359,1782,102,260,83085,2563,15883,35.526714,-108.74098
New Mexico,NOT SPECIFIED,Zuni Tribal,NM0170300,1726,66,301,1994,72,352,1238,0,138,0,0,0,145,2,27,45,1,8,814,3,111,122,0,15,92,0,22,145,2,27,1028,3,148,35.573874,-108.255158
New Mexico,NOT SPECIFIED,Ramah Navajo Tribal,NM0170400,343,14,66,416,15,78,315,0,48,0,0,0,62,0,10,11,1,2,1232,12,190,123,3,19,943,1,140,62,0,10,2298,16,349,35.573874,-108.255158
New Mexico,MORA,Mora County Sheriff's Office,NM0180000,90,11,16,111,11,19,1,0,1,0,0,0,0,0,0,7,0,1,184,10,28,45,2,8,47,2,13,0,0,0,276,14,49,35.982841,-104.921898
New Mexico,OTERO,Otero County Sheriff's Office,NM0190000,8551,523,923,9242,555,1038,9,0,1,0,0,0,561,26,99,29,1,3,6548,311,1098,1097,80,178,7569,423,1223,561,26,99,15214,814,2499,32.588776,-105.781079
New Mexico,OTERO,Alamogordo Police Department,NM0190100,7038,641,761,8572,719,943,340,21,46,0,0,0,921,33,110,175,15,18,8290,268,1358,1814,63,307,44112,1799,6910,921,33,110,54216,2130,8575,32.896988,-105.9556
New Mexico,OTERO,Tularosa Police Department,NM0190200,396,10,73,454,12,82,0,0,0,0,0,0,27,1,4,6,0,1,729,5,155,40,4,10,1252,5,301,27,1,4,2021,14,466,32.588776,-105.781079
New Mexico,OTERO,Cloudcroft Police Department,NM0190300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.588776,-105.781079
New Mexico,QUAY,Quay County Sheriff's Office,NM0200000,250,18,24,282,20,26,12,0,2,0,0,0,0,0,0,16,1,1,559,11,94,134,10,18,752,13,139,0,0,0,1445,34,251,35.107018,-103.548071
New Mexico,QUAY,Tucumcari Police Department,NM0200100,1917,135,265,2204,151,314,0,0,0,0,0,0,143,8,21,24,2,3,3983,136,775,291,13,44,5587,356,962,143,8,21,9861,505,1781,35.107018,-103.548071
New Mexico,QUAY,Logan Police Department,NM0200200,77,4,15,77,4,15,0,0,0,0,0,0,0,0,0,0,0,0,468,7,94,21,0,6,422,5,96,0,0,0,911,12,196,35.107018,-103.548071
New Mexico,RIO ARRIBA,Rio Arriba County Sheriff's Office,NM0210000,1523,98,255,1721,112,290,94,4,12,0,0,0,122,9,19,59,4,10,2574,35,649,304,6,67,1007,26,267,122,9,19,3885,67,983,36.509669,-106.693983
New Mexico,"RIO ARRIBA, SANTA FE",Espanola Police Department,NM0210100,10153,711,1642,11647,790,1925,259,17,40,0,0,0,204,7,37,83,3,11,14946,711,2736,1927,60,318,21085,1426,3264,204,7,37,37958,2197,6318,36.509669,-106.693983
New Mexico,NOT SPECIFIED,Jicarilla Apache Tribal,NM0210300,740,0,130,927,0,160,13,0,2,0,0,0,135,0,22,52,0,8,8,0,1,3,0,1,19,0,3,135,0,22,30,0,5,36.509669,-106.693983
New Mexico,NOT SPECIFIED,Ohkay Owingeh Tribal,NM0210400,227,4,54,305,4,69,25,0,6,0,0,0,29,0,5,11,0,2,435,0,83,142,1,33,847,3,180,29,0,5,1424,4,296,36.509669,-106.693983
New Mexico,NOT SPECIFIED,Santa Clara Pueblo,NM0210500,210,22,53,261,26,67,20,1,4,0,0,0,20,2,5,2,1,1,481,4,95,71,5,19,313,4,68,20,2,5,865,13,182,36.509669,-106.693983
New Mexico,ROOSEVELT,Roosevelt County Sheriff's Office,NM0220000,343,39,53,432,49,71,7,0,1,0,0,0,73,8,16,0,0,0,951,31,214,235,19,40,1373,57,283,73,8,16,2559,107,537,34.147217,-103.39699
New Mexico,ROOSEVELT,Portales Police Department,NM0220100,3438,237,454,3917,255,526,15,0,6,0,0,0,264,11,42,29,1,4,6592,101,1295,1138,51,161,12696,408,2181,264,11,42,20426,560,3637,34.197777,-103.334984
New Mexico,ROOSEVELT,Eastern New Mexico University,NM0220200,60,9,7,142,17,15,0,0,0,0,0,0,82,8,8,0,0,0,404,12,66,62,6,8,2517,54,451,82,8,8,2983,72,525,34.021457,-103.482725
