BaseYear,state,incidentType,designatedArea,Freq,FID
2000,OK,Severe Ice Storm,Harmon,4,2191
2000,OK,Severe Ice Storm,Canadian,6,2123
2000,OK,Severe Ice Storm,Kay,4,2215
2000,OK,Severe Ice Storm,Kingfisher,5,2219
2000,OK,Severe Ice Storm,Kiowa,5,2222
2000,OK,Severe Ice Storm,Logan,5,2236
2000,OK,Severe Ice Storm,Nowata,5,2290
2000,OK,Severe Ice Storm,Osage,6,2318
2000,OK,Severe Ice Storm,Payne,6,2340
2000,OK,Severe Ice Storm,Jackson,4,2202
2000,OK,Severe Ice Storm,Roger Mills,5,2369
2000,OK,Severe Ice Storm,Washita,5,2023
2000,OK,Severe Ice Storm,Craig,4,2148
2000,OK,Severe Ice Storm,Adair,4,2095
2000,OK,Severe Ice Storm,Pawnee,6,2329
2000,OK,Severe Ice Storm,Atoka,4,2102
2000,OK,Severe Ice Storm,Bryan,4,2112
2000,OK,Severe Ice Storm,Caddo,6,2118
2000,OK,Severe Ice Storm,Carter,4,2126
2000,OK,Severe Ice Storm,Cherokee,4,2129
2000,OK,Severe Ice Storm,Cleveland,6,2140
2000,OK,Severe Ice Storm,Coal,4,2144
2000,OK,Severe Ice Storm,Choctaw,4,2133
2000,OK,Severe Ice Storm,Comanche,4,2145
2000,OK,Severe Ice Storm,Cotton,4,2146
2000,OK,Severe Ice Storm,Creek,6,2151
2000,OK,Severe Ice Storm,Delaware,4,2154
2000,OK,Severe Ice Storm,Garvin,5,2176
2000,OK,Severe Ice Storm,Grady,6,2184
2000,OK,Severe Ice Storm,Haskell,4,2195
2000,OK,Severe Ice Storm,Hughes,4,2197
2000,OK,Severe Ice Storm,Jefferson,4,2206
2000,OK,Severe Ice Storm,Latimer,4,2226
2000,OK,Severe Ice Storm,Le Flore,4,2230
2000,OK,Severe Ice Storm,Lincoln,6,2234
2000,OK,Severe Ice Storm,Johnston,4,2211
2000,OK,Severe Ice Storm,Love,4,2238
2000,OK,Severe Ice Storm,McClain,6,2245
2000,OK,Severe Ice Storm,McCurtain,4,2252
2000,OK,Severe Ice Storm,McIntosh,4,2258
2000,OK,Severe Ice Storm,Mayes,4,2270
2000,OK,Severe Ice Storm,Murray,4,2276
2000,OK,Severe Ice Storm,Muskogee,4,2281
2000,OK,Severe Ice Storm,Okfuskee,5,2297
2000,OK,Severe Ice Storm,Marshall,4,2265
2000,OK,Severe Ice Storm,Ottawa,4,2325
2000,OK,Severe Ice Storm,Pittsburg,4,2344
2000,OK,Severe Ice Storm,Pontotoc,4,2351
2000,OK,Severe Ice Storm,Pottawatomie,6,2356
2000,OK,Severe Ice Storm,Okmulgee,5,2311
2000,OK,Severe Ice Storm,Oklahoma,6,2303
2000,OK,Severe Ice Storm,Rogers,5,2374
