State,County,# of Ranked Counties,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Arkansas,Monroe,75,75,71,71,40,69,35,300
Arkansas,Montgomery,75,4,29,22,72,64,26,304
Arkansas,Nevada,75,22,59,60,33,45,70,307
Arkansas,Newton,75,45,10,38,31,31,37,311
Arkansas,Ouachita,75,55,60,52,15,50,68,316
Arkansas,Perry,75,20,41,30,28,32,52,318
Arkansas,Phillips,75,74,74,74,65,75,29,322
Arkansas,Pike,75,3,27,9,74,12,42,327
Arkansas,Poinsett,75,72,66,67,49,52,63,333
Arkansas,Polk,75,25,42,32,59,39,23,337
Arkansas,Pope,75,5,16,11,34,27,69,340
Arkansas,Prairie,75,16,30,54,61,14,4,345
Arkansas,Pulaski,75,26,11,3,1,9,55,350
Arkansas,Randolph,75,54,48,57,41,30,20,353
Arkansas,St. Francis,75,46,70,72,23,71,59,357
Arkansas,Saline,75,9,2,2,10,2,50,360
Arkansas,Scott,75,40,64,59,69,49,3,364
Arkansas,Searcy,75,35,37,35,50,60,7,372
Arkansas,Sebastian,75,15,19,12,11,17,73,378
Arkansas,Sevier,75,18,22,28,66,61,9,390
Arkansas,Sharp,75,31,61,70,58,59,14,394
Arkansas,Stone,75,39,51,64,64,57,31,399
Arkansas,Union,75,69,35,21,22,48,74,403
Arkansas,Van Buren,75,36,28,37,29,58,44,407
Arkansas,Washington,75,2,6,4,9,4,15,417
Arkansas,White,75,13,13,19,38,34,67,428
Arkansas,Woodruff,75,64,50,40,60,70,47,435
Arkansas,Yell,75,30,33,44,75,46,54,438
California,Alameda,58,7,18,5,8,12,14,457
California,Alpine,58,28,44,43,40,49,6,461
California,Amador,58,26,20,31,15,17,20,472
California,Butte,58,43,28,41,39,26,15,486
California,Calaveras,58,47,17,32,22,27,41,489
California,Colusa,58,30,31,36,57,50,10,497
California,Contra Costa,58,11,16,7,12,9,13,503
California,Del Norte,58,51,37,58,32,53,19,511
California,El Dorado,58,16,11,17,13,8,16,522
California,Fresno,58,37,52,40,38,52,53,527
California,Glenn,58,42,46,44,58,44,17,537
California,Humboldt,58,50,29,34,35,25,25,551
California,Imperial,58,23,35,46,51,58,50,557
California,Inyo,58,44,39,33,18,20,12,562
California,Kern,58,48,57,47,52,55,54,84
California,Kings,58,32,42,54,50,48,51,94
California,Lake,58,57,48,50,53,47,18,100
California,Lassen,58,34,56,57,29,40,4,104
California,Los Angeles,58,17,32,11,47,34,58,139
California,Madera,58,33,43,52,49,51,48,153
California,Marin,58,1,1,2,1,3,24,168
California,Mariposa,58,38,25,27,42,32,5,178
California,Mendocino,58,45,38,42,37,36,31,190
California,Merced,58,31,50,45,54,54,47,204
California,Modoc,58,53,49,48,48,56,3,207
California,Mono,58,4,41,26,26,13,1,214
California,Monterey,58,18,24,20,44,43,39,228
California,Napa,58,8,4,14,16,11,37,236
California,Nevada,58,24,5,15,9,7,7,243
California,Orange,58,5,10,4,17,10,46,257
California,Placer,58,9,2,6,2,1,11,266
California,Plumas,58,49,55,29,33,31,42,275
California,Riverside,58,22,30,19,45,30,56,281
California,Sacramento,58,27,27,24,21,23,40,289
California,San Benito,58,21,22,23,31,29,35,295
California,San Bernardino,58,35,51,28,55,33,57,302
California,San Diego,58,12,15,13,27,15,45,315
California,San Francisco,58,6,7,8,4,14,2,331
California,San Joaquin,58,41,47,30,34,45,52,339
California,San Luis Obispo,58,19,13,21,7,6,30,351
California,San Mateo,58,2,3,3,3,2,34,368
California,Santa Barbara,58,20,21,18,20,22,33,391
California,Santa Clara,58,3,8,1,5,4,43,406
California,Santa Cruz,58,14,9,10,6,21,32,415
California,Shasta,58,52,26,39,19,28,28,431
California,Sierra,58,28,53,25,36,46,8,439
California,Siskiyou,58,56,58,53,25,35,21,446
California,Solano,58,25,19,22,23,18,23,453
California,Sonoma,58,15,6,16,14,5,26,463
California,Stanislaus,58,40,34,35,41,38,49,473
California,Sutter,58,39,45,38,30,39,36,483
California,Tehama,58,55,33,56,43,42,29,492
California,Trinity,58,58,36,49,28,41,22,500
California,Tulare,58,36,54,55,46,57,55,501
California,Tuolumne,58,46,23,37,10,24,38,513
California,Ventura,58,13,14,9,24,16,27,521
California,Yolo,58,10,12,12,11,19,9,525
California,Yuba,58,54,40,51,56,37,44,541
Colorado,Adams,60,23,37,38,36,38,60,545
Colorado,Alamosa,60,53,55,42,40,47,42,549
Colorado,Arapahoe,60,12,21,19,13,26,52,558
Colorado,Archuleta,60,27,11,16,39,33,13,560
Colorado,Baca,60,30,39,54,58,32,29,563
Colorado,Bent,60,58,54,58,45,53,31,564
Colorado,Boulder,60,5,6,3,2,13,48,570
Colorado,Broomfield,60,6,2,5,1,2,41,577
Colorado,Chaffee,60,14,17,17,23,23,1,582
Colorado,Cheyenne,60,30,40,32,56,25,22,587
Colorado,Clear Creek,60,17,9,10,16,21,24,591
Colorado,Conejos,60,56,57,36,51,50,32,596
Colorado,Costilla,60,30,60,45,50,59,28,599
Colorado,Crowley,60,26,56,60,44,57,55,605
Colorado,Custer,60,30,48,24,24,34,25,610
Colorado,Delta,60,47,49,52,32,46,50,617
Colorado,Denver,60,24,24,27,10,37,58,628
Colorado,Dolores,60,30,59,47,41,39,12,636
Colorado,Douglas,60,2,1,1,3,1,33,644
Colorado,Eagle,60,3,7,4,19,14,38,648
Colorado,Elbert,60,11,5,18,30,4,56,655
Colorado,El Paso,60,44,19,21,17,30,53,661
Colorado,Fremont,60,46,42,49,27,54,39,664
Colorado,Garfield,60,19,20,25,34,29,34,667
Colorado,Gilpin,60,30,25,11,8,6,36,672
Colorado,Grand,60,13,28,20,28,11,3,677
Colorado,Gunnison,60,9,14,6,22,7,17,682
Colorado,Hinsdale,60,NR,NR,NR,NR,NR,NR,688
Colorado,Huerfano,60,52,41,30,21,60,27,693
Colorado,Jackson,60,NR,NR,NR,NR,NR,NR,701
Colorado,Jefferson,60,16,12,14,7,15,57,706
Colorado,Kiowa,60,30,46,57,43,19,26,711
Colorado,Kit Carson,60,45,32,44,57,27,4,716
Colorado,Lake,60,8,52,33,31,36,19,721
Colorado,La Plata,60,15,10,23,11,16,43,727
Colorado,Larimer,60,10,13,15,6,9,54,734
Colorado,Las Animas,60,60,47,51,52,52,7,741
