State,County,# of Ranked Counties,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Kentucky,Johnson,120,101,91,76,70,90,49,1148
Kentucky,Kenton,120,49,20,13,10,16,86,1151
Kentucky,Knott,120,109,112,106,112,102,39,1154
Kentucky,Knox,120,102,117,107,100,107,113,1159
Kentucky,Larue,120,22,62,67,67,34,116,1162
Kentucky,Laurel,120,59,66,70,52,83,107,1166
Kentucky,Lawrence,120,94,100,108,62,99,83,1167
Kentucky,Lee,120,99,105,103,108,116,99,1171
Kentucky,Leslie,120,115,109,95,111,118,106,1175
Kentucky,Letcher,120,108,114,91,105,109,95,1178
Kentucky,Lewis,120,110,84,118,90,111,48,1180
Kentucky,Lincoln,120,77,90,77,99,70,102,1184
Kentucky,Livingston,120,25,22,82,69,60,58,1187
Kentucky,Logan,120,55,43,65,40,38,87,1190
Kentucky,Lyon,120,43,26,26,36,45,42,1193
Kentucky,McCracken,120,33,23,17,4,35,28,1196
Kentucky,McCreary,120,92,115,116,101,105,118,1198
Kentucky,McLean,120,63,87,44,31,15,91,1201
Kentucky,Madison,120,37,28,19,19,23,72,1204
Kentucky,Magoffin,120,107,111,115,106,119,100,1206
Kentucky,Marion,120,44,81,88,22,57,50,1210
Kentucky,Marshall,120,71,5,16,30,18,79,1213
Kentucky,Martin,120,86,108,94,116,103,85,1215
Kentucky,Mason,120,84,40,40,17,61,12,1217
Kentucky,Meade,120,20,7,20,41,17,89,1220
Kentucky,Menifee,120,80,83,109,57,106,6,1222
Kentucky,Mercer,120,24,39,21,71,31,34,1225
Kentucky,Metcalfe,120,28,88,69,92,87,21,1228
Kentucky,Monroe,120,98,72,75,117,76,82,1230
Kentucky,Montgomery,120,38,74,71,26,55,40,1233
Kentucky,Morgan,120,45,96,85,76,95,32,1235
Kentucky,Muhlenberg,120,53,61,74,64,62,63,1238
Kentucky,Nelson,120,36,13,22,5,12,61,1243
Kentucky,Nicholas,120,61,94,81,95,80,67,1246
Kentucky,Ohio,120,39,55,72,43,48,70,1249
Kentucky,Oldham,120,1,1,1,1,1,57,1252
Kentucky,Owen,120,17,58,66,60,66,74,1255
Kentucky,Owsley,120,119,97,119,91,120,104,1257
Kentucky,Pendleton,120,96,34,35,59,51,88,1260
Kentucky,Perry,120,120,104,102,77,98,36,1265
Kentucky,Pike,120,93,106,90,83,93,64,1267
Kentucky,Powell,120,116,70,48,75,91,65,1270
Kentucky,Pulaski,120,81,45,60,42,75,60,1272
Kentucky,Robertson,120,73,95,47,65,65,51,1273
Kentucky,Rockcastle,120,90,86,53,89,85,68,1276
Kentucky,Rowan,120,29,77,41,33,68,73,1279
Kentucky,Russell,120,82,76,78,63,88,76,1282
Kentucky,Scott,120,3,6,7,9,5,44,1283
Kentucky,Shelby,120,5,15,6,45,9,59,1285
Kentucky,Simpson,120,70,48,36,58,32,69,1287
Kentucky,Spencer,120,8,3,14,21,3,52,1000
Kentucky,Taylor,120,47,64,56,37,33,38,1003
Kentucky,Todd,120,72,59,73,110,47,18,1006
Kentucky,Trigg,120,21,11,32,54,22,22,1009
Kentucky,Trimble,120,75,42,61,50,40,15,1012
Kentucky,Union,120,62,101,101,56,36,105,1016
Kentucky,Warren,120,9,17,5,39,21,23,1019
Kentucky,Washington,120,12,46,42,47,25,16,1023
Kentucky,Wayne,120,40,78,100,72,96,46,1027
Kentucky,Webster,120,58,92,79,93,43,119,1029
Kentucky,Whitley,120,111,99,93,24,74,103,1034
Kentucky,Wolfe,120,117,110,120,96,117,98,1037
Kentucky,Woodford,120,7,4,2,15,4,30,1042
Louisiana,Acadia,64,41,32,45,19,35,34,1046
Louisiana,Allen,64,27,22,15,54,29,31,1051
Louisiana,Ascension,64,2,2,4,5,1,56,1055
Louisiana,Assumption,64,19,36,38,30,52,47,1060
Louisiana,Avoyelles,64,51,55,63,46,51,40,1062
Louisiana,Beauregard,64,16,15,25,50,10,7,1066
Louisiana,Bienville,64,56,58,56,34,40,58,1069
Louisiana,Bossier,64,6,12,2,13,5,55,1076
Louisiana,Caddo,64,49,50,28,2,30,59,1079
Louisiana,Calcasieu,64,31,14,12,10,13,15,1081
Louisiana,Caldwell,64,42,41,51,64,45,43,1084
Louisiana,Cameron,64,1,9,13,36,4,20,1089
Louisiana,Catahoula,64,13,48,48,55,53,33,1093
Louisiana,Claiborne,64,40,62,52,57,50,60,1095
Louisiana,Concordia,64,57,61,62,33,55,35,1098
Louisiana,De Soto,64,18,38,40,48,34,49,1103
Louisiana,East Baton Rouge,64,33,11,5,3,11,61,1108
Louisiana,East Carroll,64,59,64,64,60,64,64,1111
Louisiana,East Feliciana,64,48,31,29,17,36,21,1115
Louisiana,Evangeline,64,55,54,59,32,49,45,1118
Louisiana,Franklin,64,21,56,53,58,59,36,1123
Louisiana,Grant,64,9,23,54,26,28,22,1127
Louisiana,Iberia,64,37,39,39,21,39,38,1133
Louisiana,Iberville,64,38,43,16,16,48,39,1134
Louisiana,Jackson,64,25,45,44,45,21,42,1138
Louisiana,Jefferson,64,12,10,3,28,12,2,1147
Louisiana,Jefferson Davis,64,44,20,24,41,19,28,1155
Louisiana,Lafayette,64,4,4,6,1,8,16,1161
Louisiana,Lafourche,64,14,16,19,24,22,6,1280
Louisiana,La Salle,64,24,26,42,56,16,8,1289
Louisiana,Lincoln,64,11,21,11,23,18,52,1291
Louisiana,Livingston,64,15,6,18,20,6,63,1295
Louisiana,Madison,64,60,63,61,37,63,4,1297
Louisiana,Morehouse,64,63,60,57,51,61,57,1299
Louisiana,Natchitoches,64,46,49,21,22,26,50,1301
Louisiana,Orleans,64,35,33,7,14,38,3,1304
Louisiana,Ouachita,64,34,37,32,12,42,32,1306
Louisiana,Plaquemines,64,8,8,14,40,7,27,1427
Louisiana,Pointe Coupee,64,32,19,27,27,46,48,1431
Louisiana,Rapides,64,47,34,26,9,20,18,1434
Louisiana,Red River,64,62,44,34,59,47,51,1436
Louisiana,Richland,64,52,59,30,44,58,24,1439
Louisiana,Sabine,64,28,25,55,61,15,10,1441
Louisiana,St. Bernard,64,50,28,35,49,25,11,1463
Louisiana,St. Charles,64,5,7,9,7,3,19,1466
Louisiana,St. Helena,64,53,51,20,62,56,9,1467
Louisiana,St. James,64,39,35,22,11,31,41,1468
Louisiana,St. Bohn the Baptist,64,43,30,17,15,24,54,
Louisiana,St. Landry,64,61,47,47,18,54,53,1471
Louisiana,St. Martin,64,22,17,23,25,27,37,1473
Louisiana,St. Mary,64,29,42,41,31,43,23,1474
Louisiana,St. Tammany,64,3,1,1,6,2,30,1475
Louisiana,Tangipahoa,64,30,27,33,35,41,13,1476
Louisiana,Tensas,64,58,57,60,53,62,46,1479
Louisiana,Terrebonne,64,36,24,49,43,33,1,1501
Louisiana,Union,64,23,29,36,42,32,44,1507
Louisiana,Vermilion,64,7,18,31,38,23,5,1510
Louisiana,Vernon,64,20,5,37,52,14,26,1513
Louisiana,Washington,64,64,53,58,47,57,29,1516
Louisiana,Webster,64,54,52,46,29,37,62,1518
Louisiana,West Baton Rouge,64,10,13,10,8,9,12,1520
Louisiana,West Carroll,64,45,46,43,63,60,17,1522
Louisiana,West Feliciana,64,17,3,8,4,17,14,1524
Louisiana,Winn,64,26,40,50,39,44,25,1529
Maine,Androscoggin,16,12,11,12,7,9,9,1532
Maine,Aroostook,16,9,15,13,14,13,13,1535
Maine,Cumberland,16,1,1,1,1,1,14,1608
Maine,Franklin,16,7,9,8,5,11,4,1619
Maine,Hancock,16,3,5,4,6,4,2,1748
Maine,Kennebec,16,10,7,9,2,5,3,1755
Maine,Knox,16,8,2,6,3,6,5,1774
Maine,Lincoln,16,4,10,5,13,10,7,1835
Maine,Oxford,16,13,8,11,10,12,12,1842
Maine,Penobscot,16,11,12,10,9,8,11,1846
Maine,Piscataquis,16,14,16,14,16,14,6,1851
Maine,Sagadahoc,16,2,3,2,8,2,8,1855
Maine,Somerset,16,16,13,15,12,15,16,1860
Maine,Waldo,16,5,6,7,11,7,10,1865
Maine,Washington,16,15,14,16,15,16,1,1884
Maine,York,16,6,4,3,4,3,15,1901
Maryland,Allegany,24,18,21,20,13,18,4,1905
Maryland,Anne Arundel,24,6,8,5,9,7,10,1925
Maryland,Baltimore County,24,16,14,6,12,12,16,1939
Maryland,Calvert,24,8,4,8,8,3,13,1946
Maryland,Caroline,24,17,19,21,23,19,19,1949
Maryland,Carroll,24,5,3,4,10,2,24,1955
Maryland,Cecil,24,22,13,15,16,15,8,1963
Maryland,Charles,24,13,12,13,19,9,18,1294
Maryland,Dorchester,24,23,22,22,14,22,22,1346
Maryland,Frederick,24,3,5,3,11,4,15,1357
Maryland,Garrett,24,15,16,16,21,14,1,1361
Maryland,Harford,24,9,11,7,4,8,11,1372
Maryland,Howard,24,2,2,2,1,1,20,1379
Maryland,Kent,24,11,17,12,5,16,2,1394
Maryland,Montgomery,24,1,1,1,3,5,3,1398
Maryland,Prince George's,24,7,15,9,24,13,14,1403
Maryland,Queen Anne's,24,4,7,10,7,6,9,1413
Maryland,St. Mary's,24,10,9,14,20,10,21,1421
Maryland,Somerset,24,21,23,24,18,23,17,1430
Maryland,Talbot,24,12,6,11,2,11,5,1438
Maryland,Washington,24,20,18,19,15,17,6,1445
Maryland,Wicomico,24,19,20,18,17,20,23,1446
Maryland,Worcester,24,14,10,17,6,21,7,1456
Maryland,Baltimore city,24,24,24,23,22,24,12,
Massachusetts,Barnstable,14,11,5,7,4,10,5,1478
Massachusetts,Berkshire,14,14,11,12,5,11,4,1480
Massachusetts,Bristol,14,12,12,13,13,13,10,1486
Massachusetts,Dukes,14,4,2,8,9,8,6,1491
Massachusetts,Essex,14,7,8,5,10,9,9,1519
Massachusetts,Franklin,14,8,7,11,8,5,3,1523
Massachusetts,Hampden,14,13,14,14,12,14,14,1526
Massachusetts,Hampshire,14,6,9,4,1,3,1,1527
Massachusetts,Middlesex,14,2,4,1,3,2,13,1533
Massachusetts,Nantucket,14,1,1,3,14,4,2,1537
Massachusetts,Norfolk,14,3,3,2,2,1,8,1543
Massachusetts,Plymouth,14,9,6,9,7,6,12,1569
Massachusetts,Suffolk,14,5,13,6,11,12,11,1585
Massachusetts,Worcester,14,10,10,10,6,7,7,1599
Michigan,Alcona,83,75,68,45,52,67,23,1603
Michigan,Alger,83,6,29,35,18,71,1,1609
Michigan,Allegan,83,18,17,17,44,17,75,1611
Michigan,Alpena,83,45,51,55,15,33,30,1614
Michigan,Antrim,83,11,18,24,47,31,20,1617
Michigan,Arenac,83,44,74,74,71,75,40,1621
Michigan,Baraga,83,70,50,64,28,74,14,1624
Michigan,Barry,83,13,11,20,38,10,71,1627
Michigan,Bay,83,53,49,39,62,43,39,1631
Michigan,Benzie,83,24,8,25,20,19,33,1634
Michigan,Berrien,83,49,48,29,32,48,41,1635
Michigan,Branch,83,63,45,69,82,32,79,1640
Michigan,Calhoun,83,72,43,61,22,55,66,1641
Michigan,Cass,83,56,36,43,48,42,67,1644
Michigan,Charlevoix,83,22,13,14,13,14,9,1648
Michigan,Cheboygan,83,62,54,49,57,73,24,1649
Michigan,Chippewa,83,27,47,75,78,65,10,1660
Michigan,Clare,83,79,73,77,80,81,53,1665
Michigan,Clinton,83,1,3,7,16,3,52,1669
Michigan,Crawford,83,76,75,27,49,66,25,1672
Michigan,Delta,83,48,59,42,4,28,15,1675
Michigan,Dickinson,83,33,23,10,2,12,29,1677
Michigan,Eaton,83,17,14,13,25,8,58,1678
Michigan,Emmet,83,12,10,6,6,13,22,1686
Michigan,Genesee,83,78,78,56,36,64,80,1688
Michigan,Gladwin,83,69,66,81,64,69,63,1691
Michigan,Gogebic,83,29,26,28,31,53,4,1693
Michigan,Grand Traverse,83,9,5,8,5,5,21,1697
Michigan,Gratiot,83,21,61,68,37,36,48,1700
Michigan,Hillsdale,83,50,31,51,74,47,60,1701
Michigan,Houghton,83,26,16,9,34,21,2,1705
Michigan,Huron,83,66,33,53,42,30,34,1708
Michigan,Ingham,83,35,38,12,17,24,38,1710
Michigan,Ionia,83,14,39,50,69,18,81,1713
Michigan,Iosco,83,83,42,71,51,59,26,1715
Michigan,Iron,83,80,76,47,50,58,11,1716
Michigan,Isabella,83,30,63,31,66,38,68,1717
Michigan,Jackson,83,55,41,32,33,35,70,1719
Michigan,Kalamazoo,83,31,28,19,8,16,78,1720
Michigan,Kalkaska,83,57,55,72,75,63,46,1722
Michigan,Kent,83,10,24,11,14,15,54,1726
Michigan,Keweenaw,83,39,19,33,21,62,27,1743
Michigan,Lake,83,71,83,79,77,82,51,1749
Michigan,Lapeer,83,32,21,23,76,26,74,1752
Michigan,Leelanau,83,3,1,4,45,2,18,1765
Michigan,Lenawee,83,25,32,37,19,22,77,1768
Michigan,Livingston,83,4,2,5,9,1,83,1770
Michigan,Luce,83,39,80,58,39,61,3,1773
Michigan,Mackinac,83,28,64,76,72,77,6,1779
Michigan,Macomb,83,43,46,15,54,29,72,1785
Michigan,Manistee,83,54,30,22,26,54,8,1787
Michigan,Marquette,83,19,20,21,3,11,13,1793
Michigan,Mason,83,47,35,26,29,49,32,1797
Michigan,Mecosta,83,16,40,57,63,57,76,1800
Michigan,Menominee,83,23,12,46,23,27,7,1802
Michigan,Midland,83,7,7,16,7,9,45,1806
Michigan,Missaukee,83,15,34,66,70,37,12,1810
Michigan,Monroe,83,51,27,34,41,23,59,1812
Michigan,Montcalm,83,65,56,78,56,45,73,1815
Michigan,Montmorency,83,38,65,70,46,80,36,1816
Michigan,Muskegon,83,67,79,73,12,44,62,1818
Michigan,Newaygo,83,41,67,30,61,51,61,1820
Michigan,Oakland,83,8,6,2,11,6,69,1824
Michigan,Oceana,83,42,72,62,68,72,43,1825
Michigan,Ogemaw,83,73,62,82,81,79,49,1827
Michigan,Ontonagon,83,61,60,44,35,60,5,1829
Michigan,Osceola,83,58,69,80,59,46,31,1830
Michigan,Oscoda,83,82,81,63,83,78,42,1832
Michigan,Otsego,83,46,25,18,40,25,17,1834
Michigan,Ottawa,83,2,4,3,10,4,57,1837
Michigan,Presque Isle,83,77,15,38,55,56,19,1840
Michigan,Roscommon,83,74,71,83,53,76,35,1843
Michigan,Saginaw,83,68,70,65,27,70,65,1845
Michigan,St. Clair,83,59,37,40,65,34,64,1854
Michigan,St. Joseph,83,60,57,59,67,39,47,1857
Michigan,Sanilac,83,36,58,54,73,52,44,1858
Michigan,Schoolcraft,83,20,77,60,43,68,16,1861
Michigan,Shiawassee,83,37,22,48,24,20,50,1863
Michigan,Tuscola,83,52,44,52,60,40,56,1866
Michigan,Van Buren,83,34,52,41,58,50,55,1867
Michigan,Washtenaw,83,5,9,1,1,7,37,1869
Michigan,Wayne,83,81,82,67,79,83,82,1871
Michigan,Wexford,83,64,53,36,30,41,28,1873
Minnesota,Aitkin,87,80,47,54,72,85,58,1875
Minnesota,Anoka,87,23,42,17,55,14,84,1877
Minnesota,Becker,87,75,63,73,58,50,42,1878
Minnesota,Beltrami,87,84,82,82,68,81,11,1880
Minnesota,Benton,87,39,60,42,67,41,73,1881
Minnesota,Big Stone,87,51,74,74,17,54,29,1882
Minnesota,Blue Earth,87,22,68,40,8,27,78,1886
Minnesota,Brown,87,64,28,57,2,15,50,1892
Minnesota,Carlton,87,45,65,66,50,43,39,1893
Minnesota,Carver,87,1,1,1,22,1,60,1894
Minnesota,Cass,87,86,80,81,82,82,30,1895
Minnesota,Chippewa,87,44,38,65,25,61,14,1896
Minnesota,Chisago,87,14,40,18,39,17,62,1897
Minnesota,Clay,87,28,51,9,34,19,38,1898
Minnesota,Clearwater,87,83,58,85,81,86,48,1899
Minnesota,Cook,87,51,77,8,38,26,3,1900
Minnesota,Cottonwood,87,42,64,70,42,59,72,1902
Minnesota,Crow Wing,87,50,34,34,21,56,40,1903
Minnesota,Dakota,87,6,18,5,16,8,54,1904
Minnesota,Dodge,87,40,7,44,37,13,33,1906
Minnesota,Douglas,87,38,25,31,6,7,35,1907
Minnesota,Faribault,87,78,55,50,57,55,52,1908
Minnesota,Fillmore,87,34,17,24,52,31,43,1909
Minnesota,Freeborn,87,30,69,56,62,64,82,1910
Minnesota,Goodhue,87,41,31,19,26,21,86,1911
Minnesota,Grant,87,65,79,52,64,38,65,1912
Minnesota,Hennepin,87,25,43,3,14,37,85,1913
Minnesota,Houston,87,11,5,14,7,11,57,1914
Minnesota,Hubbard,87,48,36,48,75,74,20,1915
Minnesota,Isanti,87,60,53,33,36,42,79,1916
Minnesota,Itasca,87,71,72,63,30,75,24,1917
Minnesota,Jackson,87,26,54,53,12,24,25,1918
Minnesota,Kanabec,87,68,75,67,61,76,47,1919
Minnesota,Kandiyohi,87,29,33,23,43,65,76,1920
Minnesota,Kittson,87,51,12,68,78,23,6,1921
Minnesota,Koochiching,87,70,81,69,71,84,4,1922
Minnesota,Lac Qui Parle,87,36,11,51,70,33,7,
Minnesota,Lake,87,59,15,22,11,30,2,1926
Minnesota,Lake of the Woods,87,51,16,32,73,66,1,1927
Minnesota,Le Sueur,87,7,20,30,47,35,67,1929
Minnesota,Lincoln,87,51,21,25,59,45,5,1931
Minnesota,Lyon,87,13,35,26,5,34,8,1932
Minnesota,McLeod,87,12,39,61,41,25,49,1934
Minnesota,Mahnomen,87,87,87,87,86,87,31,1936
Minnesota,Marshall,87,69,30,80,74,58,18,1937
Minnesota,Martin,87,49,48,41,27,57,45,1940
Minnesota,Meeker,87,10,22,39,66,32,44,1941
Minnesota,Mille Lacs,87,82,86,76,79,79,61,1943
Minnesota,Morrison,87,62,49,59,80,68,41,1944
Minnesota,Mower,87,58,67,37,51,70,37,1945
Minnesota,Murray,87,32,56,58,60,36,17,1947
Minnesota,Nicollet,87,3,13,10,9,12,32,1948
Minnesota,Nobles,87,43,70,75,56,83,74,1950
Minnesota,Norman,87,79,84,71,53,71,9,1951
Minnesota,Olmsted,87,9,2,4,1,6,10,1953
Minnesota,Otter Tail,87,37,9,28,49,49,63,1954
Minnesota,Pennington,87,47,29,49,23,51,21,1956
Minnesota,Pine,87,74,85,83,85,80,83,1957
Minnesota,Pipestone,87,66,62,43,65,53,28,1958
Minnesota,Polk,87,63,46,60,32,62,80,1959
Minnesota,Pope,87,17,59,21,46,9,23,1961
Minnesota,Ramsey,87,46,66,11,35,69,68,1964
Minnesota,Red Lake,87,51,44,79,31,67,26,1966
Minnesota,Redwood,87,73,78,55,54,46,15,1969
Minnesota,Renville,87,31,83,72,69,63,75,1971
Minnesota,Rice,87,15,23,12,15,40,77,1973
Minnesota,Rock,87,67,41,29,3,16,56,1974
Minnesota,Roseau,87,61,27,36,76,22,46,1976
Minnesota,St. Louis,87,72,71,47,13,48,69,1978
Minnesota,Scott,87,2,3,6,29,3,51,1979
Minnesota,Sherburne,87,18,10,15,45,10,66,1980
Minnesota,Sibley,87,21,14,46,83,52,53,1982
Minnesota,Stearns,87,27,37,20,24,39,71,1984
Minnesota,Steele,87,16,50,27,10,28,87,1985
Minnesota,Stevens,87,20,26,13,20,5,22,1987
Minnesota,Swift,87,85,61,86,77,72,12,1988
Minnesota,Todd,87,35,52,78,87,73,34,1989
Minnesota,Traverse,87,51,32,62,48,60,16,1990
Minnesota,Wabasha,87,8,8,38,19,29,36,1991
Minnesota,Wadena,87,81,76,84,84,78,27,1992
Minnesota,Waseca,87,19,24,35,28,44,70,1993
Minnesota,Washington,87,5,6,2,4,2,55,1994
Minnesota,Watonwan,87,76,73,64,63,77,81,1996
Minnesota,Wilkin,87,77,19,45,40,20,13,1997
Minnesota,Winona,87,33,57,16,18,18,59,1998
Minnesota,Wright,87,4,4,7,44,4,64,1999
Minnesota,Yellow Medicine,87,24,45,77,33,47,19,1531
Mississippi,Adams,82,51,64,49,17,67,8,1534
Mississippi,Alcorn,82,49,34,35,42,17,11,1538
Mississippi,Amite,82,13,45,38,71,51,9,1539
Mississippi,Attala,82,38,60,37,13,58,20,1541
Mississippi,Benton,82,59,47,64,62,64,54,1544
Mississippi,Bolivar,82,67,70,57,54,65,45,1547
Mississippi,Calhoun,82,31,43,55,66,37,77,1548
Mississippi,Carroll,82,41,18,12,22,34,48,1549
Mississippi,Chickasaw,82,52,55,59,32,53,55,1550
Mississippi,Choctaw,82,60,24,50,24,33,19,1552
Mississippi,Claiborne,82,73,77,76,77,76,15,1555
Mississippi,Clarke,82,44,42,16,49,43,37,1557
Mississippi,Clay,82,6,46,44,19,49,50,1559
Mississippi,Coahoma,82,81,79,65,41,69,43,1562
Mississippi,Copiah,82,21,61,52,36,52,80,1564
Mississippi,Covington,82,53,40,39,43,35,62,1567
Mississippi,DeSoto,82,7,5,5,11,4,7,1571
Mississippi,Forrest,82,54,22,11,9,10,35,1572
Mississippi,Franklin,82,35,20,17,40,39,5,1575
Mississippi,George,82,29,12,34,52,36,2,1577
Mississippi,Greene,82,9,7,33,72,57,1,1579
Mississippi,Grenada,82,79,36,40,15,28,25,1581
Mississippi,Hancock,82,5,6,9,30,19,30,1583
Mississippi,Harrison,82,19,19,15,34,12,46,1587
Mississippi,Hinds,82,39,26,13,7,21,69,1591
Mississippi,Holmes,82,80,76,82,29,78,32,1593
Mississippi,Humphreys,82,61,78,79,61,80,3,1596
Mississippi,Issaquena,82,45,82,42,82,82,26,1598
Mississippi,Itawamba,82,12,15,22,25,8,16,1601
Mississippi,Jackson,82,14,8,7,21,11,4,1605
Mississippi,Jasper,82,50,50,48,45,48,68,1607
Mississippi,Jefferson,82,69,80,81,57,81,23,1610
Mississippi,Jefferson Davis,82,75,69,46,74,62,78,1612
Mississippi,Jones,82,32,29,27,31,31,57,1615
Mississippi,Kemper,82,36,71,63,73,63,51,1616
Mississippi,Lafayette,82,3,2,4,4,3,49,1620
Mississippi,Lamar,82,1,4,3,2,5,33,1623
Mississippi,Lauderdale,82,34,33,14,6,24,39,1628
Mississippi,Lawrence,82,62,25,28,58,30,67,1632
Mississippi,Leake,82,16,49,75,76,50,28,1636
Mississippi,Lee,82,17,21,8,3,6,59,1638
Mississippi,Leflore,82,72,72,72,14,75,76,1643
Mississippi,Lincoln,82,33,16,18,18,18,31,1645
Mississippi,Lowndes,82,27,10,10,8,15,58,1647
Mississippi,Madison,82,2,1,1,1,1,65,1651
Mississippi,Marion,82,48,59,53,68,38,34,1653
Mississippi,Marshall,82,64,32,36,46,46,53,1655
Mississippi,Monroe,82,26,48,41,26,25,27,1656
Mississippi,Montgomery,82,68,57,26,16,61,29,1658
Mississippi,Neshoba,82,70,39,69,70,47,41,1661
Mississippi,Newton,82,25,38,21,55,13,79,1663
Mississippi,Noxubee,82,47,62,67,60,73,44,1666
Mississippi,Oktibbeha,82,10,13,6,12,9,63,1668
Mississippi,Panola,82,57,44,70,39,55,47,1671
Mississippi,Pearl River,82,46,9,30,28,22,14,1676
Mississippi,Perry,82,23,17,43,63,41,71,1679
Mississippi,Pike,82,66,67,51,35,56,74,1680
Mississippi,Pontotoc,82,11,28,25,38,16,52,1682
Mississippi,Prentiss,82,43,58,60,23,27,12,1684
Mississippi,Quitman,82,71,81,73,81,77,81,1685
Mississippi,Rankin,82,4,3,2,5,2,82,1690
Mississippi,Scott,82,58,66,71,80,59,61,1692
Mississippi,Sharkey,82,82,75,78,65,71,22,1695
Mississippi,Simpson,82,28,54,58,53,20,72,1698
Mississippi,Smith,82,55,23,32,59,42,56,1709
Mississippi,Stone,82,15,27,24,51,44,18,1712
Mississippi,Sunflower,82,74,68,74,67,74,66,1721
Mississippi,Tallahatchie,82,42,74,77,69,72,10,1725
Mississippi,Tate,82,24,14,31,44,26,73,1727
Mississippi,Tippah,82,30,41,56,56,14,6,1730
Mississippi,Tishomingo,82,65,37,47,48,29,13,1732
Mississippi,Tunica,82,77,56,66,47,66,70,1735
Mississippi,Union,82,8,11,20,20,7,38,1737
Mississippi,Walthall,82,20,51,61,64,60,36,1740
Mississippi,Warren,82,56,35,19,10,32,40,1746
Mississippi,Washington,82,78,63,62,33,68,75,1750
Mississippi,Wayne,82,22,52,54,75,54,60,1753
Mississippi,Webster,82,18,31,23,50,23,64,1756
Mississippi,Wilkinson,82,76,73,80,79,79,24,1757
Mississippi,Winston,82,37,53,45,27,40,21,1758
Mississippi,Yalobusha,82,63,30,29,78,45,42,1759
Mississippi,Yazoo,82,40,65,68,37,70,17,1760
Missouri,Adair,115,53,60,7,7,57,92,1761
Missouri,Andrew,115,15,6,5,29,8,37,1762
Missouri,Atchison,115,22,4,10,74,21,5,1763
Missouri,Audrain,115,52,91,62,27,60,31,1766
Missouri,Barry,115,73,74,86,72,82,66,1767
Missouri,Barton,115,29,80,64,56,53,91,1771
Missouri,Bates,115,63,44,54,107,81,39,1776
Missouri,Benton,115,94,61,66,84,98,78,1778
Missouri,Bollinger,115,48,79,109,92,84,38,1781
Missouri,Boone,115,10,14,6,1,4,67,1783
Missouri,Buchanan,115,43,70,83,19,46,55,1789
Missouri,Butler,115,100,110,108,58,105,69,1792
Missouri,Caldwell,115,85,85,78,100,34,105,1795
Missouri,Callaway,115,31,21,35,13,38,54,1799
Missouri,Camden,115,27,18,11,36,72,96,1803
Missouri,Cape Girardeau,115,38,33,9,6,20,111,1808
Missouri,Carroll,115,42,49,52,46,63,35,1822
Missouri,Carter,115,106,82,89,98,99,27,1001
Missouri,Cass,115,23,7,19,35,9,43,1004
Missouri,Cedar,115,80,50,68,65,71,2,1007
Missouri,Chariton,115,1,26,41,70,23,14,1011
Missouri,Christian,115,14,5,8,12,6,64,1014
Missouri,Clark,115,8,37,55,102,51,22,1015
Missouri,Clay,115,9,3,14,9,7,23,1018
Missouri,Clinton,115,13,19,44,24,17,103,1021
Missouri,Cole,115,21,11,24,3,3,42,1022
Missouri,Cooper,115,24,22,22,18,30,74,1025
Missouri,Crawford,115,97,103,104,68,90,58,1028
Missouri,Dade,115,110,86,75,21,54,21,1030
Missouri,Dallas,115,92,81,74,112,101,82,1032
Missouri,Daviess,115,4,36,98,109,75,3,1036
Missouri,DeKalb,115,41,29,58,63,45,20,1038
Missouri,Dent,115,91,101,42,111,89,48,1040
Missouri,Douglas,115,74,77,94,104,94,75,1043
Missouri,Dunklin,115,107,114,115,106,114,97,1045
Missouri,Franklin,115,55,20,56,11,25,110,1047
Missouri,Gasconade,115,47,28,21,48,35,30,1049
Missouri,Gentry,115,45,32,47,87,10,4,1052
Missouri,Greene,115,46,38,13,8,18,71,1054
Missouri,Grundy,115,70,52,49,23,62,68,1057
Missouri,Harrison,115,20,64,105,44,59,18,1058
Missouri,Henry,115,78,78,71,28,79,76,1061
Missouri,Hickory,115,111,100,72,88,97,81,1063
Missouri,Holt,115,59,10,37,55,16,16,1065
Missouri,Howard,115,44,59,20,26,37,61,1068
Missouri,Howell,115,86,88,82,39,83,94,1070
Missouri,Iron,115,101,102,97,67,102,40,1072
Missouri,Jackson,115,65,55,25,14,67,114,1074
Missouri,Jasper,115,66,48,59,25,48,63,1078
Missouri,Jefferson,115,69,31,17,40,22,89,1082
Missouri,Johnson,115,7,8,12,22,12,85,1087
Missouri,Knox,115,59,25,38,77,56,24,1091
Missouri,Laclede,115,87,72,77,66,103,62,1096
Missouri,Lafayette,115,54,30,30,42,24,84,1099
Missouri,Lawrence,115,79,66,65,69,70,44,1101
Missouri,Lewis,115,93,92,79,82,47,28,1104
Missouri,Lincoln,115,49,41,60,78,39,115,1106
Missouri,Linn,115,89,47,33,71,87,8,1109
Missouri,Livingston,115,28,69,40,17,41,12,1112
Missouri,McDonald,115,81,97,90,113,95,112,1113
Missouri,Macon,115,50,39,51,47,40,17,1116
Missouri,Madison,115,68,84,57,85,65,33,1117
Missouri,Maries,115,67,34,80,93,44,45,1120
Missouri,Marion,115,37,53,67,49,29,49,1122
Missouri,Mercer,115,59,16,31,97,36,50,1125
Missouri,Miller,115,36,63,93,45,58,93,1128
