state,declarationDate,incidentType,designatedArea,FID
ND,2014-08-19T15:13:00.000Z,Flood,Standing Rock,324
NM,2014-10-06T19:20:00.000Z,Severe Storm(s),Acoma,8
NM,2014-10-06T19:20:00.000Z,Severe Storm(s),Santa Clara,126
MT,2014-10-09T21:35:00.000Z,Severe Storm(s),Fort Belknap,42
NV,2014-11-05T12:00:00.000Z,Flood,Moapa River,272
CA,2015-01-27T12:24:00.000Z,Flood,Soboba,135
SD,2015-07-30T17:00:00.000Z,Severe Storm(s),Lower Brule,78
SD,2015-07-30T17:00:00.000Z,Severe Storm(s),Crow Creek,212
SD,2015-08-07T15:45:00.000Z,Severe Storm(s),Pine Ridge,293
WA,2015-10-20T19:05:00.000Z,Fire,Colville,29
ID,2015-12-23T09:11:00.000Z,Severe Storm(s),Coeur d'Alene,204
WI,2016-08-09T18:45:00.000Z,Severe Storm(s),Bad River,186
SD,2017-02-01T16:00:00.000Z,Severe Storm(s),Cheyenne River,27
SD,2017-02-01T16:00:00.000Z,Severe Storm(s),Lake Traverse,74
SD,2017-02-01T16:00:00.000Z,Severe Storm(s),Pine Ridge,293
CA,2017-02-14T19:30:00.000Z,Severe Storm(s),Hoopa Valley,240
NV,2017-02-17T20:30:00.000Z,Severe Storm(s),Reno-Sparks,114
NV,2017-02-17T20:30:00.000Z,Severe Storm(s),Pyramid Lake Paiute,298
CA,2017-04-01T20:55:00.000Z,Flood,Tule River,156
CA,2017-05-02T18:00:00.000Z,Severe Storm(s),Resighini,305
OK,2017-05-26T15:30:00.000Z,Severe Storm(s),Pawnee,386
ND,2017-07-12T08:30:00.000Z,Flood,Turtle Mountain,159
FL,2017-09-27T15:00:00.000Z,Hurricane,Brighton,192
FL,2017-09-27T15:00:00.000Z,Hurricane,Fort Pierce,229
FL,2017-09-27T15:00:00.000Z,Hurricane,Hollywood,239
FL,2017-09-27T15:00:00.000Z,Hurricane,Immokalee,242
FL,2017-09-27T15:00:00.000Z,Hurricane,Big Cypress,188
FL,2017-09-27T15:00:00.000Z,Hurricane,Tampa,330
SC,2017-10-16T15:45:00.000Z,Hurricane,Catawba,24
NM,2017-12-20T19:50:00.000Z,Flood,Acoma,8
WA,2018-08-17T12:33:00.000Z,Flood,Colville,29
AZ,2018-08-31T11:55:00.000Z,Flood,Havasupai,238
MN,2018-09-05T12:15:00.000Z,Flood,Leech Lake,75
MN,2018-09-05T12:15:00.000Z,Flood,White Earth,172
MN,2018-09-05T12:15:00.000Z,Flood,Red Lake,302
AZ,2018-11-30T11:09:00.000Z,Severe Storm(s),Tohono O'odham Nation,152
NE,2019-03-21T13:35:00.000Z,Flood,Omaha,281
NE,2019-03-21T13:35:00.000Z,Flood,Ponca (NE),354
NE,2019-03-21T13:35:00.000Z,Flood,Sac and Fox Nation,121
NE,2019-03-21T13:35:00.000Z,Flood,Winnebago,175
NE,2019-03-21T13:35:00.000Z,Flood,Santee,316
CA,2019-03-26T14:00:00.000Z,Severe Storm(s),La Jolla,253
CA,2019-03-28T16:50:00.000Z,Severe Storm(s),Cahuilla,194
CA,2019-04-08T11:00:00.000Z,Severe Storm(s),Soboba,135
IA,2019-04-29T08:40:00.000Z,Flood,Sac and Fox/Meskwaki,122
OK,2019-06-01T21:30:00.000Z,Severe Storm(s),Pawnee,386
